id,family,fin_cap,mode,exact_t1_ok,same_bar_fills,oof_cagr,oof_mdd,oof_n_days,full_cagr,full_mdd,mean_e45_equity_scale,oof_flag_share,n_fills,n_bull_days,bull_ann_base,bull_ann_cand,bull_cagr_giveback_pp,bull_flag_share,mdd_improve_pp,cagr_giveback_pp,pass_oof,is_baseline,params_json,fail_reasons,base_oof_cagr,base_oof_mdd
BASE,BASE,False,NONE,True,0,0.08846959052336945,-0.17412900003864262,1495,0.137829469400496,-0.22639131293777315,1.0,0.0,6262,1163,0.1565468979805611,0.1565468979805611,0.0,0.0,0.0,0.0,False,True,{},,,
L2_FINCAP_ONLY,L2-FINCAP-ONLY,True,NONE,True,0,0.08498439286806181,-0.128423137196493,1495,0.12703815231932358,-0.19575705858876424,1.0,0.0,8172,1163,0.1565468979805611,0.14498953922465363,1.1557358755907465,0.0,4.570586284214961,0.3485197655307637,True,False,{},,0.08846959052336945,-0.17412900003864262
L2_DD_PATH_08_70,L2-DD-PATH,False,DD_PATH,True,0,0.08808005343533698,-0.14342808817883457,1495,0.1250388038937933,-0.18094377436952347,0.9261414503133393,0.2093645484949833,6726,1163,0.1565468979805611,0.15688488649278698,-0.03379885122258841,0.05674978503869303,3.0700911859808055,0.038953708803246556,True,False,"{""dd_thr"": -0.08, ""scale"": 0.7}",,0.08846959052336945,-0.17412900003864262
L2_DD_PATH_08_50,L2-DD-PATH,False,DD_PATH,True,0,0.08673579919131513,-0.11874606771876195,1495,0.11912444057605831,-0.15443613022623393,0.8769024171888988,0.2093645484949833,6583,1163,0.1565468979805611,0.15439132003775247,0.21555779428086286,0.05674978503869303,5.538293231988067,0.1733791332054313,True,False,"{""dd_thr"": -0.08, ""scale"": 0.5}",,0.08846959052336945,-0.17412900003864262
L2_DD_PATH_10_50,L2-DD-PATH,False,DD_PATH,True,0,0.08631278238504159,-0.116955977241186,1495,0.12323329333480393,-0.17426940486409204,0.9000298418382572,0.1879598662207358,6652,1163,0.1565468979805611,0.1505037143793322,0.6043183601228908,0.046431642304385214,5.717302279745661,0.21568081383278592,True,False,"{""dd_thr"": -0.1, ""scale"": 0.5}",,0.08846959052336945,-0.17412900003864262
L2_DD_PATH_05_70,L2-DD-PATH,False,DD_PATH,True,0,0.07671385003514053,-0.1397781219138694,1495,0.10958396211974986,-0.16959607193282478,0.8871083258728737,0.3063545150501672,7590,1163,0.1565468979805611,0.13641304781019792,2.0133850170363177,0.1289767841788478,3.435087812477322,1.1755740488228916,False,False,"{""dd_thr"": -0.05, ""scale"": 0.7}",bull_cagr_giveback,0.08846959052336945,-0.17412900003864262
L2_SPIKE_SHORT_90_3_70,L2-SPIKE-SHORT,False,SPIKE_SHORT,True,0,0.08690548626574501,-0.17442662729780511,1495,0.12425015642633208,-0.1918276251769453,0.9382273948075202,0.20267558528428092,6815,1163,0.1565468979805611,0.14942361390340486,0.7123284077156233,0.09802235597592433,-0.029762725916249178,0.15641042576244324,False,False,"{""vol_pctl"": 0.9, ""hold_days"": 3, ""scale"": 0.7}",mdd_improve,0.08846959052336945,-0.17412900003864262
L2_SPIKE_SHORT_90_5_50,L2-SPIKE-SHORT,False,SPIKE_SHORT,True,0,0.08527056944013767,-0.16808916318703182,1495,0.11652419990013163,-0.1929453258142465,0.8919725455088033,0.21070234113712374,6605,1163,0.1565468979805611,0.14282601678592477,1.3720881194636325,0.10318142734307825,0.6039836851610803,0.3199021083231779,False,False,"{""vol_pctl"": 0.9, ""hold_days"": 5, ""scale"": 0.5}",mdd_improve,0.08846959052336945,-0.17412900003864262
L2_ASYM_CRISIS_DD_50_5,L2-ASYM-SCALE,False,ASYM,True,0,0.08759404541741622,-0.11827956051707267,1495,0.11728088452010144,-0.17430165786281948,0.8804834377797672,0.20267558528428092,6312,1163,0.1565468979805611,0.1544927047668494,0.2054193213711697,0.05674978503869303,5.584943952156996,0.08755451059532238,True,False,"{""scale"": 0.5, ""clear_days"": 5}",,0.08846959052336945,-0.17412900003864262
L2_ASYM_CRISIS_DD_50_10,L2-ASYM-SCALE,False,ASYM,True,0,0.08555380207269914,-0.11608333828224526,1495,0.11598765898053642,-0.17369792596689193,0.8712324679200238,0.21270903010033446,6187,1163,0.1565468979805611,0.15339908506312439,0.314781291743671,0.06362854686156492,5.804566175639736,0.2915788450670309,True,False,"{""scale"": 0.5, ""clear_days"": 10}",,0.08846959052336945,-0.17412900003864262
L2_FINCAP_DD_08_70,L2-FINCAP+DD,True,DD_PATH,True,0,0.07895557406329434,-0.10492765494487666,1495,0.11887104967269235,-0.16261620699768176,0.9261414503133393,0.2093645484949833,8523,1163,0.1565468979805611,0.13830721675006763,1.8239681230493465,0.05674978503869303,6.920134509376597,0.9514016460075103,False,False,"{""dd_thr"": -0.08, ""scale"": 0.7}",bull_cagr_giveback,0.08846959052336945,-0.17412900003864262
L2_FINCAP_DD_10_50,L2-FINCAP+DD,True,DD_PATH,True,0,0.07647917580630703,-0.08595812174260287,1495,0.11808435133535244,-0.15246441873020344,0.9000298418382572,0.1879598662207358,8596,1163,0.1565468979805611,0.13263923216246676,2.3907665818094337,0.046431642304385214,8.817087829603976,1.1990414717062414,False,False,"{""dd_thr"": -0.1, ""scale"": 0.5}",bull_cagr_giveback,0.08846959052336945,-0.17412900003864262
