date,close_live,close_yahoo,code,abs_rel_diff,ret_live,ret_yahoo
2026-07-27,41.4,40.9901008605957,2880,0.009999954398705484,,
2026-07-28,41.4,40.9901008605957,2880,0.009999954398705484,0.0,0.0
2026-07-29,41.8,41.386138916015625,2880,0.009999992626135414,0.009661835748792313,0.009661797534161076
2026-07-30,42.65,42.22772216796875,2880,0.010000014453812087,0.020334928229665206,0.02033490617863487
2026-07-31,43.7,43.26732635498047,2880,0.010000008816577347,0.024618991793669442,0.024618997512498852
2026-08-03,43.05,42.62376022338867,2880,0.01000005101327117,-0.014874141876430325,-0.01487418303390764
2026-08-04,43.25,42.821781158447266,2880,0.010000024052438591,0.004645760743321681,0.004645787561228243
2026-08-05,43.8,43.366336822509766,2880,0.009999995601775937,0.012716763005780285,0.01271679153297156
2026-08-06,44.05,43.613861083984375,2880,0.010000006997219939,0.005707762557077611,0.005707751210061396
2026-08-07,44.4,43.96039581298828,2880,0.010000005206546262,0.007945516458569779,0.007945518245600969
2026-08-10,44.0,43.56435775756836,2880,0.009999969352376308,-0.009009009009009028,-0.009008973829642164
2026-08-11,43.65,43.21781921386719,2880,0.010000060021402893,-0.007954545454545436,-0.007954634511763703
2026-08-12,43.2,42.77227783203125,2880,0.009999985730206794,-0.010309278350515316,-0.010309205553180156
2026-08-13,39.1,39.099998474121094,2880,3.9025037524771536e-08,-0.09490740740740744,-0.08585653007144889
2026-08-14,38.95,38.95000076293945,2880,1.9587662011261334e-08,-0.0038363171355498826,-0.0038362587477061005
2026-08-17,39.2,39.20000076293945,2880,1.9462740699845313e-08,0.006418485237484006,0.006418485111760797
2026-08-18,39.7,39.70000076293945,2880,1.9217618025716626e-08,0.012755102040816313,0.012755101792567114
2026-08-19,39.0,39.0,2880,0.0,-0.017632241813602123,-0.01763226069237045
2026-08-20,38.8,38.79999923706055,2880,1.966338828053618e-08,-0.005128205128205221,-0.005128224690755245
2026-08-21,39.6,39.599998474121094,2880,3.8532297132997595e-08,0.020618556701031077,0.02061853744307318
2026-08-24,39.25,39.25,2880,0.0,-0.008838383838383868,-0.008838345646649981
2026-08-25,39.8,39.79999923706055,2880,1.9169333289142454e-08,0.014012738853503182,0.014012719415555264
2026-08-26,39.6,39.599998474121094,2880,3.8532297132997595e-08,-0.005025125628140614,-0.005025144893802347
2026-08-27,39.35,39.349998474121094,2880,3.877710207980299e-08,-0.0063131313131312705,-0.006313131556390794
2026-08-28,40.25,40.25,2880,0.0,0.02287166454891998,0.022871704212918953
2026-08-31,41.35,41.349998474121094,2880,3.690154689185919e-08,0.027329192546583947,0.027329154636548836
2026-09-01,41.95,41.95000076293945,2880,1.818687571888782e-08,0.0145102781136639,0.014510334001435865
2026-09-02,43.0,43.0,2880,0.0,0.02502979737783062,0.025029778735741193
2026-09-03,43.45,43.45000076293945,2880,1.7559020411653845e-08,0.010465116279069875,0.010465134021847788
2026-09-04,44.0,44.0,2880,0.0,0.012658227848101111,0.012658210066814668
2026-07-27,49.4,49.400001525878906,2886,3.088823604330724e-08,,
2026-07-28,49.45,49.45000076293945,2886,1.542850229548667e-08,0.0010121457489880026,0.0010121302736063598
2026-07-29,49.9,49.900001525878906,2886,3.0578734689612006e-08,0.009100101112234471,0.009100116400335923
2026-07-30,51.5,51.5,2886,0.0,0.03206412825651306,0.03206409669729782
2026-07-31,53.1,53.099998474121094,2886,2.8735950122762064e-08,0.03106796116504862,0.031067931536332027
2026-08-03,51.6,51.599998474121094,2886,2.9571297534753965e-08,-0.02824858757062143,-0.02824858838237143
2026-08-04,50.7,50.70000076293945,2886,1.5048115163748092e-08,-0.0174418604651162,-0.017441816623948503
2026-08-05,51.2,51.20000076293945,2886,1.4901160916291903e-08,0.009861932938856066,0.009861932790452554
2026-08-06,50.3,50.29999923706055,2886,1.516778254184749e-08,-0.01757812500000011,-0.01757815454038747
2026-08-07,50.9,50.900001525878906,2886,2.997797371175496e-08,0.011928429423459175,0.01192847510773487
2026-08-10,51.0,51.0,2886,0.0,0.0019646365422396617,0.0019646065053702255
2026-08-11,49.4,49.400001525878906,2886,3.088823604330724e-08,-0.03137254901960784,-0.03137251910041361
2026-08-12,48.7,48.70000076293945,2886,1.566610756325539e-08,-0.014170040485829927,-0.014170055492260358
2026-08-13,45.85,45.849998474121094,2886,3.3279802801571095e-08,-0.05852156057494873,-0.05852160665646644
2026-08-14,47.35,47.349998474121094,2886,3.222553235149621e-08,0.03271537622682663,0.032715377315587935
2026-08-17,46.6,46.599998474121094,2886,3.274418364023057e-08,-0.015839493136219684,-0.01583949364665571
2026-08-18,46.9,46.900001525878906,2886,3.253473044833745e-08,0.006437768240343367,0.00643783393951014
2026-08-19,47.05,47.04999923706055,2886,1.6215503988401206e-08,0.0031982942430703876,0.0031982453369190367
2026-08-20,46.4,46.400001525878906,2886,3.2885320204570457e-08,-0.01381509032943673,-0.01381504190694327
2026-08-21,46.95,46.95000076293945,2886,1.625004127550653e-08,0.0118534482758621,0.011853431443397566
2026-08-24,46.85,46.849998474121094,2886,3.256945479974663e-08,-0.0021299254526091493,-0.002129974168121773
2026-08-25,47.0,47.0,2886,0.0,0.0032017075773744796,0.00320174025110731
