date,nav_pre,nav_post,rel_post_vs_pre
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500939247.1387204,0.9999974765842591
2012-12-06,500770541.429113,500937846.8947173,1.0003340960614953
2012-12-07,500852741.45812535,501170221.12478286,1.0006338782647635
2012-12-10,497491009.79208136,499564203.216328,1.004167298269597
2012-12-11,498185697.121762,500600038.145391,1.004846267240464
2012-12-12,503534587.3595972,506770799.422902,1.0064269906070895
2012-12-13,505378887.3595972,510119999.422902,1.0093813021910654
2012-12-14,504784437.3595972,505524209.42324275,1.001465520742904
2012-12-17,501825187.3595972,502244909.42324275,1.0008363909867777
2012-12-18,502623978.9808446,504495259.42324275,1.0037230226186034
2012-12-19,504289278.9808446,508269759.42324275,1.0078932481976268
2012-12-20,498480428.9808446,498312401.7921815,0.999662921192299
2012-12-21,492143928.9808446,493560901.7921815,1.0028791837669748
2012-12-22,493222328.9808446,496239039.89306885,1.0061163307801935
2012-12-24,493777378.9808446,495315139.89306885,1.0031142797902126
2012-12-25,499531978.9808446,503305489.89306885,1.0075540927728452
2012-12-26,497343078.9808446,502293239.89306885,1.0099532116187644
2012-12-27,498363478.9808446,500838289.89306885,1.0049658753432038
2012-12-28,501804467.0737242,503945239.89306885,1.0042661493864902
2013-01-02,506629017.0737242,506182739.89306885,0.9991191243185535
2013-01-03,508294067.0737242,506749789.89306885,0.996961842994655
2013-01-04,503775967.0737242,501284312.9571993,0.9950540433061978
2013-01-07,501688717.0737242,503118383.2161248,1.002849707585093
2013-01-08,501752967.0737242,500614524.72809935,0.9977310700278179
2013-01-09,501038717.0737242,503473524.72809935,1.004859519976012
2013-01-10,508152767.0737242,510981274.72809935,1.00556625455503
2013-01-11,508362417.0737242,509115424.72809935,1.0014812417855545
2013-01-14,508258467.0737242,512052324.72809935,1.0074644258780736
2013-01-15,506090317.0737242,508880424.72809935,1.0055130627088618
2013-01-16,502642917.0737242,506016124.72809935,1.0067109423803546
2013-01-17,499280317.0737242,499129174.72809935,0.9996972795833197
2013-01-18,503956767.0737242,505326374.72809935,1.0027177086287142
2013-01-21,503329767.0737242,507022674.72809935,1.0073369546089934
2013-01-22,505679447.78961694,509310174.72809935,1.0071798981634565
2013-01-23,505120140.08908606,506400396.8308599,1.002534558890382
2013-01-24,501747890.0890861,503399268.1432109,1.0032912506195721
2013-01-25,500077440.0890861,503912145.8146893,1.0076682237953387
2013-01-28,505783814.0018237,508774870.1856248,1.0059137048300053
2013-01-29,509095264.0018237,512305470.1856248,1.0063057082059
2013-01-30,509680164.0018237,516369770.1856248,1.0131251060101627
