date,nav
2019-01-02,0.9869544394237817
2019-01-03,0.9881509525546504
2019-01-04,0.9804853714115532
2019-01-07,0.9976393964823889
2019-01-08,0.9934783042335438
2019-01-09,1.0034453846737248
2019-01-10,1.0042248115774155
2019-01-11,1.0046985236140904
2019-01-14,1.004588303884278
2019-01-15,1.0083115331459203
2019-01-16,1.0066118640751547
2019-01-17,1.0087998379395893
2019-01-18,1.0125873988792933
2019-01-21,1.0125118989331232
2019-01-22,1.0148933372903957
2019-01-23,1.0149007145462408
2019-01-24,1.0160432480557025
2019-01-25,1.0197928703381245
2019-01-28,1.0194373637523482
2019-01-29,1.0201120955860559
2019-01-30,1.021118809402654
2019-02-11,1.021438027326755
2019-02-12,1.0233250828801161
2019-02-13,1.0216035759698114
2019-02-14,1.0199246946262226
2019-02-15,1.0192095509274868
2019-02-18,1.0249265550874138
2019-02-19,1.0249796760743313
2019-02-20,1.028556608617455
2019-02-21,1.0309103793782723
2019-02-22,1.0328589317103922
2019-02-25,1.0349142191082104
2019-02-26,1.0339336102727255
2019-02-27,1.0401798089466798
2019-03-04,1.0364214128094265
2019-03-05,1.034836323580182
2019-03-06,1.0375957081390974
2019-03-07,1.035308509824705
2019-03-08,1.0325767972280235
2019-03-11,1.0332997639415842
2019-03-12,1.0395257288036104
2019-03-13,1.0416310854823132
2019-03-14,1.0397482028564276
2019-03-15,1.043103728092312
2019-03-18,1.0492530691918165
2019-03-19,1.0532202041541054
2019-03-20,1.0551349701126462
2019-03-21,1.0584370743621911
2019-03-22,1.0573857994584943
2019-03-25,1.0494459802607288
2019-03-26,1.0550980991530883
2019-03-27,1.0541508820019319
2019-03-28,1.0514036826957347
2019-03-29,1.062162304275259
2019-04-01,1.060180078185817
2019-04-02,1.0590505538301658
2019-04-03,1.0593743674749878
2019-04-08,1.0616650303280586
2019-04-09,1.06373051014586
2019-04-10,1.0648334184307937
2019-04-11,1.0635904114310502
2019-04-12,1.065358462759538
2019-04-15,1.0662804078463908
2019-04-16,1.0631237665367834
2019-04-17,1.0655413187038962
2019-04-18,1.065346906938787
2019-04-19,1.067484774826632
2019-04-22,1.0674627565131973
2019-04-23,1.069682641932904
2019-04-24,1.0794495308167626
2019-04-25,1.082477801486111
2019-04-26,1.0835302470237074
2019-04-29,1.091772769387148
2019-04-30,1.1018854976433687
2019-05-02,1.107388704890488
2019-05-03,1.1068939461746263
2019-05-06,1.0989551153847255
2019-05-07,1.1052509255669984
2019-05-08,1.1075928521227099
2019-05-09,1.0981187134158932
2019-05-10,1.0954376672879889
2019-05-13,1.09097050326051
2019-05-14,1.0844999528162018
2019-05-15,1.0888702132782462
2019-05-16,1.0855446087652902
2019-05-17,1.0888984959105001
2019-05-20,1.0949596099136931
2019-05-21,1.1064216113966223
2019-05-22,1.1035602501629573
