id,layer,buy_id,sell_id,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,n_fills,full_cagr,full_mdd
X__BELOW_MA120__WILLR14_GT_N20,CROSS,BELOW_MA120,WILLR14_GT_N20,-3.0306808536880947,-1.1326356039280672,3.796090499520055,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.5713177112680183,4925.0,0.12201351801543292,-0.2351935788806775
X__CCI20_LT_N100__ABOVE_MA60,CROSS,CCI20_LT_N100,ABOVE_MA60,-3.10008313584772,-2.12807957549892,1.9440071206975995,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.6407199934276435,5761.0,0.12816986680286657,-0.24514801859638602
X__BELOW_MA120__ABOVE_MA60,CROSS,BELOW_MA120,ABOVE_MA60,-3.113122356638365,-1.2780556219947559,3.670133469287218,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.6537592142182884,5136.0,0.1230813023511923,-0.23664777906134415
X__BB_LOWER__CCI20_GT100,CROSS,BB_LOWER,CCI20_GT100,-3.1398372177708245,-0.8754122850815227,4.528849865378604,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.680474075350748,5320.0,0.11841908446130844,-0.23262134569221193
X__BB_PCTB_LT0__CCI20_GT100,CROSS,BB_PCTB_LT0,CCI20_GT100,-3.1398372177708245,-0.8754122850815227,4.528849865378604,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.680474075350748,5320.0,0.11841908446130844,-0.23262134569221193
X__BB_LOWER__K9_GT80,CROSS,BB_LOWER,K9_GT80,-3.1409813243318485,-0.9608708201915173,4.3602210082806625,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.681618181911772,5611.0,0.11849605894414417,-0.233475931043312
X__BB_PCTB_LT0__K9_GT80,CROSS,BB_PCTB_LT0,K9_GT80,-3.1409813243318485,-0.9608708201915173,4.3602210082806625,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.681618181911772,5611.0,0.11849605894414417,-0.233475931043312
X__CCI20_LT_N100__BB_UPPER,CROSS,CCI20_LT_N100,BB_UPPER,-3.1458844266353814,-2.70498673127767,0.881795390715423,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.686521284215305,4856.0,0.1329683790717664,-0.2509170901541735
X__CCI20_LT_N100__BB_PCTB_GT1,CROSS,CCI20_LT_N100,BB_PCTB_GT1,-3.1458844266353814,-2.70498673127767,0.881795390715423,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.686521284215305,4856.0,0.1329683790717664,-0.2509170901541735
X__BELOW_MA120__K9_GT70,CROSS,BELOW_MA120,K9_GT70,-3.1462659508642243,-1.1702618556799882,3.9520081903684723,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.686902808444148,4987.0,0.12187425039913191,-0.2355698413981968
X__BELOW_MA20__K9_GT80,CROSS,BELOW_MA20,K9_GT80,-3.185768290933222,-2.0806091773898028,2.2103182270868382,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.7264051485131455,4397.0,0.13103362523756434,-0.24467331461529473
X__BELOW_MA120__ABOVE_MA20,CROSS,BELOW_MA120,ABOVE_MA20,-3.2837188302037412,-1.445700520051152,3.6760366203051786,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.824355687783665,5209.0,0.12293610979934111,-0.23832422804190823
X__MFI14_LT20__D9_GT80,CROSS,MFI14_LT20,D9_GT80,-3.292891392877939,-1.818386775607228,2.949009234541422,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.8335282504578627,6072.0,0.12291401532042445,-0.2420510905974691
X__BB_LOWER__BB_UPPER,CROSS,BB_LOWER,BB_UPPER,-3.2960529483120005,-1.4911535777610951,3.6097987411018106,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.836689805891924,5142.0,0.12158629606641314,-0.23877875861900766
X__BB_LOWER__BB_PCTB_GT1,CROSS,BB_LOWER,BB_PCTB_GT1,-3.2960529483120005,-1.4911535777610951,3.6097987411018106,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.836689805891924,5142.0,0.12158629606641314,-0.23877875861900766
X__BB_PCTB_LT0__BB_UPPER,CROSS,BB_PCTB_LT0,BB_UPPER,-3.2960529483120005,-1.4911535777610951,3.6097987411018106,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.836689805891924,5142.0,0.12158629606641314,-0.23877875861900766
X__BB_PCTB_LT0__BB_PCTB_GT1,CROSS,BB_PCTB_LT0,BB_PCTB_GT1,-3.2960529483120005,-1.4911535777610951,3.6097987411018106,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.836689805891924,5142.0,0.12158629606641314,-0.23877875861900766
X__RSI14_LT30__RSI6_GT80,CROSS,RSI14_LT30,RSI6_GT80,-3.322421304638168,-2.058017886407937,2.528806836460462,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.8630581622180915,5840.0,0.13101046926840665,-0.24444740170547619
X__BELOW_MA120__K9_GT80,CROSS,BELOW_MA120,K9_GT80,-3.327773868443429,-1.4282277292952283,3.799092278296401,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.8684107260233525,4743.0,0.12144756349476982,-0.2381495001343492
X__RSI14_LT30__WILLR14_GT_N20,CROSS,RSI14_LT30,WILLR14_GT_N20,-3.3618042546715188,-1.6641141415255967,3.395380226291844,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9024411122514424,6889.0,0.12646304160793176,-0.24050836425665267
X__MFI14_LT20__K9_GT80,CROSS,MFI14_LT20,K9_GT80,-3.373101184888405,-1.5735935417944158,3.5990152861879787,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.913738042468329,6431.0,0.119512225820676,-0.23960315825934086
X__CCI20_LT_N100__CCI20_GT100,CROSS,CCI20_LT_N100,CCI20_GT100,-3.408837953542443,-2.481950546284717,1.853774814515452,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9494748111223665,5076.0,0.12903134985950815,-0.24868672830424388
X__BELOW_MA60__BB_UPPER,CROSS,BELOW_MA60,BB_UPPER,-3.418604525429736,-2.999794110116305,0.8376208306268618,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9592413830096596,4458.0,0.13599597509516892,-0.25386516394255976
X__BELOW_MA60__BB_PCTB_GT1,CROSS,BELOW_MA60,BB_PCTB_GT1,-3.418604525429736,-2.999794110116305,0.8376208306268618,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9592413830096596,4458.0,0.13599597509516892,-0.25386516394255976
BUY_LOW_ROC10_LT_N5,BUY_LOW,ROC10_LT_N5,,-3.4269736153058616,-1.6381831739292418,3.5775808827532396,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9676104728857853,7385.0,0.12146942279481077,-0.24024905458068924
BUY_LOW_K9_LT30,BUY_LOW,K9_LT30,,-3.4341079001891206,-1.670856894083106,3.5265020122120294,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9747447577690442,6288.0,0.12672164326757418,-0.24057579178222788
X__BELOW_MA60__K9_GT80,CROSS,BELOW_MA60,K9_GT80,-3.4404567001356523,-2.851530697565441,1.1778520051404229,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.981093557715576,4757.0,0.13533056427422818,-0.25238252981705134
X__BELOW_MA120__BB_UPPER,CROSS,BELOW_MA120,BB_UPPER,-3.4551690003786106,-1.6149726619466565,3.6803926768639084,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9958058579585343,4378.0,0.12287844908434664,-0.24001694946086327
X__BELOW_MA120__BB_PCTB_GT1,CROSS,BELOW_MA120,BB_PCTB_GT1,-3.4551690003786106,-1.6149726619466565,3.6803926768639084,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-3.9958058579585343,4378.0,0.12287844908434664,-0.24001694946086327
X__MACD_HIST_NEG__ROC10_GT5,CROSS,MACD_HIST_NEG,ROC10_GT5,-3.5008398428866494,-2.833277408543755,1.3351248686857886,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.041476700466573,3896.0,0.13735533121040566,-0.25219999692683437
X__RSI14_LT30__K9_GT70,CROSS,RSI14_LT30,K9_GT70,-3.5341188705032556,-1.915597172952621,3.237043395101269,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.074755728083179,6917.0,0.12782104952326656,-0.24302319457092303
X__BELOW_MA20__BB_UPPER,CROSS,BELOW_MA20,BB_UPPER,-3.534305361300194,-2.977194276841455,1.114222168917478,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.074942218880118,4054.0,0.13673336519065682,-0.25363916560981137
X__BELOW_MA20__BB_PCTB_GT1,CROSS,BELOW_MA20,BB_PCTB_GT1,-3.534305361300194,-2.977194276841455,1.114222168917478,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.074942218880118,4054.0,0.13673336519065682,-0.25363916560981137
X__BELOW_MA20__CCI20_GT100,CROSS,BELOW_MA20,CCI20_GT100,-3.5568912929477725,-2.648815457092202,1.8161516717111414,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.097528150527696,4289.0,0.13409990904608082,-0.2503553774123187
X__RSI14_LT30__ABOVE_MA20,CROSS,RSI14_LT30,ABOVE_MA20,-3.611180238442291,-1.8383735390367306,3.5456133988111205,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.1518170960222145,6947.0,0.12574873236419193,-0.24225095823176412
X__BELOW_MA60__ABOVE_MA60,CROSS,BELOW_MA60,ABOVE_MA60,-3.656595709744914,-2.9097622710190563,1.493666877451716,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.197232567324837,5027.0,0.1330347300726824,-0.2529648455515874
BUY_LOW_BIAS20_LT_N5,BUY_LOW,BIAS20_LT_N5,,-3.6759016396202826,-1.8242063064821679,3.7033906662762295,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.216538497200206,7771.0,0.12016094666799071,-0.2421092859062185
X__BB_LOWER__ROC10_GT5,CROSS,BB_LOWER,ROC10_GT5,-3.6802820465325237,-1.8689339091047197,3.622696274855608,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.220918904112447,4930.0,0.12260723232566217,-0.2425565619324439
X__BB_PCTB_LT0__ROC10_GT5,CROSS,BB_PCTB_LT0,ROC10_GT5,-3.6802820465325237,-1.8689339091047197,3.622696274855608,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.220918904112447,4930.0,0.12260723232566217,-0.2425565619324439
X__BELOW_MA120__ROC10_GT5,CROSS,BELOW_MA120,ROC10_GT5,-3.6813086906650305,-2.0394311528216913,3.2837550756866785,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.221945548244954,3911.0,0.12580404337706863,-0.24426153436961373
X__BB_LOWER__BIAS20_GT5,CROSS,BB_LOWER,BIAS20_GT5,-3.705901004529011,-2.0878515904657724,3.236098828126477,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.2465378621089345,4042.0,0.12411928225381397,-0.24474573874605465
X__BB_PCTB_LT0__BIAS20_GT5,CROSS,BB_PCTB_LT0,BIAS20_GT5,-3.705901004529011,-2.0878515904657724,3.236098828126477,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.2465378621089345,4042.0,0.12411928225381397,-0.24474573874605465
BUY_LOW_RSI14_LT30,BUY_LOW,RSI14_LT30,,-3.7331443080954374,-1.460988578988942,4.544311458212991,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.273781165675361,7691.0,0.1195144993451478,-0.23847710863128613
X__RSI14_LT30__D9_GT80,CROSS,RSI14_LT30,D9_GT80,-3.7335104580279888,-2.6235510244799753,2.219918867096027,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.274147315607912,6312.0,0.1325261523891179,-0.25010273308619657
X__BELOW_MA60__CCI20_GT100,CROSS,BELOW_MA60,CCI20_GT100,-3.7499113720492416,-3.1815199565585206,1.136782830981442,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.290548229629165,4667.0,0.1356026336622691,-0.255682422406982
X__MACD_HIST_NEG__BIAS20_GT5,CROSS,MACD_HIST_NEG,BIAS20_GT5,-3.7673548114159017,-3.199598775345003,1.1355120721417977,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.307991668995825,3365.0,0.13925695773992874,-0.25586321059484696
BUY_LOW_RSI6_LT20,BUY_LOW,RSI6_LT20,,-3.774078371491729,-1.559192917341956,4.429770908299546,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.314715229071653,7197.0,0.11877633958647515,-0.23945915201481627
X__BELOW_MA20__K9_GT70,CROSS,BELOW_MA20,K9_GT70,-3.818315271620276,-2.9149516639518036,1.8067272153369451,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-4.358952129200199,4681.0,0.135549558648707,-0.25301673948091485
