month,thresh,exit_k,train_med,test_med,train_n,test_n,med_days
4,20.0,10,0.0990990990990992,0.14951682313123105,11,10,81.0
4,20.0,15,0.0990990990990992,0.14951682313123105,11,10,81.0
4,25.0,15,0.10818713450292394,0.13019390581717438,11,15,79.0
4,25.0,5,0.09907120743034059,0.13019390581717438,11,15,79.0
4,25.0,10,0.09907120743034059,0.13019390581717438,11,15,79.0
4,30.0,15,0.11728395061728403,0.12844036697247696,15,17,80.0
4,30.0,10,0.10818713450292394,0.12844036697247696,15,17,80.0
4,30.0,5,0.10526315789473673,0.12844036697247696,15,17,80.0
4,20.0,5,0.09166666666666656,0.12822247877458803,11,10,81.0
5,20.0,10,0.0883280757097793,0.10966542750929387,9,13,62.5
5,20.0,15,0.0883280757097793,0.10966542750929387,9,13,62.5
5,20.0,5,0.0883280757097793,0.10909090909090913,9,13,62.5
5,25.0,5,0.06811145510835925,0.09738175675675675,15,14,59.0
5,25.0,10,0.06811145510835925,0.09738175675675675,15,14,59.0
5,25.0,15,0.06811145510835925,0.09738175675675675,15,14,59.0
6,20.0,10,0.04845062158494995,0.0862807848787539,12,10,45.0
6,20.0,15,0.04845062158494995,0.0862807848787539,12,10,45.0
6,20.0,5,0.04720133667502069,0.0853733438624199,12,10,45.0
6,25.0,10,0.04709383753501395,0.08258121087297865,14,14,44.5
6,25.0,15,0.04709383753501395,0.08258121087297865,14,14,44.5
6,25.0,5,0.04667612659098719,0.08167376985664465,14,14,44.5
5,30.0,10,0.0742619131211899,0.08058608058608052,18,15,63.0
5,30.0,15,0.0742619131211899,0.08058608058608052,18,15,63.0
5,30.0,5,0.06893944848441214,0.07980049875311712,18,15,63.0
6,30.0,10,0.062322946175637384,0.06236111111111109,17,18,43.0
6,30.0,15,0.062322946175637384,0.06236111111111109,17,18,43.0
6,30.0,5,0.04761904761904745,0.06004420333534255,17,18,43.0
