code,year,month,thresh,signal_dt,days_to_ex,ret_to_ex_minus_1,ret_40d
2880,2011,12,20.0,2011-12-13,166,0.02083333333333326,0.04166666666666652
2880,2012,3,20.0,2012-03-28,97,0.00586510263929596,-0.07917888563049857
2880,2012,4,20.0,2012-04-09,90,0.058641975308642014,-0.024691358024691246
2880,2012,4,20.0,2012-04-17,84,0.06521739130434767,0.0031055900621115295
2880,2012,5,20.0,2012-05-16,64,0.08201892744479489,0.04100946372239744
2880,2012,5,20.0,2012-05-18,62,0.08544303797468333,0.044303797468354444
2880,2012,5,20.0,2012-05-23,59,0.0888888888888888,0.04444444444444451
2880,2012,10,20.0,2012-10-18,203,0.0778816199376946,0.04049844236760114
2880,2013,3,20.0,2013-03-21,101,0.0206489675516226,0.026548672566371723
2880,2013,4,20.0,2013-04-10,89,0.029761904761904656,0.011904761904761862
2880,2013,4,20.0,2013-04-18,83,0.03903903903903916,0.0030030030030030463
2880,2013,6,20.0,2013-06-13,45,0.032835820895522394,0.023880597014925398
2880,2013,8,20.0,2013-08-19,243,0.18012422360248426,0.0838509316770184
2880,2013,11,20.0,2013-11-11,186,0.12426035502958599,0.014792899408283988
2880,2014,1,20.0,2014-01-08,145,0.10787172011661816,0.0
2880,2014,2,20.0,2014-02-07,129,0.12759643916913932,0.026706231454005858
2880,2014,3,20.0,2014-03-26,97,0.11436950146627556,0.029325513196480912
2880,2014,8,20.0,2014-08-18,243,-0.019607843137254943,-0.04201680672268904
2880,2014,10,20.0,2014-10-01,212,-0.008498583569405027,0.0056657223796034994
2880,2014,10,20.0,2014-10-15,203,0.023391812865497075,0.01754385964912264
2880,2014,12,20.0,2014-12-16,159,0.020408163265306145,0.03790087463556868
2880,2015,3,20.0,2015-03-11,106,0.0,0.07428571428571429
2880,2015,5,20.0,2015-05-15,62,-0.05405405405405406,-0.04054054054054057
2880,2015,6,20.0,2015-06-05,47,-0.016853932584269704,0.011235955056179803
2880,2015,8,20.0,2015-08-14,248,0.11285266457680265,-0.01253918495297801
2880,2015,11,20.0,2015-11-16,185,0.1488673139158576,-0.06472491909385114
2880,2015,12,20.0,2015-12-15,164,0.18333333333333335,0.010000000000000009
2880,2016,1,20.0,2016-01-06,149,0.19528619528619529,0.06734006734006726
2880,2016,5,20.0,2016-05-10,70,0.1488673139158576,0.07443365695792892
2880,2016,11,20.0,2016-11-14,186,0.14423076923076938,0.054487179487179516
2880,2016,12,20.0,2016-12-23,157,0.11562500000000009,0.050000000000000044
2880,2017,4,20.0,2017-04-19,84,0.07207207207207222,0.027027027027027195
2880,2017,6,20.0,2017-06-09,49,0.04385964912280693,0.06432748538011679
2880,2017,8,20.0,2017-08-17,246,0.12688821752265844,0.015105740181268867
2880,2017,9,20.0,2017-09-15,225,0.13373860182370811,0.0
