month,thresh,exit_k,train_hit_rate,test_hit_rate,train_med_ret,test_med_ret,train_n,test_n,names_train,names_test
1,20.0,5,0.21875,0.42857142857142855,0.14767932489451474,0.12497242309106527,7,12,4,4
1,20.0,10,0.21875,0.42857142857142855,0.15611814345991548,0.13370631128991695,7,12,4,4
1,20.0,15,0.21875,0.42857142857142855,0.15611814345991548,0.13370631128991695,7,12,4,4
1,25.0,5,0.375,0.5,0.10008970621215518,0.12497242309106527,12,14,4,4
1,25.0,10,0.375,0.5,0.10726495726495722,0.1289386082837206,12,14,4,4
1,25.0,15,0.375,0.5,0.11803418803418808,0.1289386082837206,12,14,4,4
1,30.0,5,0.53125,0.5714285714285714,0.09329446064139946,0.11418936789209222,17,16,4,4
1,30.0,10,0.53125,0.5714285714285714,0.09329446064139946,0.125862250886981,17,16,4,4
1,30.0,15,0.53125,0.5714285714285714,0.11384615384615393,0.125862250886981,17,16,4,4
2,20.0,5,0.15625,0.39285714285714285,0.1071428571428572,0.13793103448275867,5,11,4,4
2,20.0,10,0.15625,0.39285714285714285,0.11134453781512588,0.14039408866995062,5,11,4,4
2,20.0,15,0.15625,0.39285714285714285,0.12772585669781944,0.14039408866995062,5,11,4,4
2,25.0,5,0.28125,0.5,0.1293103448275863,0.12767763845350055,9,14,4,4
2,25.0,10,0.28125,0.5,0.1293103448275863,0.12890916554709653,9,14,4,4
2,25.0,15,0.28125,0.5,0.1293103448275863,0.12890916554709653,9,14,4,4
2,30.0,5,0.40625,0.7142857142857143,0.12446351931330457,0.11904571857732171,13,20,4,4
2,30.0,10,0.40625,0.7142857142857143,0.12446351931330457,0.11904571857732171,13,20,4,4
2,30.0,15,0.40625,0.7142857142857143,0.12612612612612617,0.11904571857732171,13,20,4,4
3,20.0,5,0.40625,0.32142857142857145,0.029891304347826164,0.07615894039735105,13,9,4,4
3,20.0,10,0.40625,0.32142857142857145,0.035911602209944604,0.07615894039735105,13,9,4,4
3,20.0,15,0.40625,0.32142857142857145,0.035911602209944604,0.08278145695364247,13,9,4,4
3,25.0,5,0.5,0.4642857142857143,0.027240734141126155,0.09479553903345739,16,13,4,4
3,25.0,10,0.5,0.4642857142857143,0.035043191380849104,0.09665427509293689,16,13,4,4
3,25.0,15,0.5,0.4642857142857143,0.035043191380849104,0.09665427509293689,16,13,4,4
3,30.0,5,0.59375,0.5357142857142857,0.0348360655737705,0.09479553903345739,19,15,4,4
3,30.0,10,0.59375,0.5357142857142857,0.05327868852459017,0.09665427509293689,19,15,4,4
3,30.0,15,0.59375,0.5357142857142857,0.05327868852459017,0.09665427509293689,19,15,4,4
4,20.0,5,0.34375,0.35714285714285715,0.09166666666666656,0.12822247877458803,11,10,4,4
4,20.0,10,0.34375,0.35714285714285715,0.0990990990990992,0.14951682313123105,11,10,4,4
4,20.0,15,0.34375,0.35714285714285715,0.0990990990990992,0.14951682313123105,11,10,4,4
4,25.0,5,0.4375,0.5357142857142857,0.08016169154228847,0.13019390581717438,14,15,4,4
4,25.0,10,0.4375,0.5357142857142857,0.09210199004975117,0.13019390581717438,14,15,4,4
4,25.0,15,0.4375,0.5357142857142857,0.09210199004975117,0.13019390581717438,14,15,4,4
4,30.0,5,0.59375,0.6071428571428571,0.08713692946058083,0.12844036697247696,19,17,4,4
4,30.0,10,0.59375,0.6071428571428571,0.09253731343283578,0.12844036697247696,19,17,4,4
4,30.0,15,0.59375,0.6071428571428571,0.09253731343283578,0.12844036697247696,19,17,4,4
5,20.0,5,0.28125,0.5,0.0883280757097793,0.1093781683001015,9,14,4,4
5,20.0,10,0.28125,0.5,0.0883280757097793,0.11331895228675704,9,14,4,4
5,20.0,15,0.28125,0.5,0.0883280757097793,0.11331895228675704,9,14,4,4
5,25.0,5,0.46875,0.5357142857142857,0.06811145510835925,0.09791666666666665,15,15,4,4
5,25.0,10,0.46875,0.5357142857142857,0.06811145510835925,0.09791666666666665,15,15,4,4
5,25.0,15,0.46875,0.5357142857142857,0.06811145510835925,0.09791666666666665,15,15,4,4
5,30.0,5,0.5625,0.5714285714285714,0.06893944848441214,0.08780444099332496,18,16,4,4
5,30.0,10,0.5625,0.5714285714285714,0.0742619131211899,0.08871646371646369,18,16,4,4
5,30.0,15,0.5625,0.5714285714285714,0.0742619131211899,0.08871646371646369,18,16,4,4
