month,thresh,exit_k,train_hit_rate,test_hit_rate,train_med_ret,test_med_ret,train_n,test_n,names_train,names_test
6,20.0,5,0.375,0.35714285714285715,0.04720133667502069,0.0853733438624199,12,10,4,4
6,20.0,10,0.375,0.35714285714285715,0.04845062158494995,0.0862807848787539,12,10,4,4
6,20.0,15,0.375,0.35714285714285715,0.04845062158494995,0.0862807848787539,12,10,4,4
6,25.0,5,0.4375,0.5,0.04667612659098719,0.08167376985664465,14,14,4,4
6,25.0,10,0.4375,0.5,0.04709383753501395,0.08258121087297865,14,14,4,4
6,25.0,15,0.4375,0.5,0.04709383753501395,0.08258121087297865,14,14,4,4
6,30.0,5,0.53125,0.6428571428571429,0.04761904761904745,0.06004420333534255,17,18,4,4
6,30.0,10,0.53125,0.6428571428571429,0.062322946175637384,0.06236111111111109,17,18,4,4
6,30.0,15,0.53125,0.6428571428571429,0.062322946175637384,0.06236111111111109,17,18,4,4
7,20.0,5,0.0625,0.21428571428571427,0.030042633600899538,0.07587089042279827,2,6,2,4
7,20.0,10,0.0625,0.21428571428571427,0.05693069306930698,0.07587089042279827,1,6,1,4
7,20.0,15,0.0625,0.21428571428571427,0.05693069306930698,0.07587089042279827,1,6,1,4
7,25.0,5,0.125,0.21428571428571427,0.03878429587799315,0.05650448968705557,4,6,3,4
7,25.0,10,0.125,0.21428571428571427,0.04253664109375288,0.05650448968705557,4,6,3,4
7,25.0,15,0.125,0.21428571428571427,0.05693069306930698,0.05650448968705557,3,6,3,4
7,30.0,5,0.16129032258064516,0.32142857142857145,0.020637898686679312,0.0546875,5,9,4,4
7,30.0,10,0.16129032258064516,0.32142857142857145,0.02814258911819878,0.0546875,5,9,4,4
7,30.0,15,0.16129032258064516,0.32142857142857145,0.051724137931034475,0.0546875,3,9,3,4
8,20.0,5,0.06666666666666667,0.0,0.056128962727152176,,2,0,1,0
8,20.0,10,0.06666666666666667,0.0,0.061699993367820616,,2,0,1,0
8,20.0,15,0.06666666666666667,0.0,0.061699993367820616,,2,0,1,0
8,25.0,5,0.10714285714285714,0.0,0.05654761904761907,,3,0,2,0
8,25.0,10,0.10714285714285714,0.0,0.06319001064112795,,2,0,1,0
8,25.0,15,0.10714285714285714,0.0,0.06319001064112795,,2,0,1,0
8,30.0,5,0.14814814814814814,0.0,0.03311642453591612,,4,0,2,0
8,30.0,10,0.14814814814814814,0.0,0.06319001064112795,,2,0,1,0
8,30.0,15,0.14814814814814814,0.0,0.06319001064112795,,2,0,1,0
9,20.0,5,0.375,0.4583333333333333,0.1326331216414265,0.12810707456978965,12,11,4,4
9,20.0,10,0.375,0.4583333333333333,0.13512620589401347,0.14285714285714302,12,11,4,4
9,20.0,15,0.375,0.4583333333333333,0.13860446676357874,0.14285714285714302,12,11,4,4
9,25.0,5,0.5625,0.5833333333333334,0.12743313713341597,0.1244047619047619,18,14,4,4
9,25.0,10,0.5625,0.5833333333333334,0.13070136790869413,0.1339285714285715,18,14,4,4
9,25.0,15,0.5625,0.5833333333333334,0.13417359013091645,0.1339285714285715,18,14,4,4
9,30.0,5,0.625,0.6666666666666666,0.11561361270171788,0.12132352941176472,20,16,4,4
9,30.0,10,0.625,0.6666666666666666,0.12122140522875813,0.1339285714285715,20,16,4,4
9,30.0,15,0.625,0.6666666666666666,0.12343409586056653,0.1339285714285715,20,16,4,4
10,20.0,5,0.625,0.75,0.13339920948616601,0.14762399094024048,20,18,4,4
10,20.0,10,0.625,0.75,0.13339920948616601,0.14773453489406807,20,18,4,4
10,20.0,15,0.625,0.75,0.13687747035573128,0.14773453489406807,20,18,4,4
10,25.0,5,0.78125,0.7916666666666666,0.12222222222222223,0.1473880597014925,25,19,4,4
10,25.0,10,0.78125,0.7916666666666666,0.13293051359516617,0.14760914760914767,25,19,4,4
10,25.0,15,0.78125,0.7916666666666666,0.1373913043478261,0.14760914760914767,25,19,4,4
10,30.0,5,0.84375,0.875,0.12745098039215685,0.14785992217898847,27,21,4,4
10,30.0,10,0.84375,0.875,0.1366459627329193,0.14785992217898847,27,21,4,4
10,30.0,15,0.84375,0.875,0.1373913043478261,0.14785992217898847,27,21,4,4
11,20.0,5,0.53125,0.3333333333333333,0.13981762917933138,0.23365423097670057,17,8,4,4
11,20.0,10,0.53125,0.3333333333333333,0.14497041420118362,0.24859271955315054,17,8,4,4
11,20.0,15,0.53125,0.3333333333333333,0.14790286975717448,0.24859271955315054,17,8,4,4
11,25.0,5,0.59375,0.5,0.12798264642082424,0.18416241975161318,19,12,4,4
11,25.0,10,0.59375,0.5,0.13823529411764723,0.18416241975161318,19,12,4,4
11,25.0,15,0.59375,0.5,0.14332247557003264,0.18416241975161318,19,12,4,4
11,30.0,5,0.71875,0.625,0.1305732484076434,0.18144611186903137,23,15,4,4
11,30.0,10,0.71875,0.625,0.1378555798687089,0.18144611186903137,23,15,4,4
11,30.0,15,0.71875,0.625,0.1414790996784565,0.18144611186903137,23,15,4,4
12,20.0,5,0.6111111111111112,0.375,0.1334276339887619,0.13888888888888884,22,9,4,4
12,20.0,10,0.6111111111111112,0.375,0.14392740174672491,0.13888888888888884,22,9,4,4
12,20.0,15,0.6111111111111112,0.375,0.14392740174672491,0.13888888888888884,22,9,4,4
12,25.0,5,0.6944444444444444,0.5833333333333334,0.13913043478260856,0.1339816022019411,25,14,4,4
12,25.0,10,0.6944444444444444,0.5833333333333334,0.14018691588785037,0.14449317738791423,25,14,4,4
12,25.0,15,0.6944444444444444,0.5833333333333334,0.14018691588785037,0.14449317738791423,25,14,4,4
12,30.0,5,0.6944444444444444,0.6666666666666666,0.13913043478260856,0.13004296829636508,25,16,4,4
12,30.0,10,0.6944444444444444,0.6666666666666666,0.14018691588785037,0.13532085430819618,25,16,4,4
12,30.0,15,0.6944444444444444,0.6666666666666666,0.14018691588785037,0.13532085430819618,25,16,4,4
