bin,share,n,expected
"[-40,-21]",0.05,60,0.43478260869565216
"[-20,-11]",0.15,60,0.21739130434782608
"[-10,-1]",0.8,60,0.21739130434782608
"[0,0]",0.0,60,0.021739130434782608
"[1,5]",0.0,60,0.10869565217391304
