date,nav,cash,regime,dividend_credit,w_def,tgt_def
2026-06-09,3000000.0,3000000.0,Sideways,0.0,0.0,0.0739680407545734
2026-06-10,2999842.1325129746,2404534.7425129744,Sideways,0.0,0.014158641729729856,0.07008306322260902
2026-06-11,3001907.979197071,1803524.3691970713,Sideways,0.0,0.027919546695237947,0.06782461260244119
2026-06-12,3012266.106711795,1196427.106711795,Sideways,0.0,0.042289690049680626,0.08178093205130689
2026-06-15,3030214.6367232525,578390.4367232524,Sideways,0.0,0.06355866599874446,0.09595196891219769
2026-06-16,3064736.428515634,144679.3485156339,Sideways,0.0,0.08506649301854313,0.09978290066914171
2026-06-17,3095753.5714469953,36586.49144699538,Sideways,0.0,0.0953206620584052,0.09978290066914171
2026-06-18,3113656.0414469955,36586.49144699538,Sideways,0.0,0.09667541821996212,0.09695435962776074
2026-06-22,3095483.471446995,36586.49144699538,Sideways,0.0,0.0994965351425472,0.09695435962776074
2026-06-23,3096763.7311602086,18954.131160208482,Sideways,0.0,0.09564397729788479,0.09695435962776074
2026-06-24,3061448.6711602085,18954.131160208482,Sideways,0.0,0.09637987491986244,0.0920834620804512
2026-06-25,3136563.6811602083,18954.131160208482,Sideways,0.0,0.09413151780511207,0.08786702199068572
2026-06-26,3074797.866685994,42187.30668599384,Sideways,0.0,0.08663283622188205,0.0844471611465865
2026-06-29,3092238.612679047,26253.89267904749,Sideways,0.0,0.08460398849147735,0.0844471611465865
2026-06-30,3112920.482679047,26253.89267904749,Sideways,0.0,0.08780328361127004,0.0844471611465865
2026-07-01,3110412.3426790475,26253.89267904749,Crisis,0.0,0.08989676261352612,0.1516882779135466
2026-07-02,3081841.2027190463,6937.952719046065,Sideways,0.0,0.13771186511023184,0.14001856630813905
2026-07-03,3101412.622719046,6937.952719046065,Sideways,0.0,0.13773946648397917,0.13692094665010843
2026-07-06,3119650.4781191014,49096.77811910131,Sideways,0.0,0.13184477007436635,0.12318008753756646
2026-07-07,3120504.354939335,38031.894939335194,Sideways,0.0,0.11985708637386956,0.10745680496576389
2026-07-08,3141793.67039525,31539.720395249882,Sideways,2456.9867997,0.10948188712746604,0.09693457490874244
2026-07-09,3120941.9769798853,35765.32697988534,Sideways,6064.211880000001,0.10142500319929534,0.09366584507607426
2026-07-13,3124924.871373697,18388.97137369729,Sideways,0.0,0.09357474564547102,0.08677707089588026
2026-07-14,3113270.371373697,18388.97137369729,Sideways,0.0,0.09088487867989176,0.073746994206677
2026-07-15,3101721.3669867017,40451.1969867018,Sideways,0.0,0.08102485370700852,0.073746994206677
2026-07-16,3138664.8730444475,16694.52304444763,Sideways,0.0,0.0735864163082725,0.06014537907595938
2026-07-17,3131099.7630444476,16694.52304444763,Crisis,0.0,0.0673432838163473,0.1012396315209885
2026-07-20,3128665.6763228737,3502.226322873321,Sideways,0.0,0.09097012255221484,0.07592972364074138
2026-07-21,3186324.857939534,48344.71793953368,Crisis,1499.3999999999999,0.08375179929788068,0.1154050141543218
2026-07-22,3194168.156788709,7694.3567887091485,Crisis,0.0,0.11023762141377211,0.14462249135337013
2026-07-23,3190277.4977359856,374.1977359855373,Crisis,0.0,0.13709749396734006,0.16655566406284178
