date,nav,cash,regime,dividend_credit,w_def,tgt_def
2026-06-09,3000000.0,3000000.0,Sideways,0.0,0.0,0.0
2026-06-10,3001928.295065745,2404285.4450657447,Sideways,0.0,0.0,0.0
2026-06-11,3004865.317528881,1802570.1175288812,Sideways,0.0,0.0,0.0
2026-06-12,3013699.313483595,1196550.3134835947,Sideways,0.0,0.0,0.0
2026-06-15,3028311.876683009,578981.4266830088,Sideways,0.0,0.0,0.0
2026-06-16,3072225.1349342177,144144.78493421743,Sideways,0.0,0.0,0.0
2026-06-17,3105327.240327205,36730.94032720507,Sideways,0.0,0.0,0.0
2026-06-18,3117449.3903272054,36730.94032720507,Sideways,0.0,0.0,0.0
2026-06-22,3086020.352256289,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-23,3094391.602256289,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-24,3057750.3022562894,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-25,3141594.7022562893,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-26,3089799.602256289,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-29,3109291.5522562894,15804.702256289198,Sideways,0.0,0.0,0.0
2026-06-30,3119329.0522562894,15804.702256289198,Sideways,0.0,0.0,0.0
2026-07-01,3109469.6522562895,15804.702256289198,Crisis,0.0,0.0,0.0
2026-07-02,3073952.4299730593,20566.279973059474,Sideways,0.0,0.0,0.0
2026-07-03,3093271.4299730593,20566.279973059474,Sideways,0.0,0.0,0.0
2026-07-06,3130286.9380091853,38742.03800918548,Sideways,0.0,0.0,0.0
2026-07-07,3150926.6849342054,34391.38493420536,Sideways,0.0,0.0,0.0
2026-07-08,3175741.8988491315,32399.698849131244,Sideways,2929.33775034,0.0,0.0
2026-07-09,3149473.740401743,28675.990401742747,Sideways,7034.64984,0.0,0.0
2026-07-13,3160765.540401743,28675.990401742747,Sideways,0.0,0.0,0.0
2026-07-14,3159029.5904017426,28675.990401742747,Sideways,0.0,0.0,0.0
2026-07-15,3135807.940401743,28675.990401742747,Sideways,0.0,0.0,0.0
2026-07-16,3181968.940401743,28675.990401742747,Sideways,0.0,0.0,0.0
2026-07-17,3201517.790401743,28675.990401742747,Crisis,0.0,0.0,0.0
2026-07-20,3207455.4315992314,20879.131599231237,Sideways,0.0,0.0,0.0
2026-07-21,3246417.110792292,33393.210792292,Crisis,756.0,0.0,0.0
2026-07-22,3246302.383391848,28044.48339184802,Crisis,0.0,0.0,0.0
2026-07-23,3238811.5933661927,25376.893366192544,Crisis,0.0,0.0,0.0
2026-07-24,3244955.427431134,19091.777431133927,Crisis,0.0,0.0,0.0
2026-07-27,3290078.5241178926,13625.374117892683,Crisis,0.0,0.0,0.0
2026-07-28,3288224.384291431,10082.834291430941,Crisis,0.0,0.0,0.0
2026-07-29,3299847.207398698,7062.107398698078,Crisis,0.0,0.0,0.0
2026-07-30,3359842.97862742,5321.028627419947,Crisis,0.0,0.0,0.0
2026-07-31,3420509.4286274198,5321.028627419947,Crisis,0.0,0.0,0.0
2026-08-03,3359085.8606035416,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-04,3317788.2106035417,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-05,3342681.660603542,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-06,3322099.9606035417,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-07,3344210.1606035414,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-10,3318567.360603542,2182.0606035415794,Crisis,0.0,0.0,0.0
2026-08-11,3248529.4606035417,38120.060603541584,Crisis,35938.0,0.0,0.0
2026-08-12,3242664.760603542,38120.060603541584,Crisis,0.0,0.0,0.0
2026-08-13,3183950.9606035417,79066.36060354159,Crisis,40946.3,0.0,0.0
2026-08-14,3197283.060603542,79066.36060354159,Crisis,0.0,0.0,0.0
2026-08-17,3222203.2547757947,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-18,3242779.4047757946,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-19,3234854.3047757945,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-20,3226489.9047757946,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-21,3257100.4547757944,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-24,3245038.9047757946,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-25,3264477.504775794,19353.80477579472,Crisis,0.0,0.0,0.0
2026-08-26,3245599.8047757945,19353.80477579472,Sideways,0.0,0.0,0.0
2026-08-27,3236147.4414138314,111683.39141383096,Sideways,0.0,0.0,0.0
2026-08-28,3296279.0969480295,119008.99694802923,Bull,0.0,0.0,0.0
2026-08-31,3343139.5532122487,71261.90321224902,Bull,0.0,0.0,0.0
2026-09-01,3367628.950664231,71250.20066423091,Bull,0.0,0.0,0.0
2026-09-02,3414304.9612304717,54399.111230471535,Bull,0.0,0.0,0.0
2026-09-03,3465052.069476426,50481.069476425924,Bull,0.0,0.0,0.0
2026-09-04,3472738.1100116307,67819.66001163119,Bull,0.0,0.0,0.0
