id,season,season_start,season_end,k_thresh,pre_days,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,no_pause,n_fills,coexist
TEL_KD_JUL_Klt25_T15,JUL,"[7, 1]","[7, 31]",25.0,15,-0.4557712405816261,-0.2747552587922808,0.3620319635786906,PASS,PASS,True,True,5519,False
TEL_KD_JUL_Klt30_T5,JUL,"[7, 1]","[7, 31]",30.0,5,-0.5183628254325168,-0.34713107597440507,0.3424634989162234,PASS,PASS,True,True,5524,False
TEL_KD_JUL_Klt30_T10,JUL,"[7, 1]","[7, 31]",30.0,10,-0.5100475574614016,-0.3648719306328374,0.29035125365712844,PASS,PASS,True,True,5519,False
TEL_KD_JUL_Klt30_T15,JUL,"[7, 1]","[7, 31]",30.0,15,-0.4840583354100758,-0.3134748519679542,0.3411669668842432,PASS,PASS,True,True,5524,False
TEL_KD_JUL15_AUG15_Klt20_T5,JUL15_AUG15,"[7, 15]","[8, 15]",20.0,5,-0.7024377885438304,-0.4873070310416727,0.4302615150043154,PASS,PASS,True,True,5572,False
TEL_KD_JUL15_AUG15_Klt20_T10,JUL15_AUG15,"[7, 15]","[8, 15]",20.0,10,-0.6523509944288186,-0.4143236247125426,0.47605473943255205,PASS,PASS,True,True,5594,False
TEL_KD_JUL15_AUG15_Klt20_T15,JUL15_AUG15,"[7, 15]","[8, 15]",20.0,15,-0.6989645814868162,-0.4898505589715385,0.41822804503055533,PASS,PASS,True,True,5586,False
TEL_KD_JUL15_AUG15_Klt25_T5,JUL15_AUG15,"[7, 15]","[8, 15]",25.0,5,-0.6946880848059944,-0.4873070310416727,0.4147621075286434,PASS,PASS,True,True,5582,False
TEL_KD_JUL15_AUG15_Klt25_T10,JUL15_AUG15,"[7, 15]","[8, 15]",25.0,10,-0.6376233930637465,-0.4143236247125426,0.4465995367024078,PASS,PASS,True,True,5616,False
TEL_KD_JUL15_AUG15_Klt25_T15,JUL15_AUG15,"[7, 15]","[8, 15]",25.0,15,-0.6844119848069874,-0.4898505589715385,0.3891228516708978,PASS,PASS,True,True,5602,False
TEL_KD_JUL15_AUG15_Klt30_T5,JUL15_AUG15,"[7, 15]","[8, 15]",30.0,5,-0.709999043833065,-0.4953270208276406,0.42934404601084886,PASS,PASS,True,True,5580,False
TEL_KD_JUL15_AUG15_Klt30_T10,JUL15_AUG15,"[7, 15]","[8, 15]",30.0,10,-0.6763330965428249,-0.45598732782508034,0.44069153743548917,PASS,PASS,True,True,5579,False
TEL_KD_JUL15_AUG15_Klt30_T15,JUL15_AUG15,"[7, 15]","[8, 15]",30.0,15,-0.716760157490004,-0.4968555591444934,0.43980919669102114,PASS,PASS,True,True,5552,False
TEL_KD_JUN_AUG_Klt20_T5,JUN_AUG,"[6, 1]","[8, 31]",20.0,5,-0.49263065128566375,-0.2756527845760859,0.4339557334191557,PASS,PASS,True,True,5587,False
TEL_KD_JUN_AUG_Klt20_T10,JUN_AUG,"[6, 1]","[8, 31]",20.0,10,-0.39123170801247387,-0.20659386838259852,0.3692756792597507,PASS,PASS,True,True,5543,False
TEL_KD_JUN_AUG_Klt20_T15,JUN_AUG,"[6, 1]","[8, 31]",20.0,15,-0.4450798966740943,-0.26637553580560747,0.3574087217369737,PASS,PASS,True,True,5606,False
TEL_KD_JUN_AUG_Klt25_T5,JUN_AUG,"[6, 1]","[8, 31]",25.0,5,-0.4932077854956862,-0.27350720107102156,0.43940116884932934,PASS,PASS,True,True,5602,False
TEL_KD_JUN_AUG_Klt25_T10,JUN_AUG,"[6, 1]","[8, 31]",25.0,10,-0.39123170801247387,-0.20659386838259852,0.3692756792597507,PASS,PASS,True,True,5543,False
TEL_KD_JUN_AUG_Klt25_T15,JUN_AUG,"[6, 1]","[8, 31]",25.0,15,-0.4450798966740943,-0.26637553580560747,0.3574087217369737,PASS,PASS,True,True,5606,False
TEL_KD_JUN_AUG_Klt30_T5,JUN_AUG,"[6, 1]","[8, 31]",30.0,5,-0.4955564698466475,-0.27350720107102156,0.44409853755125184,PASS,PASS,True,True,5601,False
TEL_KD_JUN_AUG_Klt30_T10,JUN_AUG,"[6, 1]","[8, 31]",30.0,10,-0.3940445897969824,-0.20659386838259852,0.3749014428287678,PASS,PASS,True,True,5544,False
TEL_KD_JUN_AUG_Klt30_T15,JUN_AUG,"[6, 1]","[8, 31]",30.0,15,-0.4478855236432766,-0.26637553580560747,0.3630199756753383,PASS,PASS,True,True,5606,False
TEL_KD_MAY15_AUG15_Klt20_T5,MAY15_AUG15,"[5, 15]","[8, 15]",20.0,5,-0.48895066249512453,-0.27350720107102156,0.43088692284820596,PASS,PASS,True,True,5591,False
TEL_KD_MAY15_AUG15_Klt20_T10,MAY15_AUG15,"[5, 15]","[8, 15]",20.0,10,-0.38990803728043977,-0.20659386838259852,0.3666283377956825,PASS,PASS,True,True,5544,False
TEL_KD_MAY15_AUG15_Klt20_T15,MAY15_AUG15,"[5, 15]","[8, 15]",20.0,15,-0.4438261313859937,-0.26637553580560747,0.35490119116077246,PASS,PASS,True,True,5614,False
TEL_KD_MAY15_AUG15_Klt25_T5,MAY15_AUG15,"[5, 15]","[8, 15]",25.0,5,-0.5009816371018272,-0.2872880145390999,0.42738724512545456,PASS,PASS,True,True,5606,False
TEL_KD_MAY15_AUG15_Klt25_T10,MAY15_AUG15,"[5, 15]","[8, 15]",25.0,10,-0.37634689280927613,-0.20087428917836547,0.3509452072618213,PASS,PASS,True,True,5565,False
TEL_KD_MAY15_AUG15_Klt25_T15,MAY15_AUG15,"[5, 15]","[8, 15]",25.0,15,-0.42900168707870057,-0.24493808411059081,0.3681272059362195,PASS,PASS,True,True,5569,False
TEL_KD_MAY15_AUG15_Klt30_T5,MAY15_AUG15,"[5, 15]","[8, 15]",30.0,5,-0.43484035671874643,-0.22673593526066904,0.4162088429161548,PASS,PASS,True,True,5611,False
TEL_KD_MAY15_AUG15_Klt30_T10,MAY15_AUG15,"[5, 15]","[8, 15]",30.0,10,-0.40144566662709824,-0.21554004620357725,0.371811240847042,PASS,PASS,True,True,5562,False
TEL_KD_MAY15_AUG15_Klt30_T15,MAY15_AUG15,"[5, 15]","[8, 15]",30.0,15,-0.41382139361346715,-0.22317148202296577,0.38129982318100275,PASS,PASS,True,True,5581,False
