股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
2429,銘旺科,,10,,216,206,,,,,,,,,OX 
2430,燦坤,,,,58,58,29200,,,,1,1,29200,, 
2431,聯昌,,60,,1277,1217,,,,,,,,,OX 
2432,倚天酷碁-創,1,,,305,306,15465,,,,,,15465,, 
2433,互盛電,,,,26,26,36124,,,,,,36124,, 
2434,統懋,194,157,,498,535,2377,1,2,,7,8,2377,9, 
2436,偉詮電,191,190,1,6781,6781,52198,7,15,48,664,624,52198,10, 
2438,翔耀,,,,,,,,,,,,,,OX 
2439,美律,49,20,3,4144,4170,62160,,,,3,3,62160,, 
2440,太空梭,5,16,,1612,1601,25916,,,,10,10,25916,, 
2441,超豐,56,151,10,7476,7371,142211,,,,1,1,142211,1, 
2442,新美齊,73,29,,4187,4231,79113,,,,,,79113,,X 
2444,兆勁,,,,,,,,,,,,,,OX 
2449,京元電子,1982,1734,10,24113,24351,320970,71,26,2,170,123,320970,22, 
2450,神腦,,,5,64,59,64563,,,,,,64563,, 
2451,創見,254,202,,6251,6303,107836,23,26,,252,255,107836,, 
2453,凌群,1,32,36,2325,2258,25000,,,,1,1,25000,, 
2454,聯發科,534,755,2,10759,10536,400973,,14,,33,47,400973,3, 
2455,全新,736,2008,2,10581,9307,46877,151,184,1,961,993,46877,41, 
2457,飛宏,130,51,2,12423,12500,106193,1,,,50,49,106193,, 
2458,義隆,127,85,,3871,3913,75970,,9,,39,48,75970,, 
2459,敦吉,2,1,,96,97,26398,,,,,,26398,, 
2460,建通,,,,206,206,,,,,,,,,OX 
2461,光群雷,6,3,,7768,7771,47971,,,,8,8,47971,, 
2462,良得電,3,26,14,2305,2268,30486,,,,,,30486,, 
2464,盟立,1637,3559,,18134,16212,54170,7,359,,196,548,54170,20, 
2465,麗臺,1003,1143,,5444,5304,17236,71,21,,123,73,17236,16, 
2466,冠西電,178,153,,5822,5847,40952,36,,,330,294,40952,, 
2467,志聖,32,44,,1674,1662,40432,2,3,2,47,46,40432,1, 
2468,華經,60,19,,3410,3451,17490,17,,,23,6,17490,, 
2471,資通,1,1,,1264,1264,11813,,,,1,1,11813,, 
2472,立隆電,125,365,12,5634,5382,41183,7,3,,24,20,41183,, 
2474,可成,73,169,2,7130,7032,134705,4,,,10,6,134705,, 
2476,鉅祥,168,223,,41276,41221,55013,3,,2,25,20,55013,,@ 
2477,美隆電,,2,,1125,1123,39643,,,,2,2,39643,, 
2478,大毅,151,333,1,9861,9678,36182,4,10,,109,115,36182,7, 
2480,敦陽科,3,4,,457,456,26590,,,,,,26590,, 
2481,強茂,4390,5894,,15993,14489,95528,27,250,,764,987,95528,44, 
2482,連宇,4,7,,1732,1729,19470,,,,,,19470,, 
2483,百容,30,46,,2112,2096,26972,,3,,7,10,26972,2, 
2484,希華,636,1254,,16062,15444,39855,92,70,,140,118,39855,2, 
2485,兆赫,137,374,1,10913,10675,79422,20,20,,231,231,79422,3, 
2486,一詮,3913,4098,,23917,23732,60181,93,447,,651,1005,60181,107, 
2488,漢平,2,,,446,448,19999,,,,,,19999,, 
2489,瑞軒,2011,4208,1,37929,35731,152500,214,171,,1397,1354,152500,25, 
2491,吉祥全,290,417,,1957,1830,20502,15,39,,40,64,20502,16, 
2492,華新科,1303,1426,,16280,16157,121301,68,810,,1869,2611,121301,41, 
2493,揚博,55,88,,9329,9296,31699,1,,,20,19,31699,1, 
2495,普安,143,127,,7809,7825,68387,1,,,7,6,68387,6, 
2496,卓越,,,,34,34,4775,,,,,,4775,, 
2497,怡利電,18,4,,1664,1678,29521,,,,2,2,29521,, 
2498,宏達電,1093,582,14,28154,28651,209036,20,32,,214,226,209036,48, 
2501,國建,95,2,,4673,4766,289890,,,,2,2,289890,, 
2504,國產,5,42,,5973,5936,295000,,,,10,10,295000,, 
2505,國揚,10,,,3273,3283,95000,,,,,,95000,, 
2506,太設,6,,,1846,1852,75125,,,,,,75125,, 
2509,全坤建,10,44,,637,603,56137,,,,1,1,56137,, 
2511,太子,5,2,,2442,2445,405831,,,,1,1,405831,, 
2514,龍邦,3,,,18221,18224,98682,,,,,,98682,, 
2515,中工,287,229,1,29027,29084,401976,2,,,46,44,401976,, 
2516,新建,,,,,,,,,,,,,,OX 
2520,冠德,21,72,,1960,1909,152371,,1,,4,5,152371,, 
2524,京城,5,2,,3196,3199,91495,,,,,,91495,, 
2527,宏璟,180,43,,5261,5398,67576,,,,,,67576,, 
2528,皇普,,59,,5652,5593,108999,,,,,,108999,, 
2530,華建,5,67,,6862,6800,210313,,,,7,7,210313,, 
2534,宏盛,2,36,,8565,8531,118556,,,,,,118556,, 
2535,達欣工,,,3,252,249,67698,,,,3,3,67698,, 
2536,宏普,133,819,,3820,3134,83202,,,,,,83202,, 
2537,聯上發,29,56,,3758,3731,75139,,,,15,15,75139,, 
2538,基泰,101,55,,2743,2789,111256,,,,2,2,111256,, 
2539,櫻花建,10,16,2,1331,1323,298275,,,2,28,26,298275,, 
2540,愛山林,25,34,1,2750,2740,236218,,,1,16,15,236218,, 
2542,興富發,176,144,,3557,3589,538270,4,4,,16,16,538270,, 
2543,皇昌,28,73,10,8642,8587,132135,,,,16,16,132135,, 
2545,皇翔,1,4,3,2737,2731,94933,,,,1,1,94933,, 
2546,根基,11,25,,208,194,32631,,,,,,32631,, 
2547,日勝生,7,85,,9609,9531,258773,,,,,,258773,, 
2548,華固,19,20,13,1808,1794,83926,,,,9,9,83926,, 
2597,潤弘,10,1,1,152,160,77679,,,,,,77679,, 
2601,益航,,2,,259,257,,,,,,,,,OX 
2603,長榮,139,480,,12120,11779,541260,,45,,356,401,541260,1, 
2605,新興,1321,1077,,14385,14629,146338,73,4,,222,153,146338,4, 
2606,裕民,981,622,1,3446,3804,211263,19,144,,172,297,211263,32, 
2607,榮運,5,19,,736,722,133392,,2,,2,4,133392,, 
2608,嘉里大榮,1,,,1128,1129,116750,,,,1,1,116750,, 
2609,陽明,998,3130,16,37959,35811,873026,17,67,,2034,2084,873026,16, 
2610,華航,91,936,20,43862,42997,1536247,,,,250,250,1536247,, 
2611,志信,40,89,,3062,3013,47250,,,,3,3,47250,, 
2612,中航,96,274,,1780,1602,49371,,10,,6,16,49371,2, 
2613,中櫃,52,103,,2873,2822,37105,,,,6,6,37105,, 
2614,東森,5,13,5,5518,5505,81816,,,,,,81816,, 
2615,萬海,2248,1734,,14513,15027,701536,23,159,,1250,1386,701536,15, 
2616,山隆,,,,424,424,34320,,,,,,34320,, 
2617,台航,399,175,1,2181,2404,104323,,,1,4,3,104323,6, 
2618,長榮航,162,859,1,22449,21751,1350111,2,146,,844,988,1350111,, 
2630,亞航,223,82,,5515,5656,52359,1,,,46,45,52359,, 
2633,台灣高鐵,,35,,1684,1649,657073,,,,36,36,657073,, 
2634,漢翔,813,1623,,24976,24166,235466,76,33,,344,301,235466,17, 
2636,台驊控股,34,36,,732,730,35458,,,,1,1,35458,, 
2637,慧洋-KY,382,1078,,4091,3395,186602,,74,,169,243,186602,1, 
2642,宅配通,,,,602,602,23866,,,,5,5,23866,, 
2645,長榮航太,63,177,1,4798,4683,93642,,3,,6,9,93642,, 
2646,星宇航空,430,121,1,3812,4120,752183,,,,25,25,752183,, 
2701,萬企,5,3,,368,370,112491,,,,,,112491,, 
2702,華園,6,,,439,445,39153,,,,,,39153,, 
2704,國賓,,1,,95,94,91730,,,,,,91730,, 
2705,六福,,1,,551,550,46634,,,,,,46634,, 
2706,第一店,,1,,659,658,124999,,,,,,124999,,X 
2707,晶華,,,,140,140,31850,,,,,,31850,, 
2712,遠雄來,,,,6,6,,,,,,,,,OX 
2722,夏都,2,15,,300,287,35792,,,,,,35792,, 
2723,美食-KY,54,52,,1474,1476,45000,,,,15,15,45000,, 
2727,王品,5,,,269,274,20735,,,,3,3,20735,, 
2731,雄獅,1,1,,830,830,23319,,,,6,6,23319,, 
2739,寒舍,9,20,,897,886,22881,,,,,,22881,, 
2748,雲品,,,,479,479,26444,,,,,,26444,, 
2753,八方雲集,,,,487,487,16661,,,,2,2,16661,, 
2762,世界健身-KY,9,,,214,223,28125,,,,,,28125,, 
2801,彰銀,1577,478,2,9148,10245,3015049,2,33,,126,157,3015049,3, 
2812,台中銀,1637,13,,2395,4019,1505406,,,,29,29,1505406,, 
2816,旺旺保,56,32,,976,1000,55902,,,,5,5,55902,2, 
2820,華票,59,134,,472,397,335740,,,,1,1,335740,, 
2832,台產,,3,,572,569,63385,,,,,,63385,, 
2834,臺企銀,601,84,,23973,24490,2599581,3,1,5,69,62,2599581,, 
2836,高雄銀,137,276,,6328,6189,464579,,,,2,2,464579,, 
2838,聯邦銀,23,2,,1683,1704,1085137,,,,1,1,1085137,, 
2845,遠東銀,354,1412,1,4271,3212,1216321,,56,,20,76,1216321,91, 
2849,安泰銀,5,17,,340,328,223623,,,,,,223623,, 
2850,新產,1,50,,286,237,78990,,,,,,78990,, 
2851,中再保,322,139,,2875,3058,200097,,16,,24,40,200097,2, 
2852,第一保,5,18,,1635,1622,75290,,,,,,75290,, 
2855,統一證,172,202,,4744,4714,400353,5,2,,145,142,400353,, 
2880,華南金,52,155,,999,896,3514033,73,38,,146,111,3514033,, 
2881,富邦金,2476,2419,2,6004,6059,3501841,12,30,,319,337,3501841,, 
2882,國泰金,1051,517,,5464,5998,3667302,4,50,,276,322,3667302,2, 
2883,凱基金,2063,494,,9286,10855,4243711,16,52,,228,264,4243711,7, 
2884,玉山金,2896,416,4,4985,7461,4430877,3,91,5,191,274,4430877,50, 
2885,元大金,551,986,,2212,1777,3332787,2,2,,3,3,3332787,2, 
2886,兆豐金,82,515,,1661,1228,3708344,,22,,31,53,3708344,1, 
2887,台新新光金,1781,947,2,40276,41108,6278765,26,107,,380,461,6278765,5, 
2889,國票金,1262,192,1,3020,4089,908390,1,21,,31,51,908390,1, 
2890,永豐金,104,164,,1673,1613,3695542,1,2,2,79,78,3695542,, 
2891,中信金,408,489,6,3358,3271,4918983,86,18,,130,62,4918983,3, 
2892,第一金,92,143,,1314,1263,3594867,1,11,,59,69,3594867,, 
2897,王道銀行,136,152,,1249,1233,701339,,1,,3,4,701339,, 
2901,欣欣,,1,,476,475,18260,,,,,,18260,, 
2903,遠百,3,9,,1554,1548,354235,,,,,,354235,, 
2904,匯僑,,,,9,9,19458,,,,,,19458,, 
2905,三商,36,52,,6884,6868,277592,,4,,7,11,277592,, 
2906,高林,3,,,567,570,52279,,,,,,52279,, 
2908,特力,135,,,15395,15530,127471,,,,,,127471,, 
2910,統領,,,,44,44,43850,,,,,,43850,, 
2911,麗嬰房,10,1,,185,194,24931,,,,,,24931,, 
2912,統一超,4,3,,640,641,259905,,,,,,259905,, 
2913,農林,87,6,,7529,7610,176687,1,,,2,1,176687,, 
2915,潤泰全,127,136,,9749,9740,276079,2,,,16,14,276079,, 
2929,淘帝-KY,,,4,2051,2047,27373,,,,,,27373,, 
2939,永邑-KY,,,,241,241,11387,,,,,,11387,, 
3002,歐格,3,1,,1843,1845,25500,2,1,,21,20,25500,2, 
3003,健和興,71,170,100,2479,2280,38913,8,,,13,5,38913,, 
3004,豐達科,81,82,,2045,2044,16099,,,,2,2,16099,, 
3005,神基,132,85,20,8637,8664,156157,3,4,,46,47,156157,, 
3006,晶豪科,2832,2951,,18329,18210,74531,32,113,,496,577,74531,96, 
3008,大立光,248,213,4,4135,4166,32699,30,6,1,115,90,32699,177, 
3010,華立,26,73,,1281,1234,64859,,,,4,4,64859,2, 
3011,今皓,32,2,,2525,2555,29293,,,,,,29293,, 
3013,晟銘電,71,74,14,8478,8461,51284,,3,,33,36,51284,15, 
3014,聯陽,61,151,,2649,2559,41488,,,,20,20,41488,, 
3015,全漢,17,24,2,2445,2436,46815,,,,,,46815,1, 
3016,嘉晶,226,324,,7843,7745,72742,4,18,,53,67,72742,10, 
3017,奇鋐,271,412,7,4209,4061,98600,26,2,,69,45,98600,3, 
3018,隆銘綠能,,,,,,,,,,,,,,OX 
3019,亞光,2747,3805,25,13039,11956,69810,93,12,,134,53,69810,56, 
3021,鴻名,70,18,,578,630,23722,,4,,,4,23722,, 
3022,威強電,100,161,17,6353,6275,44149,2,7,,12,17,44149,, 
3023,信邦,128,140,,1103,1091,60017,,1,,6,7,60017,16, 
3024,憶聲,107,179,,10554,10482,69289,,,,42,42,69289,, 
3025,星通,22,4,,1577,1595,14184,,,,,,14184,, 
3026,禾伸堂,367,1118,4,10682,9927,41472,35,37,10,251,243,41472,8, 
3027,盛達,1,1,,4601,4601,28540,,,,1,1,28540,, 
3028,增你強,37,9,,2871,2899,59310,1,,,45,44,59310,, 
3029,零壹,63,44,,2779,2798,38751,1,1,2,11,9,38751,, 
3030,德律,280,197,7,9958,10034,59054,2,12,,6,16,59054,8, 
3031,佰鴻,15,28,20,5316,5283,43300,,,,7,7,43300,1, 
3032,偉訓,24,77,,8035,7982,25821,2,,,7,5,25821,, 
3033,威健,56,90,,9616,9582,130218,1,1,,951,951,130218,3, 
3034,聯詠,76,50,,2527,2553,152127,29,4,,157,132,152127,1, 
3035,智原,120,246,1,10512,10385,65137,31,14,,306,289,65137,3, 
3036,文曄,931,718,1,13251,13463,317755,1,2,,35,36,317755,54, 
3037,欣興,1336,1670,7,35277,34936,410766,135,98,744,1464,683,410766,40, 
3038,全台,,6,,1526,1520,39351,,,,,,39351,, 
3040,遠見,41,8,,9927,9960,16556,,5,,1,6,16556,, 
3041,揚智,27,66,,3347,3308,29268,11,2,,58,49,29268,, 
3042,晶技,410,1420,7,13741,12724,79498,38,40,1,226,227,79498,12, 
3043,科風,6,3,,829,832,9743,,,,,,9743,, 
3044,健鼎,86,118,2,5718,5684,131401,5,7,,48,50,131401,, 
3045,台灣大,10,38,,170,142,930857,1,,173,358,184,930857,, 
3046,建碁,26,27,,1113,1112,19612,1,,,10,9,19612,, 
3047,訊舟,39,9,,6235,6265,56190,,,,3,3,56190,, 
3048,益登,88,97,,6598,6589,61207,4,3,,23,22,61207,, 
3049,精金,145,201,,4398,4342,200502,5,4,,33,32,200502,, 
3050,鈺德,24,84,,3013,2953,38746,,,,,,38746,, 
3051,力特,44,13,,4021,4052,34159,2,4,,3,5,34159,, 
3052,夆典,154,4,5,1747,1892,58311,,,,,,58311,, 
3054,立萬利,8,25,,1022,1005,20162,,,,,,20162,, 
3055,蔚華科,511,648,,7496,7359,25610,54,36,,93,75,25610,10, 
3056,富華新,24,4,,3464,3484,120138,,,,2,2,120138,, 
3057,喬鼎,,,,,,,,,,,,,,OX 
3058,立德,,,,,,,,,,,,,,OX 
3059,華晶科,322,96,117,11154,11263,76917,22,,,22,,76917,,X 
3060,銘異,70,47,,8273,8296,34390,,5,,4,9,34390,, 
3062,建漢,185,14,7,9774,9938,82522,6,,,57,51,82522,, 
3090,日電貿,171,349,,7116,6938,71891,7,24,,88,105,71891,1, 
3092,鴻碩,16,4,,3627,3639,26662,,,,4,4,26662,, 
3094,聯傑,743,587,,3281,3437,20779,34,40,,128,134,20779,28, 
3130,一零四,,4,,14,10,8297,,,,,,8297,, 
3135,凌航,113,101,,3047,3059,24289,1,13,,215,227,24289,, 
3138,耀登,11,4,,2027,2034,14098,,1,,17,18,14098,, 
3149,正達,645,1251,,22482,21876,68533,14,96,,87,169,68533,5, 
3150,鈺寶-創,,,,234,234,11094,,,,,,11094,, 
3164,景岳,,,,305,305,21502,,,,,,21502,, 
3167,大量,303,714,1,8040,7628,22581,14,4,77,170,83,22581,5, 
3168,眾福科,9,,,28,37,18774,,,,,,18774,, 
3189,景碩,1548,1079,5,21178,21642,131727,88,35,,346,293,131727,30, 
3209,全科,112,292,20,5060,4860,58847,,,,,,58847,, 
3229,晟鈦,77,115,,1320,1282,5228,,,,,,5228,, 
3231,緯創,4003,3420,2,47480,48061,795013,7,113,100,518,524,795013,71, 
3257,虹冠電,,4,,2379,2375,19955,3,,,7,4,19955,, 
3266,昇陽,,,,347,347,88078,,,,,,88078,, 
3296,勝德,7,,,1850,1857,24181,,,,5,5,24181,, 
3305,昇貿,96,103,1,7568,7560,35843,,13,8,40,45,35843,, 
3308,聯德,7,,18,593,582,15000,,,,,,15000,, 
3311,閎暉,76,6,,3031,3101,25000,,,,,,25000,, 
3312,弘憶股,551,335,1,5173,5388,45656,,,,,,45656,,X 
3321,同泰,,,,,,,,,,,,,,OX 
3338,泰碩,40,11,1,3387,3415,21977,1,,,10,9,21977,, 
3346,麗清,4,5,,2842,2841,30307,,,,,,30307,, 
3356,奇偶,22,44,1,1678,1655,20135,,,,,,20135,,X 
3376,新日興,451,386,72,11598,11591,48945,15,11,,171,167,48945,2, 
3380,明泰,517,361,,5550,5706,135429,6,31,,9,34,135429,3, 
3406,玉晶光,228,455,1,3771,3543,28185,61,70,,436,445,28185,298, 
3413,京鼎,39,32,1,3730,3736,27818,,2,,1,3,27818,, 
3416,融程電,18,19,,874,873,20194,,,,3,3,20194,, 
3419,譁裕,,,,929,929,,,,,,,,,OX 
3432,台端,,,,,,,,,,,,,,OX 
3437,榮創,72,50,,2646,2668,36137,,,,44,44,36137,, 
3443,創意,110,155,,4810,4765,33502,,5,,106,111,33502,3, 
3447,展達,3,4,1,1899,1897,19362,,,,7,7,19362,, 
3450,聯鈞,76,760,1,13261,12576,36420,261,1,,739,479,36420,176, 
3481,群創,22323,18153,13,317405,321562,1997299,357,1495,,4754,5892,1997299,384, 
3494,誠研,,,,,,,,,,,,,,OX 
3501,維熹,1,,,1187,1188,29564,,,,,,29564,, 
3504,揚明光,486,389,1,3561,3657,28514,134,17,,475,358,28514,3, 
3515,華擎,70,36,,1646,1680,30886,2,,,2,,30886,, 
3518,柏騰,282,231,,4620,4671,23391,1,28,,63,90,23391,4, 
3528,安馳,69,10,3,1895,1951,16659,,,,,,16659,, 
3530,晶相光,4,10,1,1364,1357,19368,,,,4,4,19368,, 
3532,台勝科,194,377,2,8899,8714,96962,11,124,,537,650,96962,5, 
3533,嘉澤,15,37,3,1725,1700,28133,,,,7,7,28133,, 
3535,晶彩科,58,52,,3770,3776,19763,1,,,57,56,19763,1, 
3543,州巧,371,935,,4622,4058,27565,82,14,,229,161,27565,9, 
3545,敦泰,112,92,,4344,4364,55602,,1,,36,37,55602,4, 
3550,聯穎,66,105,,14038,13999,26887,,,,11,11,26887,, 
3557,嘉威,,,,372,372,17999,,,,,,17999,, 
3563,牧德,65,74,24,5966,5933,12300,2,,,4,2,12300,1, 
3576,聯合再生,,,,,,,,,,,,,,OX 
3583,辛耘,75,40,,1901,1936,20964,9,,,24,15,20964,5, 
3588,通嘉,32,38,,1689,1683,15498,5,,,5,,15498,, 
3591,艾笛森,159,104,3,27012,27064,36346,15,,,25,10,36346,,X 
3592,瑞鼎,4,6,1,1014,1011,18963,,,,,,18963,, 
3593,力銘,,,,,,,,,,,,,,OX 
3596,智易,150,43,1,1988,2094,55088,1,,,3,2,55088,, 
3605,宏致,1284,2952,,18843,17175,43895,44,245,6,1533,1728,43895,24, 
3607,谷崧,22,,,1939,1961,30415,,,,,,30415,, 
3617,碩天,36,49,1,1840,1826,23691,1,,,11,10,23691,, 
3622,洋華,33,6,9,1503,1521,37831,,,,,,37831,,X 
3645,達邁,185,275,,6224,6134,34188,11,5,,69,63,34188,, 
3652,精聯,,3,,543,540,18774,,,,,,18774,, 
3653,健策,76,149,4,3047,2970,36683,1,,,61,60,36683,1, 
3661,世芯-KY,384,166,1,5842,6059,20877,,2,,,2,20877,24, 
3665,貿聯-KY,197,165,2,3467,3497,49894,1,1,,4,4,49894,, 
3669,圓展,38,21,,881,898,23229,,,,,,23229,, 
3673,TPK-KY,219,436,1,13959,13741,101665,13,2,,227,216,101665,40, 
3679,新至陞,,1,,93,92,15755,,,,,,15755,, 
3686,達能,,,,,,,,,,,,,,OX 
3694,海華,161,229,,7372,7304,38732,1,1,,16,16,38732,1, 
3701,大眾控,266,215,,6041,6092,53917,4,10,,65,71,53917,1, 
3702,大聯大,181,697,1,9532,9015,437843,2,11,,17,26,437843,1, 
3703,欣陸,21,25,,1501,1497,205803,,,,2,2,205803,, 
3704,合勤控,835,74,,9496,10257,103861,1,104,,14,117,103861,, 
3705,永信,,,1,368,367,66605,,,,,,66605,, 
3706,神達,932,1735,40,26908,26065,331803,18,,29,60,13,331803,,X 
3708,上緯投控,16,49,1,2969,2935,23190,1,2,2,244,243,23190,, 
3711,日月光投控,167,723,,13528,12972,1120092,12,24,,155,167,1120092,4, 
3712,永崴投控,13,7,,2237,2243,61560,,,,15,15,61560,, 
3714,富采,2924,1922,34,24261,25229,166985,5,27,6,164,180,166985,50, 
3715,定穎投控,587,696,5,23495,23381,70893,25,29,1,531,534,70893,7, 
3716,中化控股,1,,,701,702,37441,,,,,,37441,, 
3717,聯嘉投控,38,55,,12965,12948,52898,,,,474,474,52898,, 
4104,佳醫,2,3,,66,65,47091,,,,1,1,47091,, 
4106,雃博,,5,,705,700,25227,,,,,,25227,, 
4108,懷特,,,,,,,,,,,,,,OX 
4119,旭富,2,25,,471,448,29877,,,,,,29877,, 
4133,亞諾法,,17,,1250,1233,15138,,,,,,15138,, 
4137,麗豐-KY,10,,,1122,1132,20623,,,,12,12,20623,, 
4142,國光生,88,11,,6578,6655,107376,,,,,,107376,, 
4148,全宇生技-KY,1,,,341,342,16808,,,,,,16808,, 
4155,訊映,9,,,929,938,36171,,,,,,36171,, 
4164,承業醫,6,6,4,5335,5331,47647,,,,,,47647,, 
4190,佐登-KY,,,,279,279,15316,,,,,,15316,, 
4306,炎洲,131,32,,5574,5673,169189,,1,,,1,169189,, 
4414,如興,3,4,,685,684,53409,,,,,,53409,, 
4426,利勤,11,18,70,1111,1034,43169,,,,,,43169,, 
4438,廣越,3,,,571,574,28356,,,,,,28356,, 
4439,冠星-KY,,,,240,240,9529,,,,,,9529,, 
4440,宜新實業,2,,,110,112,16899,,,,,,16899,, 
4441,振大環球,,1,,226,225,17043,,,,,,17043,, 
4526,東台,838,170,,5403,6071,63706,,33,,91,124,63706,15, 
4532,瑞智,19,16,,2298,2301,123723,,,,1,1,123723,, 
4536,拓凱,6,12,,541,535,22705,,,,,,22705,, 
4540,全球傳動,646,364,,4147,4429,28796,,4,,257,261,28796,8, 
4545,銘鈺,92,120,,1161,1133,19250,,,,,,19250,, 
4551,智伸科,66,186,1,3619,3498,28805,,,,1,1,28805,5, 
4552,力達-KY,22,,108,2215,2129,29000,,,,12,12,29000,, 
4555,氣立,5,17,,2123,2111,17496,,,,41,41,17496,, 
4557,永新-KY,1,,,460,461,11992,,,,,,11992,, 
4560,強信-KY,,,,315,315,17024,,,,1,1,17024,, 
4562,穎漢,1,14,,1724,1711,21886,,,,33,33,21886,, 
4564,元翎,58,107,1,9940,9890,58197,,2,,69,71,58197,, 
4566,時碩工業,242,138,8,4578,4674,27595,,3,,31,34,27595,17, 
4569,六方科-KY,13,24,,745,734,7650,,,,,,7650,, 
4571,鈞興-KY,9,12,10,1064,1051,13254,,,,,,13254,, 
4572,駐龍,,1,,244,243,10004,,,,1,1,10004,, 
4576,大銀微系統,856,566,,2959,3249,29950,12,11,,52,51,29950,16, 
4581,光隆精密-KY,,,,17,17,8474,,,,,,8474,, 
4583,台灣精銳,12,5,,2708,2715,20042,,,,3,3,20042,1, 
4585,達明,13,7,,695,701,26416,,,,55,55,26416,, 
4588,玖鼎電力,,,,382,382,10746,,,,,,10746,, 
4590,富田-創,1,23,,283,261,13709,,,,,,13709,, 
4720,德淵,29,47,,3340,3322,28629,,,,,,28629,, 
4722,國精化,43,104,10,11128,11057,26034,8,3,,97,92,26034,, 
4736,泰博,3,21,,264,246,23843,,,,2,2,23843,, 
4737,華廣,3,1,,1585,1587,19350,,,,,,19350,, 
4739,康普,134,43,,7986,8077,30387,11,1,,93,83,30387,1, 
4746,台耀,39,9,,2163,2193,30063,,10,,,10,30063,, 
4755,三福化,6,43,,950,913,25176,,,,,,25176,, 
4763,材料*-KY,1085,593,2,40312,40802,247286,68,48,,75,55,247286,2, 
4764,雙鍵,408,586,,4733,4555,21385,59,6,,202,149,21385,2, 
4766,南寶,2,2,,1041,1041,30142,,,,1,1,30142,, 
4770,上品,23,31,3,1222,1211,19994,,,,8,8,19994,1, 
4771,望隼,40,29,,574,585,14690,,,,,,14690,, 
4807,日成-KY,1,13,,1087,1075,12249,,,,14,14,12249,, 
4904,遠傳,8,152,,814,670,878566,,2,,35,37,878566,, 
4906,正文,322,612,,30371,30081,112961,16,8,,145,137,112961,, 
4912,聯德控股-KY,143,129,,3918,3932,16748,,1,,1,2,16748,2,X 
4915,致伸,113,93,,4707,4727,117970,,,,33,33,117970,, 
4916,事欣科,133,153,,7449,7429,31020,4,33,,88,117,31020,, 
4919,新唐,128,115,4,12484,12493,113099,88,9,,804,725,113099,, 
4927,泰鼎-KY,442,405,,25497,25534,66234,14,13,,261,260,66234,23, 
4930,燦星網,10,10,,3851,3851,20000,,,,,,20000,, 
4934,太極,,,,,,,,,,,,,,OX 
4935,茂林-KY,,10,2,605,593,32216,,1,,,1,32216,, 
4938,和碩,178,531,,4378,4025,670511,2,5,,27,30,670511,2, 
4942,嘉彰,4,,,582,586,35591,,,,,,35591,, 
4943,康控-KY,,,,,,,,,,,,,,OX 
4949,有成精密,168,252,,2825,2741,16940,6,1,,51,46,16940,, 
4952,凌通,7,23,,1381,1365,27203,,,,6,6,27203,, 
4956,光鋐,192,209,,6624,6607,25102,11,,,117,106,25102,22, 
4958,臻鼎-KY,3112,3329,2,34612,34393,279318,114,70,,287,243,279318,36, 
4960,誠美材,220,138,,15165,15247,142926,1,1,,98,98,142926,1, 
4961,天鈺,42,22,,1138,1158,30313,,,,8,8,30313,, 
4967,十銓,288,270,,7764,7782,24641,43,27,18,1472,1438,24641,4, 
4968,立積,71,7,,4997,5061,23052,,1,,30,31,23052,, 
4976,佳凌,961,960,,5469,5470,35304,233,29,,512,308,35304,6, 
4977,眾達-KY,405,542,2,6919,6780,20672,46,59,,204,217,20672,23, 
4989,榮科,285,440,,15940,15785,43194,16,42,,105,131,43194,2, 
4994,傳奇,3,,,1793,1796,16595,,,,2,2,16595,, 
4999,鑫禾,,,,396,396,18604,,,,,,18604,, 
5007,三星,,,,7,7,73735,,,,,,73735,, 
5203,訊連,1,19,,955,937,19835,,,,2,2,19835,, 
5215,科嘉-KY,,3,,744,741,16084,,,,,,16084,, 
5222,全訊,25,14,,1892,1903,22781,,,,13,13,22781,, 
5225,東科-KY,5,14,,1225,1216,19784,,,,5,5,19784,, 
5234,達興材料,19,11,11,1403,1400,25678,,,,28,28,25678,, 
5236,凌陽創新,13,3,,266,276,15001,,,,4,4,15001,, 
5243,乙盛-KY,95,69,,8915,8941,42132,17,1,,33,17,42132,, 
5244,弘凱,6,1,,2261,2266,17060,,1,,4,5,17060,1, 
5258,虹堡,16,10,1,3465,3470,27591,,,,3,3,27591,, 
5269,祥碩,40,31,,1893,1902,18539,1,,,66,65,18539,, 
5283,禾聯碩,,4,,57,53,21900,,,,,,21900,, 
5284,jpp-KY,180,89,,3981,4072,13223,9,1,,13,5,13223,1, 
5285,界霖,395,278,,4937,5054,25510,8,13,,28,33,25510,18, 
5288,豐祥-KY,,6,,2625,2619,17424,,,,,,17424,, 
5292,華懋,9,21,,780,768,11579,1,11,,5,15,11579,, 
5306,桂盟,3,1,,586,588,31500,,,,,,31500,, 
5388,中磊,199,191,9,8082,8081,76085,3,4,,13,14,76085,, 
5434,崇越,40,37,,812,815,48501,,,,1,1,48501,, 
5469,瀚宇博,123,103,,13228,13248,121541,2,7,,34,39,121541,, 
5471,松翰,149,181,,4426,4394,41969,2,,,39,37,41969,, 
5484,慧友,,,,,,,,,,,,,,OX 
