股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1323,永裕,,,,77,77,22818,,,,,,22818,, 
1324,地球,,,,1260,1260,18780,,,,,,18780,, 
1325,恆大,14,19,,2159,2154,21320,,,,30,30,21320,, 
1326,台化,3902,6831,2,26629,23698,1465296,218,68,3,584,431,1465296,76, 
1337,再生-KY,,,,21506,21506,67238,,,,,,67238,, 
1338,廣華-KY,1,,,4045,4046,20960,,,,,,20960,, 
1339,昭輝,7,,,989,996,18534,,,,,,18534,, 
1340,勝悅-KY,3,,,997,1000,38230,,,,,,38230,, 
1342,八貫,4,3,,514,515,19500,,,,3,3,19500,, 
1402,遠東新,134,170,,7937,7901,1338218,1,1,,84,84,1338218,, 
1409,新纖,828,1262,1,22866,22431,404602,59,4,,67,12,404602,20, 
1410,南染,,,,208,208,15500,,,,,,15500,, 
1413,宏洲,,,,,,,,,,,,,,OX 
1414,東和,11,31,,821,801,49500,,,,,,49500,, 
1416,廣豐,32,22,,5743,5753,46335,,,,48,48,46335,, 
1417,嘉裕,,,,2076,2076,47485,,,,,,47485,, 
1418,東華,3,3,,772,772,11708,,,,,,11708,, 
1419,新紡,4,1,,1213,1216,75010,,,,,,75010,, 
1423,利華,,,,84,84,24912,,,,,,24912,, 
1432,大魯閣,,,,155,155,22500,,,,,,22500,, 
1434,福懋,54,45,69,4214,4154,421166,,,,,,421166,, 
1435,中福,,,,,,,,,,,,,,OX 
1436,華友聯,30,4,1,889,914,48537,,,,2,2,48537,, 
1437,勤益控,2,4,,3256,3254,50467,,,,,,50467,, 
1438,三地開發,5,,,155,160,22801,,,,,,22801,,X 
1439,雋揚,1,,,992,993,23000,,,,5,5,23000,, 
1440,南紡,506,260,,5444,5690,414203,,,,2,2,414203,14, 
1441,大東,,,,,,,,,,,,,,OX 
1442,名軒,,10,,2616,2606,91552,,,,1,1,91552,, 
1443,立益物流,,,,8,8,33835,,,,,,33835,, 
