code,name,industry,listing_date,asof_table_date,source,pit_note
1232,大統益,02,19960209,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1233,天仁,02,19990120,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1234,黑松,02,19990312,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1235,興泰,02,20000911,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1236,宏亞,02,20010917,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1256,鮮活果汁-KY,02,20160317,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1301,台塑,03,19640727,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1303,南亞,03,19671115,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1304,台聚,03,19720520,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1305,華夏,03,19730305,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1307,三芳,03,19851123,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1308,亞聚,03,19860620,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1309,台達化,03,19860627,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
1310,台苯,03,19870806,1150903,TWSE_openapi_t187ap03_L,CURRENT_SNAPSHOT_NOT_HISTORICAL_RECLASS
