date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2018-01-02,TX,201801,10629.0,10710.0,10621.0,10709.0,76.0,0.71,108602,10708.0,103067,position
2018-01-02,TX,201801,10630.0,10650.0,10612.0,10613.0,-20.0,-0.19,9987,0.0,0,after_market
2018-01-02,TX,201802,10608.0,10691.0,10607.0,10691.0,75.0,0.71,2084,10690.0,2731,position
2018-01-02,TX,201802,10615.0,10632.0,10595.0,10598.0,-18.0,-0.17,283,0.0,0,after_market
2018-01-02,TX,201803,10590.0,10666.0,10587.0,10665.0,71.0,0.67,355,10665.0,4382,position
2018-01-02,TX,201803,10600.0,10605.0,10575.0,10575.0,-19.0,-0.18,51,0.0,0,after_market
2018-01-02,TX,201806,10505.0,10590.0,10505.0,10590.0,69.0,0.66,158,10590.0,3527,position
2018-01-02,TX,201806,10525.0,10534.0,10507.0,10507.0,-14.0,-0.13,37,0.0,0,after_market
2018-01-02,TX,201809,10121.0,10193.0,10121.0,10192.0,69.0,0.68,215,10192.0,1913,position
2018-01-02,TX,201809,10129.0,10141.0,10121.0,10121.0,-2.0,-0.02,81,0.0,0,after_market
2018-01-02,TX,201801/201802,-18.0,-18.0,-19.0,-19.0,0.0,0.0,13,0.0,0,position
2018-01-02,TX,201801/201803,-43.0,-43.0,-43.0,-43.0,0.0,0.0,24,0.0,0,position
2018-01-02,TX,201801/201803,-38.0,-38.0,-38.0,-38.0,0.0,0.0,30,0.0,0,after_market
2018-01-02,TX,201801/201806,-110.0,-110.0,-110.0,-110.0,0.0,0.0,5,0.0,0,after_market
2018-01-02,TX,201801/201809,-512.0,-512.0,-515.0,-515.0,0.0,0.0,13,0.0,0,position
2018-01-02,TX,201801/201809,-510.0,-510.0,-510.0,-510.0,0.0,0.0,3,0.0,0,after_market
2018-01-03,TX,201801,10748.0,10797.0,10729.0,10789.0,81.0,0.76,120998,10788.0,102723,position
2018-01-03,TX,201801,10715.0,10746.0,10693.0,10745.0,37.0,0.35,15370,0.0,0,after_market
2018-01-03,TX,201802,10732.0,10778.0,10718.0,10773.0,83.0,0.78,2927,10772.0,3175,position
2018-01-03,TX,201802,10697.0,10728.0,10676.0,10728.0,38.0,0.36,435,0.0,0,after_market
2018-01-03,TX,201803,10717.0,10757.0,10693.0,10750.0,85.0,0.8,506,10749.0,4304,position
2018-01-03,TX,201803,10677.0,10705.0,10654.0,10705.0,40.0,0.38,191,0.0,0,after_market
2018-01-03,TX,201806,10633.0,10677.0,10623.0,10675.0,85.0,0.8,217,10672.0,3451,position
2018-01-03,TX,201806,10592.0,10623.0,10585.0,10623.0,33.0,0.31,722,0.0,0,after_market
2018-01-03,TX,201809,10225.0,10276.0,10215.0,10269.0,77.0,0.76,710,10269.0,1641,position
2018-01-03,TX,201809,10199.0,10215.0,10185.0,10215.0,23.0,0.23,371,0.0,0,after_market
2018-01-03,TX,201801/201802,-18.0,-18.0,-19.0,-18.0,0.0,0.0,165,0.0,0,position
2018-01-03,TX,201801/201803,-42.0,-42.0,-42.0,-42.0,0.0,0.0,71,0.0,0,after_market
2018-01-03,TX,201801/201806,-115.0,-115.0,-115.0,-115.0,0.0,0.0,10,0.0,0,position
2018-01-03,TX,201801/201809,-517.0,-516.0,-522.0,-516.0,0.0,0.0,13,0.0,0,position
2018-01-04,TX,201801,10831.0,10840.0,10770.0,10837.0,49.0,0.45,119190,10837.0,100306,position
2018-01-04,TX,201801,10792.0,10836.0,10788.0,10831.0,43.0,0.4,11136,0.0,0,after_market
2018-01-04,TX,201802,10813.0,10822.0,10754.0,10821.0,49.0,0.45,2617,10820.0,3729,position
2018-01-04,TX,201802,10775.0,10818.0,10774.0,10818.0,46.0,0.43,319,0.0,0,after_market
2018-01-04,TX,201803,10790.0,10801.0,10736.0,10801.0,52.0,0.48,356,10801.0,4359,position
2018-01-04,TX,201803,10756.0,10797.0,10756.0,10797.0,48.0,0.45,57,0.0,0,after_market
2018-01-04,TX,201806,10720.0,10723.0,10660.0,10723.0,51.0,0.48,112,10723.0,3487,position
2018-01-04,TX,201806,10680.0,10718.0,10680.0,10718.0,46.0,0.43,15,0.0,0,after_market
2018-01-04,TX,201809,10326.0,10326.0,10260.0,10321.0,52.0,0.51,339,10317.0,1565,position
2018-01-04,TX,201809,10279.0,10316.0,10277.0,10316.0,47.0,0.46,27,0.0,0,after_market
2018-01-04,TX,201801/201802,-16.0,-16.0,-16.0,-16.0,0.0,0.0,4,0.0,0,position
2018-01-04,TX,201801/201803,-35.0,-35.0,-35.0,-35.0,0.0,0.0,1,0.0,0,position
2018-01-04,TX,201801/201809,-516.0,-516.0,-517.0,-517.0,0.0,0.0,31,0.0,0,position
