date,option_id,contract_date,strike_price,call_put,open,max,min,close,volume,settlement_price,open_interest,trading_session
2024-01-02,TXO,202401W1,15700.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,15700.0,put,0.1,0.1,0.1,0.1,10,0.0,0,after_market
2024-01-02,TXO,202401W1,15800.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,15800.0,put,4.8,95.0,4.8,95.0,14,0.0,0,after_market
2024-01-02,TXO,202401W1,15900.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,15900.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16000.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16000.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16100.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16100.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16200.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16200.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16300.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16300.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16400.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16400.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16500.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16500.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16600.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16600.0,put,0.3,0.3,0.3,0.3,1,0.0,0,after_market
2024-01-02,TXO,202401W1,16700.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16700.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16800.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16800.0,put,0.2,0.2,0.2,0.2,1,0.0,0,after_market
2024-01-02,TXO,202401W1,16900.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,16900.0,put,0.4,0.6,0.4,0.6,4,0.0,0,after_market
2024-01-02,TXO,202401W1,17000.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,17000.0,put,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,17050.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,17050.0,put,0.8,1.1,0.6,0.6,56,0.0,0,after_market
2024-01-02,TXO,202401W1,17100.0,call,800.0,800.0,800.0,800.0,2,0.0,0,after_market
2024-01-02,TXO,202401W1,17100.0,put,0.3,0.9,0.3,0.9,25,0.0,0,after_market
2024-01-02,TXO,202401W1,17150.0,call,690.0,690.0,690.0,690.0,1,0.0,0,after_market
2024-01-02,TXO,202401W1,17150.0,put,0.7,0.9,0.7,0.9,8,0.0,0,after_market
2024-01-02,TXO,202401W1,17200.0,call,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2024-01-02,TXO,202401W1,17200.0,put,0.4,1.2,0.4,1.2,69,0.0,0,after_market
2024-01-02,TXO,202401W1,17250.0,call,595.0,595.0,595.0,595.0,1,0.0,0,after_market
2024-01-02,TXO,202401W1,17250.0,put,1.2,1.2,0.9,0.9,28,0.0,0,after_market
2024-01-02,TXO,202401W1,17300.0,call,530.0,530.0,530.0,530.0,5,0.0,0,after_market
2024-01-02,TXO,202401W1,17300.0,put,0.9,1.6,0.6,1.0,139,0.0,0,after_market
2024-01-02,TXO,202401W1,17350.0,call,540.0,540.0,481.0,481.0,8,0.0,0,after_market
2024-01-02,TXO,202401W1,17350.0,put,1.1,1.9,1.0,1.0,273,0.0,0,after_market
2024-01-02,TXO,202401W1,17400.0,call,487.0,499.0,450.0,450.0,28,0.0,0,after_market
2024-01-02,TXO,202401W1,17400.0,put,1.5,2.3,1.1,1.5,1000,0.0,0,after_market
2024-01-02,TXO,202401W1,17450.0,call,422.0,422.0,366.0,388.0,3,0.0,0,after_market
2024-01-02,TXO,202401W1,17450.0,put,1.6,2.7,1.2,2.2,874,0.0,0,after_market
2024-01-02,TXO,202401W1,17500.0,call,400.0,400.0,351.0,356.0,19,0.0,0,after_market
2024-01-02,TXO,202401W1,17500.0,put,2.4,5.0,1.9,3.0,1623,0.0,0,after_market
2024-01-02,TXO,202401W1,17550.0,call,321.0,321.0,272.0,272.0,4,0.0,0,after_market
2024-01-02,TXO,202401W1,17550.0,put,3.5,7.0,1.9,3.8,1593,0.0,0,after_market
2024-01-02,TXO,202401W1,17600.0,call,308.0,308.0,220.0,272.0,148,0.0,0,after_market
2024-01-02,TXO,202401W1,17600.0,put,5.1,10.5,2.5,7.3,3185,0.0,0,after_market
2024-01-02,TXO,202401W1,17650.0,call,253.0,259.0,172.0,216.0,288,0.0,0,after_market
2024-01-02,TXO,202401W1,17650.0,put,8.1,17.0,5.3,11.0,5876,0.0,0,after_market
2024-01-02,TXO,202401W1,17700.0,call,216.0,216.0,133.0,169.0,845,0.0,0,after_market
2024-01-02,TXO,202401W1,17700.0,put,14.5,29.5,8.5,16.5,8950,0.0,0,after_market
2024-01-02,TXO,202401W1,17750.0,call,170.0,172.0,99.0,131.0,1730,0.0,0,after_market
2024-01-02,TXO,202401W1,17750.0,put,20.5,46.0,15.0,27.0,9040,0.0,0,after_market
2024-01-02,TXO,202401W1,17800.0,call,131.0,134.0,72.0,98.0,5618,0.0,0,after_market
2024-01-02,TXO,202401W1,17800.0,put,35.0,70.0,27.5,35.0,11030,0.0,0,after_market
