code,fiscal_year,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,source,board_date_quality
2886,109年,2021-07-28,16:33:22,2021-08-12,2021-09-03,1.58,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,110年,2022-07-27,17:11:17,2022-08-11,2022-09-16,1.4,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,111年,2023-07-27,09:12:29,2023-08-10,2023-09-15,1.24,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,不適用,2023-12-01,16:39:32,,,0.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,112年,2024-07-23,17:46:18,2024-08-08,2024-09-13,1.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,113年,2025-07-22,17:48:58,2025-08-07,2025-09-05,1.6,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2886,114年,2026-07-29,09:14:17,2026-08-13,2026-09-04,1.75,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,98年,2010-07-23,16:12:05,2010-08-11,,0.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,100年,2011-07-22,14:21:40,2011-07-29,,0.3,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,100年,2012-07-27,10:35:21,2012-08-10,,0.4,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,101年,2013-07-18,17:46:12,2013-08-02,,0.45,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,102年,2014-07-17,16:53:45,2014-08-01,2014-08-20,0.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,103年,2015-07-24,17:11:08,2015-07-31,2015-08-20,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,104年,2016-07-21,18:05:53,2016-08-05,2016-08-25,0.95,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,105年,2017-07-20,15:57:15,2017-08-04,2017-08-24,1.2,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,106年,2018-07-26,17:33:47,2018-08-10,2018-08-30,0.9,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,107年,2019-07-25,15:43:05,2019-08-09,2019-08-29,1.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,108年,2020-07-24,09:41:57,2020-08-07,2020-08-27,1.05,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,109年,2021-08-11,17:07:52,2021-08-26,2021-09-15,0.9,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,110年,2022-07-20,17:39:44,2022-08-04,2022-08-25,1.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,111年,2023-07-27,17:08:03,2023-08-11,2023-08-31,0.8,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,112年,2024-07-26,11:40:16,2024-08-08,2024-08-28,0.85,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,113年,2025-07-24,09:38:15,2025-08-07,2025-08-27,0.95,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2892,114年,2026-07-27,17:50:11,2026-08-11,2026-08-28,1.3,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,100年,2012-07-26,19:08:57,2012-08-02,,0.0358,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,101年,2013-07-30,18:22:16,2013-08-14,,0.4,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,102年,2014-08-05,16:13:54,2014-08-19,2014-10-08,0.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,103年,2015-01-26,18:05:51,,,0.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,103年,2015-07-29,18:17:55,2015-08-13,2015-09-25,0.5,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,104年,2016-07-27,16:17:10,2016-08-10,2016-09-14,0.3,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,105年,2017-08-15,10:14:42,2017-08-16,2017-09-18,0.75,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,106年,2018-08-06,16:49:24,2018-08-21,2018-09-21,0.75,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,107年,2019-07-30,16:03:50,2019-08-14,2019-09-18,0.75,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,108年,2020-07-28,15:24:55,2020-08-12,2020-09-16,0.85,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,109年,2021-07-27,17:11:23,2021-08-11,2021-08-31,0.85,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,109年,2021-08-25,12:00:09,,,0.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,110年,2022-07-27,16:40:40,2022-08-10,2022-09-13,1.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,111年,2023-07-25,09:40:13,2023-08-09,2023-09-12,0.12,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,112年,2024-07-30,17:23:10,2024-08-14,2024-09-16,0.65,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,113年,2025-07-29,16:18:09,2025-08-13,2025-09-16,0.7,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
5880,114年,2026-07-27,17:55:48,2026-08-11,2026-09-11,0.8,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,98年,2010-07-28,15:05:31,2010-08-12,,4.06,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,99年,2011-06-30,18:13:40,2011-07-21,,5.5243,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,100年,2012-06-29,09:41:42,2012-07-17,,5.4608,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,101年,2013-07-03,13:17:27,2013-07-17,,4.6295,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,102年,2014-06-25,10:25:30,2014-07-17,,2.3881,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,103年,2015-06-29,14:06:11,2015-07-16,2015-08-27,4.8564,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,104年,2016-06-27,10:29:46,2016-07-21,2016-08-26,5.4852,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,105年,2017-06-26,17:13:07,2017-07-21,2017-08-25,4.9419,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,106年,2018-06-20,17:40:41,2018-07-23,2018-08-24,4.796,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,107年,2019-06-24,10:56:26,2019-07-25,2019-08-28,4.479,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,108年,2020-06-09,09:19:14,2020-07-02,2020-08-06,4.226,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,109年,2021-08-09,14:53:30,2021-08-25,2021-09-28,4.306,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,110年,2022-06-02,15:14:18,2022-06-30,2022-08-05,4.608,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,111年,2023-06-05,11:36:27,2023-06-29,2023-08-04,4.702,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,112年,2024-06-17,16:18:06,2024-07-04,2024-08-08,4.758,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,113年,2025-06-10,14:07:31,2025-07-03,2025-08-08,5.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
2412,114年,2026-06-15,12:06:38,2026-07-09,2026-08-07,5.2,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,98年,2010-06-18,18:15:16,2010-07-05,,5.02783,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,99年,2011-06-16,09:19:55,2011-06-30,,4.1619,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,100年,2012-06-22,18:23:27,2012-07-09,,5.16,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,101年,2013-06-21,17:04:38,2013-07-08,,5.4,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,102年,2014-06-12,15:31:37,2014-06-27,,5.6,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,103年,2015-06-10,16:27:59,2015-06-26,2015-07-17,5.6,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,104年,2016-06-15,17:23:52,2016-06-30,2016-07-21,5.6,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,105年,2017-06-15,11:35:10,2017-07-11,2017-08-03,5.208,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
3045,106年,2018-06-13,09:22:09,2018-07-10,2018-08-01,5.0,FinMind_TaiwanStockDividend,ANNOUNCEMENT_DATE_PROXY_NOT_FIRST_BOARD_PROPOSAL
