date,n_rows,volume,open_interest
2020-01-02,978,1063935,711039
2020-01-03,920,1051686,583427
2020-01-06,924,846686,696348
2020-01-07,924,1430019,766745
2020-01-08,942,1688715,857838
2020-01-09,836,657657,608715
2020-01-10,838,603276,703101
2020-01-13,842,874438,777418
2020-01-14,846,778912,841044
2020-01-15,910,1119439,943194
2020-01-16,822,389333,412485
2020-01-17,904,416700,479812
2020-01-20,904,384230,534600
2020-01-30,956,1677749,788182
2020-01-31,940,828827,600666
2020-02-03,984,1236728,730576
2020-02-04,992,1101421,776710
2020-02-05,1050,1645192,913647
2020-02-06,936,800903,676226
2020-02-07,944,687357,764215
2020-02-10,952,1025686,844228
2020-02-11,952,813235,885467
2020-02-12,966,1225448,977957
2020-02-13,866,622459,768668
2020-02-14,868,677372,817497
2020-02-17,870,712504,865347
2020-02-18,872,1030567,917454
2020-02-19,922,1446322,991495
2020-02-20,832,647001,537063
2020-02-21,912,760598,625366
2020-02-24,912,907322,712964
2020-02-25,918,1360539,786315
2020-02-26,974,1761510,934675
2020-02-27,914,955775,692617
2020-03-02,932,1201777,807802
2020-03-03,958,1266304,879369
2020-03-04,1022,1476890,999189
2020-03-05,940,604455,762974
2020-03-06,948,828613,876244
2020-03-09,956,1289639,957148
2020-03-10,978,1643056,1035091
2020-03-11,1012,1742183,1169751
2020-03-12,886,1207379,853507
2020-03-13,930,1527961,927319
2020-03-16,988,1219967,1002641
2020-03-17,1044,1477003,1067568
2020-03-18,1142,1953696,1216087
2020-03-19,952,466766,464749
2020-03-20,1102,634253,557328
2020-03-23,1160,711525,621337
2020-03-24,1160,989807,699907
2020-03-25,1216,1508723,843799
2020-03-26,1138,584846,596532
2020-03-27,1166,590708,649927
2020-03-30,1172,727068,721405
2020-03-31,1172,768276,765980
2020-04-01,1226,926452,847562
2020-04-06,1138,694904,695306
2020-04-07,1148,784219,765264
2020-04-08,1178,1382688,850846
2020-04-09,1070,541444,679159
2020-04-10,1076,397801,720916
2020-04-13,1078,431263,754645
2020-04-14,1080,885125,808720
2020-04-15,1144,1136981,911302
2020-04-16,978,429972,476727
2020-04-17,1056,799574,548133
2020-04-20,1066,477752,599674
2020-04-21,1076,1040388,656250
2020-04-22,1136,1247034,740102
2020-04-23,1056,532591,543371
2020-04-24,1060,394280,585023
2020-04-27,1064,672906,648176
2020-04-28,1072,617021,684590
2020-04-29,1142,1058428,774025
2020-04-30,1076,548812,603617
2020-05-04,1108,744195,684032
2020-05-05,1128,729171,732654
2020-05-06,1188,1061890,803567
2020-05-07,1100,446092,642356
2020-05-08,1104,432336,684559
2020-05-11,1108,549000,742533
2020-05-12,1116,802010,781770
2020-05-13,1136,963926,835465
2020-05-14,1010,577828,696406
2020-05-15,1014,717553,746722
2020-05-18,1016,679235,794252
2020-05-19,1018,941704,815606
2020-05-20,1082,1012217,887470
2020-05-21,922,482978,498272
2020-05-22,1000,644837,572594
2020-05-25,1010,749742,638196
2020-05-26,1012,778980,672516
2020-05-27,1072,916157,751739
2020-05-28,998,596751,585880
2020-05-29,1002,529300,635496
2020-06-01,1004,617500,690403
2020-06-02,1010,625529,737429
2020-06-03,1082,1102743,810954
2020-06-04,1034,564927,637476
2020-06-05,1068,489009,685138
2020-06-08,1086,865708,766238
2020-06-09,1108,665590,801837
2020-06-10,1136,1017768,853318
2020-06-11,994,686178,699593
2020-06-12,1006,786335,768528
2020-06-15,1010,875874,814270
2020-06-16,1014,1008362,859791
2020-06-17,1080,1248485,926047
2020-06-18,906,469801,317965
2020-06-19,994,413209,362770
2020-06-22,996,608501,437512
2020-06-23,996,784902,482999
2020-06-24,1062,892636,544038
2020-06-29,996,672498,436560
2020-06-30,1004,631785,480162
2020-07-01,1072,965341,579670
2020-07-02,1002,516023,440413
2020-07-03,1016,647907,505854
2020-07-06,1040,816041,583580
2020-07-07,1082,1007980,634595
2020-07-08,1124,1078352,698368
2020-07-09,972,470403,474954
2020-07-10,984,664659,531949
2020-07-13,992,647045,589687
2020-07-14,992,900206,655220
2020-07-15,1062,1350125,719838
2020-07-16,954,514713,323868
2020-07-17,1032,546425,374668
2020-07-20,1032,609449,437728
2020-07-21,1032,1047034,507227
2020-07-22,1124,1177855,598110
2020-07-23,1066,495574,393689
2020-07-24,1072,801177,456504
2020-07-27,1076,955222,522838
2020-07-28,1096,1735832,579175
2020-07-29,1182,1488504,698868
2020-07-30,1090,556558,445071
2020-07-31,1106,583638,491817
2020-08-03,1120,701116,575107
2020-08-04,1122,839084,583859
2020-08-05,1194,1041299,666763
2020-08-06,1116,653581,502639
2020-08-07,1140,524277,561208
2020-08-10,1156,598836,615135
2020-08-11,1156,733064,653344
2020-08-12,1172,1207456,741923
2020-08-13,1030,490400,508669
2020-08-14,1032,509561,562054
2020-08-17,1032,621640,587568
2020-08-18,1034,810891,637319
2020-08-19,1108,1118048,733693
2020-08-20,986,852515,398046
2020-08-21,1090,665488,461282
2020-08-24,1112,580306,503975
2020-08-25,1112,791468,564482
2020-08-26,1182,825289,631599
2020-08-27,1078,554035,410169
2020-08-28,1084,581766,454190
2020-08-31,1086,797565,528666
2020-09-01,1092,853822,589330
2020-09-02,1166,1037897,671512
2020-09-03,1076,598264,468270
2020-09-04,1078,693193,545154
2020-09-07,1082,806174,594537
2020-09-08,1086,598940,633279
2020-09-09,1102,1365592,719769
2020-09-10,966,451762,494048
2020-09-11,970,543690,562017
2020-09-14,972,590583,594126
2020-09-15,974,598300,622801
2020-09-16,1046,1146914,726623
2020-09-17,914,480664,324638
2020-09-18,1022,420530,377757
2020-09-21,1024,663109,449927
2020-09-22,1026,1056801,527875
2020-09-23,1108,1128346,606511
2020-09-24,1022,718155,390156
2020-09-25,1042,728904,453346
2020-09-28,1066,618575,499031
2020-09-29,1072,756205,556126
2020-09-30,1140,987836,626673
2020-10-05,1042,548098,435472
2020-10-06,1046,703299,497687
2020-10-07,1124,976695,597623
