date,n_rows,volume,open_interest
2020-10-08,1046,529838,426711
2020-10-12,1054,740857,510562
2020-10-13,1062,723421,574125
2020-10-14,1078,861185,650790
2020-10-15,934,559830,463120
2020-10-16,938,573620,513108
2020-10-19,940,573252,557814
2020-10-20,940,570889,615737
2020-10-21,1010,861608,679432
2020-10-22,936,437213,325808
2020-10-23,1022,449999,402594
2020-10-26,1024,463869,454959
2020-10-27,1024,568093,503005
2020-10-28,1096,733868,570230
2020-10-29,1024,557287,412836
2020-10-30,1036,505403,468219
2020-11-02,1050,500153,506780
2020-11-03,1056,550439,535904
2020-11-04,1126,1247445,606789
2020-11-05,1034,508677,396931
2020-11-06,1042,512840,467319
2020-11-09,1048,784239,561053
2020-11-10,1064,1122193,621408
2020-11-11,1092,1287974,719802
2020-11-12,948,484352,473808
2020-11-13,960,498568,523744
2020-11-16,960,894758,610107
2020-11-17,976,1065247,688775
2020-11-18,1070,1358089,787998
2020-11-19,976,548398,350463
2020-11-20,1066,518468,436261
2020-11-23,1068,815711,517211
2020-11-24,1076,753205,571881
2020-11-25,1156,1324759,658168
2020-11-26,1064,597925,429765
2020-11-27,1072,526317,504562
2020-11-30,1076,951131,583037
2020-12-01,1076,859034,627981
2020-12-02,1150,1324939,725386
2020-12-03,1072,558786,489575
2020-12-04,1080,661892,559191
2020-12-07,1092,880097,629052
2020-12-08,1112,922762,674991
2020-12-09,1146,1172188,766441
2020-12-10,996,724970,588255
2020-12-11,998,985950,641718
2020-12-14,1000,730904,694898
2020-12-15,1000,1042362,715556
2020-12-16,1078,1297774,785868
2020-12-17,906,518043,320438
2020-12-18,1000,389562,387511
2020-12-21,1002,807857,444706
2020-12-22,1008,1196036,494830
2020-12-23,1082,1242813,612200
2020-12-24,986,461944,368116
2020-12-25,990,520942,429961
2020-12-28,994,509151,478424
2020-12-29,1006,671230,554256
2020-12-30,1086,1018334,628003
2020-12-31,1010,495061,404301
2021-01-04,1026,772678,500970
2021-01-05,1040,955977,571570
2021-01-06,1118,2093981,731389
2021-01-07,1024,813168,523835
2021-01-08,1042,901237,587436
2021-01-11,1070,812884,649339
2021-01-12,1094,1009805,698503
2021-01-13,1286,1473699,800408
2021-01-14,1268,536383,553586
2021-01-15,1284,1233431,668416
2021-01-18,1284,1116320,713389
2021-01-19,1284,1076214,739016
2021-01-20,1386,1694207,835059
2021-01-21,1220,949004,407927
2021-01-22,1354,608752,493545
2021-01-25,1388,949566,562866
2021-01-26,1388,1336063,633597
2021-01-27,1482,1639488,740369
2021-01-28,1366,794944,508542
2021-01-29,1380,1104442,575090
2021-02-01,1408,1054989,649648
2021-02-02,1424,1220610,680306
2021-02-03,1444,1418966,758577
2021-02-04,1248,502171,434838
2021-02-05,1250,601173,488847
2021-02-17,1340,1101200,628817
2021-02-18,1246,599515,316454
2021-02-19,1394,627723,394038
2021-02-22,1398,833280,476755
2021-02-23,1400,919436,531589
2021-02-24,1494,1599367,652141
2021-02-25,1376,641168,417129
2021-02-26,1388,880400,505617
2021-03-02,1400,1157346,562373
2021-03-03,1498,1479112,703310
2021-03-04,1384,851611,495769
2021-03-05,1398,901481,566764
2021-03-08,1404,1097998,633240
2021-03-09,1410,1135303,689411
2021-03-10,1430,1336788,784627
2021-03-11,1242,661312,487873
2021-03-12,1250,539615,548741
2021-03-15,1256,643831,603684
2021-03-16,1256,807184,629851
2021-03-17,1348,1228541,789364
2021-03-18,1170,646952,320882
2021-03-19,1296,769379,406002
2021-03-22,1300,730613,465465
2021-03-23,1304,781775,520771
2021-03-24,1392,1110594,620314
2021-03-25,1288,593072,390673
2021-03-26,1292,728559,469579
2021-03-29,1298,786414,544237
2021-03-30,1316,774788,581215
2021-03-31,1434,1028912,666368
2021-04-01,1326,504204,418186
2021-04-06,1332,787754,524560
2021-04-07,1444,862021,612967
2021-04-08,1354,600555,458387
2021-04-09,1376,589984,522052
2021-04-12,1392,682529,585690
2021-04-13,1392,1108729,616204
2021-04-14,1412,1818716,692370
2021-04-15,1234,690758,512280
2021-04-16,1254,775836,567585
2021-04-19,1278,725343,617866
2021-04-20,1296,776649,667622
2021-04-21,1408,1291323,774325
2021-04-22,1266,857000,398911
2021-04-23,1382,647480,461322
2021-04-26,1390,839628,536204
2021-04-27,1432,827338,601244
2021-04-28,1566,982010,674279
2021-04-29,1434,619334,439649
2021-05-03,1436,1037049,570548
2021-05-04,1448,1569676,636720
2021-05-05,1568,1522976,759461
2021-05-06,1440,854257,503880
2021-05-07,1446,807888,552507
2021-05-10,1462,751981,633256
2021-05-11,1476,1700248,678760
2021-05-12,1510,2375483,823308
2021-05-13,1332,761117,495428
2021-05-14,1374,805871,552426
2021-05-17,1388,968144,598728
2021-05-18,1410,1155308,663692
2021-05-19,1518,1412285,778671
2021-05-20,1322,448859,289330
2021-05-21,1428,596240,332785
2021-05-24,1444,570729,397760
2021-05-25,1456,815918,462844
2021-05-26,1564,1045090,576134
2021-05-27,1456,461867,368783
2021-05-28,1460,540447,421073
2021-05-31,1476,766697,476797
2021-06-01,1504,674675,530694
2021-06-02,1616,1162902,614376
2021-06-03,1488,448315,418040
2021-06-04,1494,441641,462029
2021-06-07,1500,959277,521701
2021-06-08,1502,684382,563188
2021-06-09,1524,1142523,657851
2021-06-10,1346,549024,470906
2021-06-11,1350,507017,509227
2021-06-15,1352,602644,553747
2021-06-16,1452,919601,649479
2021-06-17,1262,461617,262442
2021-06-18,1394,396329,310807
2021-06-21,1396,861323,403715
2021-06-22,1408,725887,449935
2021-06-23,1512,1229811,558476
2021-06-24,1404,391397,319063
2021-06-25,1422,499219,374841
2021-06-28,1436,453547,405992
2021-06-29,1452,682327,461897
2021-06-30,1554,950817,539038
2021-07-01,1442,536763,381493
2021-07-02,1464,407823,410752
2021-07-05,1464,627919,471856
2021-07-06,1486,549364,517985
2021-07-07,1606,1150175,598853
2021-07-08,1488,509675,424506
2021-07-09,1492,743774,499347
2021-07-12,1500,748630,552613
2021-07-13,1508,885900,601305
2021-07-14,1530,1212325,650345
2021-07-15,1332,571816,460262
2021-07-16,1344,693314,550640
2021-07-19,1356,767677,612674
2021-07-20,1356,1273106,662894
2021-07-21,1458,1687459,749002
2021-07-22,1290,628095,366130
2021-07-23,1406,479077,420672
2021-07-26,1412,647954,482423
2021-07-27,1416,851819,531955
2021-07-28,1518,1650929,609504
2021-07-29,1412,511744,350509
2021-07-30,1426,506589,399581
2021-08-02,1432,643183,438758
2021-08-03,1436,592369,481116
2021-08-04,1542,888606,559885
2021-08-05,1422,271441,379244
2021-08-06,1424,471847,438493
2021-08-09,1424,570654,487667
2021-08-10,1424,692006,532851
2021-08-11,1452,1279249,595938
2021-08-12,1266,399159,413000
2021-08-13,1268,623605,465121
2021-08-16,1276,833677,522598
2021-08-17,1290,870130,553680
2021-08-18,1400,1756807,664780
2021-08-19,1258,806580,355665
2021-08-20,1394,892269,413671
2021-08-23,1424,858899,453904
2021-08-24,1428,720791,493497
2021-08-25,1520,1100096,573684
2021-08-26,1412,601028,388992
2021-08-27,1428,579668,423608
2021-08-30,1436,655902,482452
2021-08-31,1458,907826,515311
2021-09-01,1572,1035244,606253
2021-09-02,1434,575399,440934
2021-09-03,1442,563920,486295
2021-09-06,1448,700972,531161
2021-09-07,1448,773889,572010
2021-09-08,1470,1374117,668066
2021-09-09,1290,615346,477815
2021-09-10,1292,588101,507670
2021-09-13,1292,525867,556380
2021-09-14,1292,647583,591984
2021-09-15,1388,1155554,686528
2021-09-16,1222,405799,283297
2021-09-17,1354,541084,335865
2021-09-22,1450,1057173,493237
2021-09-23,1366,406991,318629
2021-09-24,1388,463259,376522
2021-09-27,1388,474432,425262
2021-09-28,1388,625581,482643
2021-09-29,1480,1313637,601403
2021-09-30,1370,549583,403955
2021-10-01,1384,783374,485549
2021-10-04,1396,877421,540659
2021-10-05,1420,1030509,595622
2021-10-06,1522,1189697,683227
2021-10-07,1372,635145,473285
2021-10-08,1384,521603,538091
2021-10-12,1392,779721,606818
2021-10-13,1412,1242904,680003
2021-10-14,1230,466508,494671
2021-10-15,1232,692714,548434
2021-10-18,1238,568208,592567
2021-10-19,1244,676610,635262
2021-10-20,1336,943147,690809
2021-10-21,1212,513239,287689
2021-10-22,1320,405004,335525
2021-10-25,1320,533462,389247
2021-10-26,1320,636764,431258
2021-10-27,1420,871590,493096
2021-10-28,1328,346092,335025
2021-10-29,1332,482004,387696
2021-11-01,1334,529674,443127
2021-11-02,1336,795572,484924
2021-11-03,1428,774691,550186
2021-11-04,1330,474445,406014
2021-11-05,1332,548005,458501
2021-11-08,1344,630944,505010
2021-11-09,1366,774100,563495
2021-11-10,1408,959630,632993
2021-11-11,1216,492827,452534
2021-11-12,1218,542322,494671
2021-11-15,1220,608995,542465
2021-11-16,1228,542560,583298
2021-11-17,1336,780089,645404
2021-11-18,1236,372069,311934
2021-11-19,1366,461705,388707
2021-11-22,1376,481602,441061
2021-11-23,1376,793627,483025
2021-11-24,1478,982207,547619
2021-11-25,1370,320532,367860
2021-11-26,1372,688569,428019
2021-11-29,1386,901428,497406
2021-11-30,1402,859704,551134
2021-12-01,1500,1485305,639557
2021-12-02,1382,555066,431056
2021-12-03,1394,493168,472225
2021-12-06,1400,588919,537487
2021-12-07,1400,775118,576247
2021-12-08,1422,1116485,645655
2021-12-09,1226,458575,449909
2021-12-10,1236,438011,486255
2021-12-13,1244,597965,527121
2021-12-14,1246,849284,583166
2021-12-15,1344,1088017,651659
2021-12-16,1180,457601,287597
2021-12-17,1320,499973,349278
2021-12-20,1328,670418,416636
2021-12-21,1328,862243,451044
2021-12-22,1422,713816,522242
2021-12-23,1316,398739,342343
2021-12-24,1328,321011,380807
2021-12-27,1336,387383,418185
2021-12-28,1348,537608,453091
2021-12-29,1478,812987,539110
2021-12-30,1374,300285,364907
2022-01-03,1376,580932,432944
2022-01-04,1382,917334,504432
2022-01-05,1522,1040839,584941
2022-01-06,1434,717178,448784
2022-01-07,1440,875841,507865
2022-01-10,1452,792219,552385
2022-01-11,1460,1066779,600001
2022-01-12,1482,1151603,654957
2022-01-13,1278,486018,450275
2022-01-14,1282,1123602,535594
2022-01-17,1284,880164,578704
2022-01-18,1286,928926,588607
2022-01-19,1388,1410821,711206
2022-01-20,1262,578788,320464
2022-01-21,1382,850642,391457
2022-01-24,1398,901380,467658
2022-01-25,1412,1324388,507393
2022-01-26,1518,1326383,637781
2022-02-07,1474,1063827,474367
2022-02-08,1388,657091,389834
2022-02-09,1422,938027,506592
2022-02-10,1236,575117,409742
2022-02-11,1246,705468,476025
2022-02-14,1252,934739,514379
2022-02-15,1252,971249,554732
2022-02-16,1350,1328000,663299
2022-02-17,1242,607753,330334
2022-02-18,1370,561742,387887
2022-02-21,1372,656189,435941
2022-02-22,1372,1097894,483469
2022-02-23,1474,1119449,586105
2022-02-24,1360,871516,412163
2022-02-25,1386,873958,473765
2022-03-01,1408,872697,531031
2022-03-02,1502,1203450,652655
2022-03-03,1372,504573,421385
2022-03-04,1380,620012,474868
2022-03-07,1388,994686,535004
2022-03-08,1430,1226551,610797
2022-03-09,1520,1452256,730919
2022-03-10,1296,607820,468429
2022-03-11,1310,674890,520634
2022-03-14,1320,724141,568800
2022-03-15,1320,1086134,620220
2022-03-16,1412,1829320,735730
2022-03-17,1238,657277,313501
2022-03-18,1398,515761,372172
2022-03-21,1434,588429,417161
2022-03-22,1442,540937,446630
2022-03-23,1544,1077356,552079
2022-03-24,1412,414171,354632
2022-03-25,1424,430193,397936
2022-03-28,1424,779743,449547
2022-03-29,1426,640349,488388
2022-03-30,1526,1170553,590896
2022-03-31,1422,367054,378576
2022-04-01,1432,577926,434984
2022-04-06,1528,899833,557573
2022-04-07,1416,631954,439923
2022-04-08,1432,506076,494947
2022-04-11,1444,829912,549046
2022-04-12,1450,826455,597144
2022-04-13,1478,1286376,712057
2022-04-14,1266,357964,462275
2022-04-15,1272,659357,519828
2022-04-18,1272,592543,565723
2022-04-19,1274,736417,598542
2022-04-20,1368,1119706,694460
2022-04-21,1244,436578,290252
2022-04-22,1360,623508,367724
2022-04-25,1362,979623,463000
2022-04-26,1394,781252,507403
2022-04-27,1516,1691062,652072
2022-04-28,1410,557856,359559
2022-04-29,1440,701261,419823
2022-05-03,1440,686908,484668
2022-05-04,1530,936400,571512
2022-05-05,1416,511608,391187
2022-05-06,1424,733272,473463
2022-05-09,1432,867822,527136
2022-05-10,1462,1062856,573503
2022-05-11,1506,1321529,668438
2022-05-12,1298,780938,451793
2022-05-13,1336,662043,508544
2022-05-16,1372,728944,563527
2022-05-17,1372,701706,583068
2022-05-18,1458,1265810,686532
2022-05-19,1282,628236,335775
2022-05-20,1402,693295,390508
2022-05-23,1408,1007986,458298
2022-05-24,1408,930205,491604
2022-05-25,1498,1310275,604014
2022-05-26,1392,604785,367313
2022-05-27,1400,591829,423537
2022-05-30,1406,837604,491976
2022-05-31,1434,810145,520591
2022-06-01,1558,1363615,638777
2022-06-02,1420,482572,400394
2022-06-06,1430,704901,460074
2022-06-07,1436,809310,510160
2022-06-08,1458,1113577,606854
2022-06-09,1280,403918,425551
2022-06-10,1284,633930,478134
2022-06-13,1284,910958,538991
2022-06-14,1292,1087696,601454
2022-06-15,1386,1217451,689993
2022-06-16,1190,615105,295950
2022-06-17,1318,774173,384556
2022-06-20,1340,810718,448028
2022-06-21,1380,753494,485577
2022-06-22,1490,1322385,617917
2022-06-23,1366,763278,383373
2022-06-24,1402,638133,435456
2022-06-27,1424,668759,482836
2022-06-28,1424,723233,514378
2022-06-29,1508,1265065,616254
2022-06-30,1382,607127,407266
2022-07-01,1418,909549,468293
2022-07-04,1502,822648,533238
2022-07-05,1572,986979,576870
2022-07-06,1666,1480802,707320
2022-07-07,1514,657153,456810
2022-07-08,1544,661903,519291
2022-07-11,1550,723676,569527
2022-07-12,1556,931645,611756
2022-07-13,1576,1360715,708885
2022-07-14,1404,617802,471392
2022-07-15,1414,684192,518519
2022-07-18,1418,644782,559396
2022-07-19,1424,669619,598463
2022-07-20,1506,1153150,693551
2022-07-21,1288,464704,288676
2022-07-22,1396,443150,347807
2022-07-25,1408,479863,389837
2022-07-26,1408,623174,437976
2022-07-27,1488,980729,522779
2022-07-28,1394,427145,359882
2022-07-29,1400,493931,404394
2022-08-01,1406,468421,453152
2022-08-02,1412,728476,494527
2022-08-03,1498,1039600,607714
2022-08-04,1396,482130,416042
2022-08-05,1398,562932,461277
2022-08-08,1412,473996,510851
2022-08-09,1424,669776,540273
2022-08-10,1444,840322,627606
2022-08-11,1278,581007,446534
2022-08-12,1286,543044,484300
2022-08-15,1294,586476,527437
2022-08-16,1304,517429,555723
2022-08-17,1396,814511,612276
2022-08-18,1214,354280,254699
2022-08-19,1316,388343,306753
2022-08-22,1320,491462,362665
2022-08-23,1326,628332,409887
2022-08-24,1426,820894,492497
2022-08-25,1320,398308,318476
2022-08-26,1326,426572,358640
2022-08-29,1334,923569,457003
2022-08-30,1344,709259,484336
2022-08-31,1434,1498641,579684
2022-09-01,1330,573012,394397
2022-09-02,1342,621368,452408
2022-09-05,1356,760960,490659
2022-09-06,1366,594614,533207
2022-09-07,1448,1228262,635579
2022-09-08,1346,470003,399888
2022-09-12,1364,656715,468478
2022-09-13,1370,556925,522982
2022-09-14,1396,1417134,628393
2022-09-15,1224,478543,444936
2022-09-16,1228,535732,481932
2022-09-19,1230,606861,525375
2022-09-20,1234,697276,543833
2022-09-21,1318,1056499,633923
2022-09-22,1110,549853,301736
2022-09-23,1230,552089,372246
2022-09-26,1252,902374,457109
2022-09-27,1294,741583,498661
2022-09-28,1400,1481395,601919
2022-09-29,1294,596938,375657
2022-09-30,1328,725806,428353
2022-10-03,1332,802333,489191
2022-10-04,1346,792973,531931
2022-10-05,1430,1548871,626063
2022-10-06,1320,544593,411837
2022-10-07,1332,543644,461862
2022-10-11,1336,1115306,550971
2022-10-12,1386,1418365,674664
2022-10-13,1224,593239,457111
2022-10-14,1250,1157709,526886
2022-10-17,1276,1065761,594280
2022-10-18,1276,1069413,630002
2022-10-19,1348,1654107,714461
2022-10-20,1180,696991,331601
2022-10-21,1268,722954,394570
2022-10-24,1278,903109,458678
2022-10-25,1288,1190007,506623
2022-10-26,1374,1210665,604818
2022-10-27,1284,508454,389351
2022-10-28,1296,556753,439720
2022-10-31,1304,667404,482008
2022-11-01,1304,744210,522920
2022-11-02,1380,915765,596701
2022-11-03,1290,484306,434464
2022-11-04,1298,579748,486688
2022-11-07,1300,981790,538160
2022-11-08,1308,815397,567592
2022-11-09,1410,1398517,657755
2022-11-10,1358,524494,464197
2022-11-11,1384,1196177,545420
2022-11-14,1418,940776,611585
2022-11-15,1466,1320522,672638
2022-11-16,1600,1949051,783945
2022-11-17,1440,611420,383746
2022-11-18,1532,922184,444049
2022-11-21,1532,667453,489767
2022-11-22,1536,780500,520697
2022-11-23,1620,1003315,612034
2022-11-24,1450,513436,413613
2022-11-25,1486,394133,457001
2022-11-28,1520,862069,504465
2022-11-29,1520,1013954,549463
2022-11-30,1600,1215597,626701
2022-12-01,1512,692513,457080
2022-12-02,1552,515137,500150
2022-12-05,1576,728048,554967
2022-12-06,1576,883161,585545
2022-12-07,1594,1431229,672661
2022-12-08,1414,551094,477539
2022-12-09,1426,516867,513907
2022-12-12,1432,654225,549167
2022-12-13,1432,537254,575134
2022-12-14,1512,1419268,687746
2022-12-15,1398,523502,490844
2022-12-16,1408,793901,542326
2022-12-19,1408,682191,580408
2022-12-20,1414,1071639,601004
2022-12-21,1518,1053768,688887
2022-12-22,1314,479208,311155
2022-12-23,1438,620529,370531
2022-12-26,1452,467421,407947
2022-12-27,1452,499358,429950
2022-12-28,1532,1038854,515465
2022-12-29,1410,473970,324618
2022-12-30,1424,510428,363908
2023-01-03,1432,990122,429586
2023-01-04,1450,1123128,514735
2023-01-05,1284,453104,356804
2023-01-06,1284,547599,411442
2023-01-09,1288,1080978,470411
2023-01-10,1322,948662,528714
2023-01-11,1354,1108607,583794
2023-01-12,1144,312345,321790
2023-01-13,1144,566490,351760
2023-01-16,1146,395749,369817
2023-01-17,1152,289814,392453
2023-01-30,1320,760057,495738
2023-01-31,1328,604743,308434
2023-02-01,1526,840054,406894
2023-02-02,1340,509147,332056
2023-02-03,1360,506704,383048
2023-02-06,1376,626754,432097
2023-02-07,1376,680143,478160
2023-02-08,1462,1036614,550635
2023-02-09,1336,363846,393425
2023-02-10,1344,588283,449051
2023-02-13,1344,620169,503556
2023-02-14,1344,561044,528102
2023-02-15,1438,1440047,634647
2023-02-16,1332,465798,343897
2023-02-17,1438,554839,407883
2023-02-20,1440,575664,456147
2023-02-21,1440,410437,485493
2023-02-22,1524,1018759,581159
2023-02-23,1422,582585,415448
2023-02-24,1432,591437,463637
2023-03-01,1456,1089725,575735
2023-03-02,1290,462031,423913
2023-03-03,1292,500419,479137
2023-03-06,1292,702537,523345
2023-03-07,1310,584038,557335
2023-03-08,1430,1035728,637199
2023-03-09,1330,376370,447546
2023-03-10,1334,802139,518396
2023-03-13,1344,856739,575420
2023-03-14,1352,964745,614441
2023-03-15,1444,1217294,698857
2023-03-16,1276,777193,341665
2023-03-17,1410,624202,394970
2023-03-20,1430,570225,438477
2023-03-21,1432,792928,481176
2023-03-22,1526,1128273,572696
2023-03-23,1424,582535,360972
2023-03-24,1460,595076,404159
2023-03-27,1484,624091,460946
2023-03-28,1496,730210,496288
2023-03-29,1582,874113,554251
2023-03-30,1442,389360,349214
2023-03-31,1448,451894,393585
2023-04-06,1470,717118,494749
2023-04-07,1282,344969,362412
2023-04-10,1284,368039,408568
2023-04-11,1288,706692,465087
2023-04-12,1382,687219,530564
2023-04-13,1280,509753,394388
2023-04-14,1284,564913,438517
2023-04-17,1288,501407,476759
2023-04-18,1288,588765,516093
2023-04-19,1374,909897,567140
2023-04-20,1296,463101,273618
2023-04-21,1406,632820,336304
2023-04-24,1422,532445,386766
2023-04-25,1432,946674,433191
2023-04-26,1536,1082330,528545
2023-04-27,1424,438095,313936
2023-04-28,1426,559137,365647
2023-05-02,1434,642679,426227
2023-05-03,1462,848925,509939
2023-05-04,1278,395217,351424
2023-05-05,1280,537789,408422
2023-05-08,1280,612572,457308
2023-05-09,1284,525681,489894
2023-05-10,1376,893961,571307
2023-05-11,1268,610098,414389
2023-05-12,1280,694867,469423
2023-05-15,1288,584985,512192
2023-05-16,1288,855206,522052
2023-05-17,1372,1416380,625710
2023-05-18,1308,649708,341160
2023-05-19,1462,621304,408218
2023-05-22,1506,427251,440188
2023-05-23,1520,589021,479262
2023-05-24,1614,928269,569047
2023-05-25,1476,666293,377709
2023-05-26,1488,809455,461484
2023-05-29,1534,893144,523692
2023-05-30,1586,607780,568091
2023-05-31,1694,1665512,673784
2023-06-01,1536,495129,421834
2023-06-02,1540,678222,472941
2023-06-05,1562,776529,534496
2023-06-06,1580,633254,569639
2023-06-07,1608,1054113,632863
2023-06-08,1432,673636,463183
2023-06-09,1458,543895,508665
2023-06-12,1460,709639,557144
2023-06-13,1464,1078381,586499
2023-06-14,1602,1240330,670213
2023-06-15,1506,543271,497497
2023-06-16,1532,556475,556352
2023-06-19,1548,591282,595594
2023-06-20,1548,729925,624783
2023-06-21,1642,857283,684661
2023-06-26,1446,514561,308176
2023-06-27,1586,748092,377711
2023-06-28,1708,889825,470162
2023-06-29,1594,582693,337795
2023-06-30,1598,524794,392037
2023-07-03,1600,702107,439429
2023-07-04,1604,660999,477118
2023-07-05,1634,770750,544413
2023-07-06,1450,773021,387016
2023-07-07,1460,844521,447646
2023-07-10,1478,916342,493694
2023-07-11,1488,992305,527841
2023-07-12,1578,1260097,603435
2023-07-13,1448,949580,415923
2023-07-14,1456,697602,451918
2023-07-17,1474,671144,495245
2023-07-18,1494,952576,520092
2023-07-19,1592,1364628,601977
2023-07-20,1442,497048,279641
2023-07-21,1554,784504,357235
2023-07-24,1562,714650,397386
2023-07-25,1568,881179,431335
