date,option_id,contract_date,strike_price,call_put,open,max,min,close,volume,settlement_price,open_interest,trading_session
2020-01-02,TXO,202001W1,12300.0,call,0.2,0.2,0.1,0.1,494,0.0,9037,position
2020-01-02,TXO,202001W1,12300.0,call,0.5,0.5,0.2,0.2,217,0.0,0,after_market
2020-01-02,TXO,202001W1,12300.0,put,241.0,241.0,185.0,198.0,29,0.0,41,position
2020-01-02,TXO,202001W1,12300.0,put,313.0,313.0,311.0,311.0,6,0.0,0,after_market
2020-01-02,TXO,202001W1,12350.0,call,0.1,0.2,0.1,0.1,804,0.0,6559,position
2020-01-02,TXO,202001W1,12350.0,call,0.2,0.4,0.1,0.1,70,0.0,0,after_market
2020-01-02,TXO,202001W1,12350.0,put,248.0,248.0,248.0,248.0,40,0.0,185,position
2020-01-02,TXO,202001W1,12400.0,call,0.1,0.2,0.1,0.2,30,0.0,4482,position
2020-01-02,TXO,202001W1,12400.0,call,0.2,0.3,0.2,0.3,29,0.0,0,after_market
2020-01-02,TXO,202001W1,12600.0,call,0.3,0.3,0.3,0.3,1,0.0,767,position
2020-01-02,TXO,202001W2,11100.0,put,0.7,0.7,0.5,0.5,23,0.5,21,position
2020-01-02,TXO,202001W2,11200.0,call,845.0,845.0,845.0,845.0,1,910.0,1,position
2020-01-02,TXO,202001W2,11200.0,put,0.5,0.6,0.5,0.6,21,0.6,21,position
2020-01-02,TXO,202001W2,11300.0,put,0.6,1.0,0.6,0.7,117,0.7,117,position
2020-01-02,TXO,202001W2,11400.0,put,1.4,1.4,0.8,0.9,197,0.9,195,position
2020-01-02,TXO,202001W2,11500.0,put,1.5,2.1,0.9,1.1,346,1.1,226,position
2020-01-02,TXO,202001W2,11600.0,put,2.4,2.5,1.2,1.5,3058,1.5,2639,position
2020-01-02,TXO,202001W2,11650.0,put,3.2,3.6,1.6,1.7,2110,1.7,1839,position
2020-01-02,TXO,202001W2,11700.0,put,3.5,4.5,1.8,2.0,2080,2.0,1126,position
