date,stock_id,buy,name,sell
2018-01-02,2880,2329000,Foreign_Investor,680251
2018-01-02,2880,0,Foreign_Dealer_Self,0
2018-01-02,2880,0,Investment_Trust,0
2018-01-02,2880,0,Dealer_self,0
2018-01-02,2880,0,Dealer_Hedging,0
2018-01-03,2880,2516551,Foreign_Investor,871850
2018-01-03,2880,0,Foreign_Dealer_Self,0
2018-01-03,2880,0,Investment_Trust,0
2018-01-03,2880,0,Dealer_self,0
2018-01-03,2880,0,Dealer_Hedging,0
2018-01-04,2880,2262799,Foreign_Investor,1114000
2018-01-04,2880,0,Foreign_Dealer_Self,0
2018-01-04,2880,0,Investment_Trust,0
2018-01-04,2880,0,Dealer_self,0
2018-01-04,2880,0,Dealer_Hedging,0
2018-01-05,2880,2825000,Foreign_Investor,2073000
2018-01-05,2880,0,Foreign_Dealer_Self,0
2018-01-05,2880,0,Investment_Trust,41000
2018-01-05,2880,0,Dealer_self,0
2018-01-05,2880,0,Dealer_Hedging,20000
2018-01-08,2880,3196000,Foreign_Investor,1613369
2018-01-08,2880,0,Foreign_Dealer_Self,0
2018-01-08,2880,0,Investment_Trust,14000
2018-01-08,2880,0,Dealer_self,2000
2018-01-08,2880,0,Dealer_Hedging,41000
2018-01-09,2880,2840744,Foreign_Investor,1727000
2018-01-09,2880,0,Foreign_Dealer_Self,0
2018-01-09,2880,0,Investment_Trust,0
2018-01-09,2880,0,Dealer_self,5000
2018-01-09,2880,0,Dealer_Hedging,0
2018-01-10,2880,2898310,Foreign_Investor,2324307
2018-01-10,2880,0,Foreign_Dealer_Self,0
2018-01-10,2880,0,Investment_Trust,14000
2018-01-10,2880,0,Dealer_self,0
2018-01-10,2880,0,Dealer_Hedging,0
2018-01-11,2880,2085000,Foreign_Investor,2117082
2018-01-11,2880,0,Foreign_Dealer_Self,0
2018-01-11,2880,0,Investment_Trust,0
2018-01-11,2880,0,Dealer_self,0
2018-01-11,2880,0,Dealer_Hedging,0
2018-01-12,2880,2343000,Foreign_Investor,1313400
2018-01-12,2880,0,Foreign_Dealer_Self,0
2018-01-12,2880,0,Investment_Trust,0
2018-01-12,2880,0,Dealer_self,0
2018-01-12,2880,0,Dealer_Hedging,0
2018-01-15,2880,2080600,Foreign_Investor,610000
2018-01-15,2880,0,Foreign_Dealer_Self,0
2018-01-15,2880,0,Investment_Trust,15000
2018-01-15,2880,0,Dealer_self,0
2018-01-15,2880,0,Dealer_Hedging,0
2018-01-16,2880,2488312,Foreign_Investor,675625
2018-01-16,2880,0,Foreign_Dealer_Self,0
2018-01-16,2880,0,Investment_Trust,18000
2018-01-16,2880,250000,Dealer_self,0
2018-01-16,2880,0,Dealer_Hedging,0
2018-01-17,2880,5858268,Foreign_Investor,5312625
2018-01-17,2880,0,Foreign_Dealer_Self,0
2018-01-17,2880,0,Investment_Trust,0
2018-01-17,2880,0,Dealer_self,0
2018-01-17,2880,0,Dealer_Hedging,0
2018-01-18,2880,3445516,Foreign_Investor,679080
2018-01-18,2880,0,Foreign_Dealer_Self,0
2018-01-18,2880,0,Investment_Trust,1601000
2018-01-18,2880,252000,Dealer_self,0
2018-01-18,2880,0,Dealer_Hedging,20000
2018-01-19,2880,1981950,Foreign_Investor,417000
2018-01-19,2880,0,Foreign_Dealer_Self,0
2018-01-19,2880,0,Investment_Trust,0
2018-01-19,2880,0,Dealer_self,0
2018-01-19,2880,0,Dealer_Hedging,0
