date,is_session,is_settlement,kind,name,source,notes
2025-06-07,0,0,WEEKEND,,weekend,
2025-06-08,0,0,WEEKEND,,weekend,
2025-06-09,1,1,SESSION,,weekday_default,
2025-06-10,1,1,SESSION,,weekday_default,
2025-06-11,1,1,SESSION,,weekday_default,
2025-06-12,1,1,SESSION,,weekday_default,
2025-06-13,1,1,SESSION,,weekday_default,
2025-06-14,0,0,WEEKEND,,weekend,
2025-06-15,0,0,WEEKEND,,weekend,
2025-06-16,1,1,SESSION,,weekday_default,
2025-06-17,1,1,SESSION,,weekday_default,
2025-06-18,1,1,SESSION,,weekday_default,
2025-06-19,1,1,SESSION,,weekday_default,
2025-06-20,1,1,SESSION,,weekday_default,
2025-06-21,0,0,WEEKEND,,weekend,
2025-06-22,0,0,WEEKEND,,weekend,
2025-06-23,1,1,SESSION,,weekday_default,
2025-06-24,1,1,SESSION,,weekday_default,
2025-06-25,1,1,SESSION,,weekday_default,
2025-06-26,1,1,SESSION,,weekday_default,
2025-06-27,1,1,SESSION,,weekday_default,
2025-06-28,0,0,WEEKEND,,weekend,
2025-06-29,0,0,WEEKEND,,weekend,
2025-06-30,1,1,SESSION,,weekday_default,
2025-07-01,1,1,SESSION,,weekday_default,
2025-07-02,1,1,SESSION,,weekday_default,
2025-07-03,1,1,SESSION,,weekday_default,
2025-07-04,1,1,SESSION,,weekday_default,
2025-07-05,0,0,WEEKEND,,weekend,
2025-07-06,0,0,WEEKEND,,weekend,
2025-07-07,1,1,SESSION,,weekday_default,
2025-07-08,1,1,SESSION,,weekday_default,
2025-07-09,1,1,SESSION,,weekday_default,
2025-07-10,1,1,SESSION,,weekday_default,
2025-07-11,1,1,SESSION,,weekday_default,
2025-07-12,0,0,WEEKEND,,weekend,
2025-07-13,0,0,WEEKEND,,weekend,
2025-07-14,1,1,SESSION,,weekday_default,
2025-07-15,1,1,SESSION,,weekday_default,
2025-07-16,1,1,SESSION,,weekday_default,
2025-07-17,1,1,SESSION,,weekday_default,
2025-07-18,1,1,SESSION,,weekday_default,
2025-07-19,0,0,WEEKEND,,weekend,
2025-07-20,0,0,WEEKEND,,weekend,
2025-07-21,1,1,SESSION,,weekday_default,
2025-07-22,1,1,SESSION,,weekday_default,
2025-07-23,1,1,SESSION,,weekday_default,
2025-07-24,1,1,SESSION,,weekday_default,
2025-07-25,1,1,SESSION,,weekday_default,
2025-07-26,0,0,WEEKEND,,weekend,
2025-07-27,0,0,WEEKEND,,weekend,
2025-07-28,1,1,SESSION,,weekday_default,
2025-07-29,1,1,SESSION,,weekday_default,
2025-07-30,1,1,SESSION,,weekday_default,
2025-07-31,1,1,SESSION,,weekday_default,
2025-08-01,1,1,SESSION,,weekday_default,
2025-08-02,0,0,WEEKEND,,weekend,
2025-08-03,0,0,WEEKEND,,weekend,
2025-08-04,1,1,SESSION,,weekday_default,
2025-08-05,1,1,SESSION,,weekday_default,
2025-08-06,1,1,SESSION,,weekday_default,
2025-08-07,1,1,SESSION,,weekday_default,
