date,contract_date,open_interest,volume,close,oi,doi,doi_z
2018-01-02,201801,103067,108602,10709.0,103067,,
2018-01-03,201801,102723,120998,10789.0,102723,-344.0,
2018-01-04,201801,100306,119190,10837.0,100306,-2417.0,
2018-01-05,201801,98934,110637,10857.0,98934,-1372.0,
2018-01-08,201801,100507,106537,10886.0,100507,1573.0,
2018-01-09,201801,101379,97025,10881.0,101379,872.0,
2018-01-10,201801,98375,132570,10809.0,98375,-3004.0,
2018-01-11,201801,93929,135869,10801.0,93929,-4446.0,
2018-01-12,201801,86858,124266,10876.0,86858,-7071.0,
2018-01-15,201801,57186,134712,10955.0,57186,-29672.0,
2018-01-16,201801,37343,118376,10983.0,37343,-19843.0,
2018-01-17,201801,22079,85210,11020.0,22079,-15264.0,
2018-01-18,201802,91346,179169,11054.0,91346,69267.0,
2018-01-19,201802,96617,106496,11139.0,96617,5271.0,
2018-01-22,201802,97635,139799,11222.0,97635,1018.0,
2018-01-23,201802,99184,152547,11225.0,99184,1549.0,
2018-01-24,201802,96256,171874,11126.0,96256,-2928.0,
2018-01-25,201802,99384,207680,11154.0,99384,3128.0,
2018-01-26,201802,97665,172894,11146.0,97665,-1719.0,
2018-01-29,201802,97898,139210,11196.0,97898,233.0,
2018-01-30,201802,98112,176699,11064.0,98112,214.0,0.02506840719726482
2018-01-31,201802,99558,190849,11098.0,99558,1446.0,0.08983095735603071
2018-02-01,201802,101944,141148,11160.0,101944,2386.0,0.13900003114554277
2018-02-02,201802,99831,176534,11116.0,99831,-2113.0,-0.11510392545306322
2018-02-05,201802,95221,185574,10928.0,95221,-4610.0,-0.25520121552874764
2018-02-06,201802,91490,409245,10399.0,91490,-3731.0,-0.19873153597592147
2018-02-07,201802,84129,236946,10517.0,84129,-7361.0,-0.4102221218706365
2018-02-08,201802,77306,182147,10518.0,77306,-6823.0,-0.3691659176458299
2018-02-09,201802,58219,257335,10353.0,58219,-19087.0,-1.094715345620284
2018-02-12,201802,35441,151528,10410.0,35441,-22778.0,-1.264439442437733
2018-02-21,201802,20647,94033,10705.0,20647,-14794.0,-0.7505288036822026
2018-02-22,201803,85046,124336,10626.0,85046,64399.0,3.2716544785026094
2018-02-23,201803,91065,131504,10781.0,91065,6019.0,0.3266703188816472
2018-02-26,201803,89543,101181,10822.0,89543,-1522.0,-0.05772705624454236
2018-02-27,201803,88068,119787,10791.0,88068,-1475.0,-0.05449093217862427
2018-03-01,201803,89157,150471,10735.0,89157,1089.0,0.07951525030590764
2018-03-02,201803,88320,167243,10681.0,88320,-837.0,-0.023194900617818776
2018-03-05,201803,90715,172804,10635.0,90715,2395.0,0.1501594414398129
2018-03-06,201803,92042,142401,10787.0,92042,1327.0,0.09020296995045479
2018-03-07,201803,91197,158990,10712.0,91197,-845.0,-0.03056116713115883
2018-03-08,201803,93815,119702,10829.0,93815,2618.0,0.1631126456114705
2018-03-09,201803,91585,128355,10865.0,91585,-2230.0,-0.11303157777072942
2018-03-12,201803,95637,122637,11024.0,95637,4052.0,0.2479887427223939
2018-03-13,201803,95491,108806,11100.0,95491,-146.0,0.0017916080242253555
2018-03-14,201803,89894,127357,11031.0,89894,-5597.0,-0.317763659757785
2018-03-15,201803,90945,111968,11041.0,90945,1051.0,0.08010910336278126
2018-03-16,201803,79278,189713,11018.0,79278,-11667.0,-0.6805124742687827
