book,alpha,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,chal_cagr,chal_mdd,ann_turnover_approx
BLEND_E45_A05,0.05,ALL,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,0.1724320147835161,-0.21840933817863817,1.116638867111272
BLEND_E45_A05,0.05,ALL,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,-0.11308673030842753,1.116638867111272
BLEND_E45_A05,0.05,ALL,full,0.7024106199616909,0.42342237927519566,0.490699430324093,0.13365973293663336,-0.21840933817863817,1.116638867111272
BLEND_E45_A10,0.1,ALL,heldout_2019_plus,0.799556371054333,1.5094181207245816,0.044847310692042175,0.1669410410874812,-0.21743788066771186,1.129757002338874
BLEND_E45_A10,0.1,ALL,sealed_2023_plus,3.654352225578539,2.116729162136921,2.5959876445100782,0.22772493447984998,-0.10432795899431624,1.129757002338874
BLEND_E45_A10,0.1,ALL,full,0.7995563710543108,0.7007775072591205,0.44916761742475053,0.1308861816567941,-0.21743788066771197,1.129757002338874
FIN_ONLY_A05,0.05,Financial,heldout_2019_plus,0.6421180471372079,0.7617617615311323,0.26123716637164174,0.1744176046794157,-0.2190122639068831,1.1085022957334516
FIN_ONLY_A05,0.05,Financial,sealed_2023_plus,2.3595688541433346,1.1396887202211659,1.7897244940327517,0.23749533889900754,-0.11727579270866828,1.1085022957334516
FIN_ONLY_A05,0.05,Financial,full,0.6421180471372079,0.33598221150605845,0.47412694138417866,0.13453413461432473,-0.219012263906883,1.1085022957334516
FIN_ONLY_A08,0.08,Financial,heldout_2019_plus,0.7612498742002094,1.148093136192263,0.18720330610407787,0.1705542909328044,-0.2178209456362531,1.1210772595980023
FIN_ONLY_A08,0.08,Financial,sealed_2023_plus,3.184994208290104,1.6822939152400407,2.3438472506700836,0.2320692869488188,-0.10902153916720059,1.1210772595980023
FIN_ONLY_A08,0.08,Financial,full,0.7612498742001983,0.5227360547670479,0.49988184681667436,0.13266659618171484,-0.2178209456362531,1.1210772595980023
FIN_ONLY_A10,0.1,Financial,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,0.16950506384767983,-0.21631369757721874,1.132970266178506
FIN_ONLY_A10,0.1,Financial,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,0.2308759270765437,-0.10668667532308351,1.132970266178506
FIN_ONLY_A10,0.1,Financial,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,0.1322897123616964,-0.21631369757721863,1.132970266178506
FIN_ONLY_A12,0.12,Financial,heldout_2019_plus,0.8264674948487594,1.4326552877599985,0.11013985096876011,0.16770866941712703,-0.2171687694297676,1.1523323006577948
FIN_ONLY_A12,0.12,Financial,sealed_2023_plus,3.594935933375676,2.0304439729619483,2.5797139468947017,0.2285877863715997,-0.10492212191634487,1.1523323006577948
FIN_ONLY_A12,0.12,Financial,full,0.8264674948487594,0.6495840475449599,0.5016754710762794,0.13139811625393572,-0.21716876942976748,1.1523323006577948
FIN_ONLY_A15,0.15,Financial,heldout_2019_plus,0.7423469403666227,1.7303408191415626,-0.12282346920415854,0.1647318141033114,-0.21800997497458896,1.1540206783458666
FIN_ONLY_A15,0.15,Financial,sealed_2023_plus,3.906995041837502,2.461798019817363,2.6760960319288207,0.22427424590304557,-0.1018015308317266,1.1540206783458666
FIN_ONLY_A15,0.15,Financial,full,0.7423469403666227,0.806486968573128,0.33910345608005876,0.12982908704365403,-0.21800997497458885,1.1540206783458666
