book,episode,base_mdd,chal_mdd,mdd_improve_pp,cagr_giveback_pp,score,n_days
BLEND_E45_A05,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.21840933817863828,0.7024106199616797,-1.1101176388146339,0.1473518005543628,36
BLEND_E45_A10,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.21743788066771186,0.7995563710543219,-1.3745321421983814,0.11229029995513118,36
FIN_ONLY_A05,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.2190122639068831,0.6421180471371968,-0.9746815197630654,0.1547772872556641,36
FIN_ONLY_A08,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.2178209456362532,0.7612498742001872,-1.2406867604864091,0.14090649395698263,36
FIN_ONLY_A10,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.21631369757721863,0.9119746801036444,-1.4975949042508874,0.16317722797820067,36
FIN_ONLY_A12,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.2171687694297676,0.8264674948487483,-1.3844251045340483,0.1342549425817241,36
FIN_ONLY_A15,COVID19_2020-01-20_2020-03-19,-0.22543344437825508,-0.21800997497458885,0.7423469403666227,-1.3032503026276898,0.09072178905277783,36
