book,mdd_help_covid_year_pp,mdd_help_non_covid_positive_pp,share_of_positive_help_in_covid_year,n_stress_years_helped_gt_0_25pp,years_helped,n_non_covid_years_helped_gt_0_25pp,non_covid_years_helped,multi_event_incl_covid,multi_event_non_covid_only
BLEND_E45_A05,0.7024106199616797,0.062216719367691464,0.9186313172868503,1,[2020],0,[],False,False
BLEND_E45_A10,0.7995563710543108,0.2241912886051911,0.7810092296770114,1,[2020],0,[],False,False
FIN_ONLY_A05,0.6421180471372079,0.0,1.0,1,[2020],0,[],False,False
FIN_ONLY_A08,0.7612498742001983,0.08666358127122908,0.897791949506161,1,[2020],0,[],False,False
FIN_ONLY_A10,0.9119746801036444,0.17105472034134594,0.8420590241861728,1,[2020],0,[],False,False
FIN_ONLY_A12,0.8264674948487483,0.21947771968912066,0.7901632737178373,1,[2020],0,[],False,False
FIN_ONLY_A15,0.7423469403666116,0.28773418982609433,0.720668419804695,2,"[2018, 2020]",1,[2018],True,False
