book,window,n_days,mdd_improve_pp,cagr_giveback_pp,score
BLEND_E45_A05,heldout_2019_plus_ex_covid_year,1611,-1.4865418444504397,1.1334367749584295,-2.0532602319296545
BLEND_E45_A10,heldout_2019_plus_ex_covid_year,1611,-1.700730796732508,1.7808885161334498,-2.591175054799233
FIN_ONLY_A05,heldout_2019_plus_ex_covid_year,1611,-1.3323500348710327,0.8991986802472152,-1.7819493749946402
FIN_ONLY_A08,heldout_2019_plus_ex_covid_year,1611,-1.7017623554977823,1.35489475053987,-2.3792097307677174
FIN_ONLY_A10,heldout_2019_plus_ex_covid_year,1611,-1.6680524154453091,1.4786167348031842,-2.4073607828469012
FIN_ONLY_A12,heldout_2019_plus_ex_covid_year,1611,-1.629263808515924,1.690403609908686,-2.474465613470267
FIN_ONLY_A15,heldout_2019_plus_ex_covid_year,1611,-1.675639611141444,2.041252886762579,-2.6962660545227335
