year,n_days,ret,max_drawdown,available,book,event_tag,event_label,is_covid,alpha,sleeves
2015,244,-0.031842976201469364,-0.13627683995558937,True,BASE_E16_E18_E22_v2s_C1x,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.0,ALL
2018,247,0.09182623640011811,-0.06933660529602836,True,BASE_E16_E18_E22_v2s_C1x,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.0,ALL
2020,245,-0.035402855032972136,-0.22543344437825508,True,BASE_E16_E18_E22_v2s_C1x,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.0,ALL
2022,246,0.05376480069005751,-0.1688991582899202,True,BASE_E16_E18_E22_v2s_C1x,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.0,ALL
2015,244,-0.035138929087621285,-0.13703406965710097,True,BLEND_E45_A05,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.05,ALL
2018,247,0.08494953095970015,-0.06871443810235145,True,BLEND_E45_A05,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.05,ALL
2020,245,-0.0266862092240584,-0.21840933817863828,True,BLEND_E45_A05,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.05,ALL
2022,246,0.03206890170131338,-0.1837645767344247,True,BLEND_E45_A05,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.05,ALL
2015,244,-0.036565210045461205,-0.13746493172919794,True,BLEND_E45_A10,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.1,ALL
2018,247,0.08145302499981288,-0.06709469240997645,True,BLEND_E45_A10,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.1,ALL
2020,245,-0.02561251912517415,-0.21743788066771197,True,BLEND_E45_A10,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.1,ALL
2022,246,0.024431339439030975,-0.18590646625724538,True,BLEND_E45_A10,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.1,ALL
2015,244,-0.03481726438769417,-0.1370469755803685,True,FIN_ONLY_A05,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.05,Financial
2018,247,0.08619371539209619,-0.06946778267727471,True,FIN_ONLY_A05,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.05,Financial
2020,245,-0.026746996683510216,-0.219012263906883,True,FIN_ONLY_A05,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.05,Financial
2022,246,0.0351692704779345,-0.18222265863863052,True,FIN_ONLY_A05,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.05,Financial
2015,244,-0.035741897684521184,-0.13679153499548247,True,FIN_ONLY_A08,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.08,Financial
2018,247,0.08408021278835176,-0.06846996948331607,True,FIN_ONLY_A08,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.08,Financial
2020,245,-0.025315603237898054,-0.2178209456362531,True,FIN_ONLY_A08,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.08,Financial
2022,246,0.028868643385080883,-0.18591678184489813,True,FIN_ONLY_A08,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.08,Financial
2015,244,-0.03628570999631542,-0.13690801872116198,True,FIN_ONLY_A10,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.1,Financial
2018,247,0.08240137334171438,-0.0676260580926149,True,FIN_ONLY_A10,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.1,Financial
2020,245,-0.02439537790907853,-0.21631369757721863,True,FIN_ONLY_A10,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.1,Financial
2022,246,0.02757401123026426,-0.18557968244437328,True,FIN_ONLY_A10,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.1,Financial
2015,244,-0.03643553715053538,-0.1370254703314684,True,FIN_ONLY_A12,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.12,Financial
2018,247,0.08165689116165264,-0.06714182809913716,True,FIN_ONLY_A12,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.12,Financial
2020,245,-0.025359556504761738,-0.2171687694297676,True,FIN_ONLY_A12,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.12,Financial
2022,246,0.025816774731227676,-0.18519179637507954,True,FIN_ONLY_A12,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.12,Financial
2015,244,-0.03687466366944814,-0.1370714347215457,True,FIN_ONLY_A15,TW_EQUITY_STRESS_2015,2015 TW equity stress (China/EM spillover),False,0.15,Financial
2018,247,0.0805435019532652,-0.06645926339776742,True,FIN_ONLY_A15,TRADE_WAR_EM_2018,2018 trade-war / EM stress,False,0.15,Financial
2020,245,-0.024373194632262063,-0.21800997497458896,True,FIN_ONLY_A15,COVID19_MEGA_DD_2020,2020 COVID-19 mega-drawdown (expected large story),True,0.15,Financial
2022,246,0.022473922945166036,-0.18565555440133463,True,FIN_ONLY_A15,RATE_INFLATION_2022,2022 rate / inflation stress,False,0.15,Financial
