book,window_start,window_end,mdd_improve_pp,cagr_giveback_pp,score
BLEND_E45_A05,2017-01-01,2020-12-31,0.7024106199616909,-0.13337050692607821,0.6357253664986517
BLEND_E45_A10,2017-01-01,2020-12-31,0.7995563710543219,0.08831785353331512,0.7553974442876643
FIN_ONLY_A05,2017-01-01,2020-12-31,0.6421180471372079,-0.13585224734862233,0.5741919234628967
FIN_ONLY_A08,2017-01-01,2020-12-31,0.7612498742001872,-0.09702512989557821,0.7127373092523981
FIN_ONLY_A10,2017-01-01,2020-12-31,0.9119746801036444,-0.04662051933486122,0.8886644204362137
FIN_ONLY_A12,2017-01-01,2020-12-31,0.8264674948487483,0.05316967453710131,0.7998826575801976
FIN_ONLY_A15,2017-01-01,2020-12-31,0.7423469403666116,0.14019740382302803,0.6722482384550976
BLEND_E45_A05,2018-01-01,2021-12-31,0.7024106199616797,0.12798896469010668,0.6384161376166264
BLEND_E45_A10,2018-01-01,2021-12-31,0.7995563710543108,0.4577397264563299,0.5706865078261458
FIN_ONLY_A05,2018-01-01,2021-12-31,0.6421180471372079,0.05778504283628916,0.6132255257190633
FIN_ONLY_A08,2018-01-01,2021-12-31,0.7612498742002094,0.2006620194641595,0.6609188644681296
FIN_ONLY_A10,2018-01-01,2021-12-31,0.9119746801036444,0.3057398510689868,0.7591047545691509
FIN_ONLY_A12,2018-01-01,2021-12-31,0.8264674948487483,0.41824876535001554,0.6173431121737405
FIN_ONLY_A15,2018-01-01,2021-12-31,0.7423469403666116,0.5462962766058732,0.46919880206367504
BLEND_E45_A05,2019-01-01,2022-12-31,0.702410619961702,0.5752504763565813,0.4147853817834113
BLEND_E45_A10,2019-01-01,2022-12-31,0.799556371054333,1.001293975534856,0.298909383286905
FIN_ONLY_A05,2019-01-01,2022-12-31,0.6421180471372079,0.44363607113835357,0.4203000115680311
FIN_ONLY_A08,2019-01-01,2022-12-31,0.7612498742002094,0.699997520676221,0.4112511138620989
FIN_ONLY_A10,2019-01-01,2022-12-31,0.9119746801036444,0.7938237120207248,0.515062824093282
FIN_ONLY_A12,2019-01-01,2022-12-31,0.8264674948487594,0.9338222393648898,0.35955637516631445
FIN_ONLY_A15,2019-01-01,2022-12-31,0.7423469403666227,1.116358867422318,0.18416750665546378
BLEND_E45_A05,2020-01-01,2023-12-31,0.7024106199616909,-0.4433691119291039,0.4807260639971389
BLEND_E45_A10,2020-01-01,2023-12-31,0.7995563710543219,-0.6270146941455668,0.4860490239815385
FIN_ONLY_A05,2020-01-01,2023-12-31,0.642118047137219,-0.4514474865294549,0.41639430387249154
FIN_ONLY_A08,2020-01-01,2023-12-31,0.7612498742001983,-0.550512416892901,0.4859936657537478
FIN_ONLY_A10,2020-01-01,2023-12-31,0.9119746801036666,-0.61857705382935,0.6026861531889915
FIN_ONLY_A12,2020-01-01,2023-12-31,0.8264674948487594,-0.5738367020039714,0.5395491438467737
FIN_ONLY_A15,2020-01-01,2023-12-31,0.7423469403666338,-0.6352256815040924,0.42473409961458763
BLEND_E45_A05,2021-01-01,2024-12-31,-1.4865418444504286,0.33361015775601466,-1.653346923328436
BLEND_E45_A10,2021-01-01,2024-12-31,-1.7007307967325191,0.4642264587142231,-1.9328440260896307
FIN_ONLY_A05,2021-01-01,2024-12-31,-1.3323500348710215,0.2579430226385515,-1.4613215461902973
FIN_ONLY_A08,2021-01-01,2024-12-31,-1.7017623554977823,0.3643814959922498,-1.8839531034939072
FIN_ONLY_A10,2021-01-01,2024-12-31,-1.668052415445298,0.3567872572591613,-1.8464460440748787
FIN_ONLY_A12,2021-01-01,2024-12-31,-1.629263808515924,0.4208340650833531,-1.8396808410576004
FIN_ONLY_A15,2021-01-01,2024-12-31,-1.675639611141433,0.5566817474472963,-1.953980484865081
BLEND_E45_A05,2023-01-01,2026-09-04,2.7784750941674097,1.4195835045774485,2.0686833418786854
BLEND_E45_A10,2023-01-01,2026-09-04,3.654352225578539,2.116729162136921,2.5959876445100782
FIN_ONLY_A05,2023-01-01,2026-09-04,2.3595688541433346,1.1396887202211659,1.7897244940327517
FIN_ONLY_A08,2023-01-01,2026-09-04,3.184994208290104,1.6822939152400407,2.3438472506700836
FIN_ONLY_A10,2023-01-01,2026-09-04,3.4184805927018114,1.8016299024675497,2.5176656414680365
FIN_ONLY_A12,2023-01-01,2026-09-04,3.594935933375676,2.0304439729619483,2.5797139468947017
FIN_ONLY_A15,2023-01-01,2026-09-04,3.906995041837502,2.461798019817363,2.6760960319288207
