book,window_start,window_end,cagr,max_drawdown,utility,vol,n_days
BASE_E16_E18_E22_v2s_C1x,2017-01-01,2020-12-31,0.1088097282264393,-0.22543344437825508,-0.003906993962688232,0.11316493396715344,980
BLEND_E45_A05,2017-01-01,2020-12-31,0.11014343329570009,-0.21840933817863817,0.0009387642063810042,0.11110630711783272,980
BLEND_E45_A10,2017-01-01,2020-12-31,0.10792654969110616,-0.21743788066771186,-0.000792390642749774,0.10985778828436547,980
FIN_ONLY_A05,2017-01-01,2020-12-31,0.11016825069992553,-0.219012263906883,0.0006621187464840306,0.1114583815296254,980
FIN_ONLY_A08,2017-01-01,2020-12-31,0.10977997952539509,-0.2178209456362532,0.0008695067072684859,0.1107588250507351,980
FIN_ONLY_A10,2017-01-01,2020-12-31,0.10927593341978792,-0.21631369757721863,0.0011190846311786018,0.1100897665071623,980
FIN_ONLY_A12,2017-01-01,2020-12-31,0.1082780314810683,-0.2171687694297676,-0.00030635323381550394,0.10987808347453445,980
FIN_ONLY_A15,2017-01-01,2020-12-31,0.10740775418820903,-0.21800997497458896,-0.0015972332990854543,0.1093844668600488,980
BASE_E16_E18_E22_v2s_C1x,2018-01-01,2021-12-31,0.1294838902307578,-0.22543344437825508,0.016767168041630254,0.12118220086347455,978
BLEND_E45_A05,2018-01-01,2021-12-31,0.12820400058385673,-0.21840933817863828,0.018999331494537586,0.11868482062760208,978
BLEND_E45_A10,2018-01-01,2021-12-31,0.1249064929661945,-0.21743788066771197,0.01618755263233851,0.11725498501051508,978
FIN_ONLY_A05,2018-01-01,2021-12-31,0.1289060398023949,-0.219012263906883,0.0193999078489534,0.1190900987317078,978
FIN_ONLY_A08,2018-01-01,2021-12-31,0.1274772700361162,-0.21782094563625298,0.018566797217989706,0.11826190758376516,978
FIN_ONLY_A10,2018-01-01,2021-12-31,0.12642649172006792,-0.21631369757721863,0.018269642931458607,0.11757993756993045,978
FIN_ONLY_A12,2018-01-01,2021-12-31,0.12530140257725764,-0.2171687694297676,0.01671701786237384,0.11731191475153953,978
FIN_ONLY_A15,2018-01-01,2021-12-31,0.12402092746469906,-0.21800997497458896,0.01501593997740458,0.11669056289361854,978
BASE_E16_E18_E22_v2s_C1x,2019-01-01,2022-12-31,0.12303252832234746,-0.2254334443782552,0.010315806133219863,0.13563392852620926,977
BLEND_E45_A05,2019-01-01,2022-12-31,0.11728002355878164,-0.21840933817863817,0.008075354469462559,0.13297288345496505,977
BLEND_E45_A10,2019-01-01,2022-12-31,0.1130195885669989,-0.21743788066771186,0.004300648233142967,0.13138094274939296,977
FIN_ONLY_A05,2019-01-01,2022-12-31,0.11859616761096392,-0.2190122639068831,0.009090035657522366,0.13328667674762656,977
FIN_ONLY_A08,2019-01-01,2022-12-31,0.11603255311558525,-0.2178209456362531,0.007122080297458699,0.13241952336374033,977
FIN_ONLY_A10,2019-01-01,2022-12-31,0.11509429120214021,-0.21631369757721874,0.006937442413530837,0.13180022933802157,977
FIN_ONLY_A12,2019-01-01,2022-12-31,0.11369430592869856,-0.2171687694297676,0.005109921213814761,0.1314891048268314,977
FIN_ONLY_A15,2019-01-01,2022-12-31,0.11186893964812428,-0.21800997497458896,0.002863952160829797,0.13067598970491784,977
BASE_E16_E18_E22_v2s_C1x,2020-01-01,2023-12-31,0.07540090005732591,-0.2254334443782552,-0.03731582213180168,0.13930746205568265,973
BLEND_E45_A05,2020-01-01,2023-12-31,0.07983459117661695,-0.21840933817863828,-0.029370077912702186,0.13678051361669105,973
BLEND_E45_A10,2020-01-01,2023-12-31,0.08167104699878158,-0.21743788066771197,-0.027047893335074402,0.13539782565119993,973
FIN_ONLY_A05,2020-01-01,2023-12-31,0.07991537492262046,-0.219012263906883,-0.029590757030821035,0.1370333329863046,973
FIN_ONLY_A08,2020-01-01,2023-12-31,0.08090602422625492,-0.2178209456362532,-0.028004448591871678,0.13626650695418746,973
FIN_ONLY_A10,2020-01-01,2023-12-31,0.08158667059561941,-0.21631369757721852,-0.026570178192989846,0.13574124340111313,973
FIN_ONLY_A12,2020-01-01,2023-12-31,0.08113926707736563,-0.2171687694297676,-0.027445117637518168,0.13549419991782585,973
FIN_ONLY_A15,2020-01-01,2023-12-31,0.08175315687236684,-0.21800997497458885,-0.027251830614927586,0.13463790567748524,973
BASE_E16_E18_E22_v2s_C1x,2021-01-01,2024-12-31,0.14062753212514245,-0.1688991582899203,0.0561779529801823,0.13598828349635514,970
BLEND_E45_A05,2021-01-01,2024-12-31,0.1372914305475823,-0.1837645767344246,0.04540914218037001,0.1324684908249097,970
BLEND_E45_A10,2021-01-01,2024-12-31,0.13598526753800022,-0.1859064662572455,0.04303203440937747,0.13075708914770062,970
FIN_ONLY_A05,2021-01-01,2024-12-31,0.13804810189875694,-0.18222265863863052,0.04693677257944168,0.13282188053997823,970
FIN_ONLY_A08,2021-01-01,2024-12-31,0.13698371716521995,-0.18591678184489813,0.04402532624277089,0.13181544887501737,970
FIN_ONLY_A10,2021-01-01,2024-12-31,0.13705965955255084,-0.18557968244437328,0.0442698183303642,0.13145161038709274,970
FIN_ONLY_A12,2021-01-01,2024-12-31,0.13641919147430892,-0.18519179637507954,0.04382329328676915,0.1310770169042015,970
FIN_ONLY_A15,2021-01-01,2024-12-31,0.1350607146506695,-0.18565555440133463,0.04223293745000217,0.12977544758078438,970
BASE_E16_E18_E22_v2s_C1x,2023-01-01,2026-09-04,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879
BLEND_E45_A05,2023-01-01,2026-09-04,0.2346963910554447,-0.11308673030842753,0.17815302590123094,0.15541388862284303,879
BLEND_E45_A10,2023-01-01,2026-09-04,0.22772493447984998,-0.10432795899431624,0.17556095498269186,0.15157393316602139,879
FIN_ONLY_A05,2023-01-01,2026-09-04,0.23749533889900754,-0.11727579270866828,0.1788574425446734,0.1566673807053173,879
FIN_ONLY_A08,2023-01-01,2026-09-04,0.2320692869488188,-0.10902153916720059,0.1775585173652185,0.15385660822628408,879
FIN_ONLY_A10,2023-01-01,2026-09-04,0.2308759270765437,-0.10668667532308351,0.17753258941500194,0.152890780851977,879
FIN_ONLY_A12,2023-01-01,2026-09-04,0.2285877863715997,-0.10492212191634487,0.17612672541342728,0.15218384105583802,879
FIN_ONLY_A15,2023-01-01,2026-09-04,0.22427424590304557,-0.1018015308317266,0.17337348048718226,0.15037326375338578,879
