as_of_date,stock_id,name,industry,source,pit_note
2023-12-25,2759,咖碼,觀光餐旅,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2762,世界健身,觀光餐旅,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2807,渣打銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2823,凱基人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2833,台壽保,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2837,凱基銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2848,華南保,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2856,元富證,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2858,中租迪和,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2862,光華證券投資,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2863,泰安產物,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2872,台灣票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2873,大中票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2874,萬通票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2876,宏泰人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2877,國泰產險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2893,新光銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2894,大慶票券,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2895,陽信銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2899,金融大樓,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2920,海景,觀光餐旅,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2928,紅馬-KY,觀光餐旅,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,2940,歐都納,貿易百貨業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3197,賽亞基因科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3298,圓創,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3342,飛虹科,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3369,鐵研,電子零組件業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3405,津綻石英科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3462,瑋鋒科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3463,宏塑工業,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3507,力群,電子零組件業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3509,台固線上,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3510,易鼎,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3525,就業情報資訊,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3539,隨身遊戲,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3572,宏芯,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3601,前源,通信網路業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3642,駿熠電,其他電子業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3648,漢台科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3656,聯勝,光電業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3682,亞太電,通信網路業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3683,仲博科技,其他電子業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,3688,華立捷,光電業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4118,友合,化學工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4136,太和-KY,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4170,鑫品,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4191,法德藥,生技醫療業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4427,展頌,紡織纖維,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4539,台灣智慧光網,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4548,名超企業,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4570,傑生工業,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4585,達明,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4586,能海電能,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4590,富田,電機機械,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4730,通用,橡膠工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4803,VHQ-KY,文化創意業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4981,可取國際,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,4985,富相科技,電子工業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5214,大新能源,油電燃氣業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5216,優燈,光電業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5266,F*AS,資訊服務業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5295,懷藝,其他電子業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5298,合盈光電科技,光電業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5346,力晶,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5387,茂德科技,半導體業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5541,廣朋,建材營造業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5827,華泰銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5828,富邦產保,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5830,三信商業銀行,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5831,新光人壽,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5833,元大證金,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5834,兆豐保險,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5835,國泰世華,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
2023-12-25,5836,台北富邦,金融保險業,wayback_isin_20231225210301,WAYBACK_SPARSE_SNAPSHOT
