id,gate,d_thresh,exit,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,n_entries,deploy_frac
LIVE_STACK,none,,none,0.0,0.0,0.0,PASS,PASS,True,False,0.0,0.13849076454881026,-0.21720270077643722,0.18068587296337357,-0.21720270077643733,0.24856495256732214,-0.12807794587413646,5751,0,0.0
DP10_PORT_OR_TAIEX_D10_HOLD_40,PORT_OR_TAIEX,0.1,HOLD_40,-0.7352970421137583,-0.05939547559521419,1.3518031330370883,ALERT,ALERT,False,False,-0.7352970421137583,0.12858448747904916,-0.21779665553238936,0.1671678416330027,-0.21779665553238947,0.22698931831576785,-0.10839241031036262,6076,35,0.3859162739118381
DP10_PORT_DD_D15_RECOVER_FULL,PORT_DD,0.15,RECOVER_FULL,-0.5685963630947866,0.6038944781523115,2.344981682494196,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.5685963630947866,0.1244760884982059,-0.21116375599491422,0.1572360561384316,-0.21116375599491422,0.20067844295508874,-0.08515288473766247,5601,3,0.19933462711394512
DP10_PORT_OR_TAIEX_D10_RECOVER_FULL,PORT_OR_TAIEX,0.1,RECOVER_FULL,-0.6320932478347419,0.12442167725166264,1.513029850172809,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.6320932478347419,0.12762171348809925,-0.2159584840039207,0.16555557446164548,-0.2159584840039207,0.22498912467990007,-0.11072480120803596,5628,54,0.43249237593568063
DP10_TAIEX_DD_D10_RECOVER_FULL,TAIEX_DD,0.1,RECOVER_FULL,-0.634774362351942,0.12442167725166264,1.5183920792072092,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.634774362351942,0.12759295959931527,-0.2159584840039207,0.16550195217130148,-0.2159584840039207,0.22487034439964715,-0.11068865314258691,5631,54,0.43082894372054337
DP10_PORT_DD_D12_RECOVER_FULL,PORT_DD,0.12,RECOVER_FULL,-0.8238480504459189,0.3194021973077388,2.2865004955073154,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.8238480504459189,0.12444010220637303,-0.21400867880335994,0.15782086800830042,-0.21400867880335994,0.20406798623041977,-0.08563659692503645,5616,4,0.245079013030219
DP10_TAIEX_DD_D10_HOLD_40,TAIEX_DD,0.1,HOLD_40,-0.8815454873429163,-0.05939547559521419,1.6443000234954042,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.8815454873429163,0.1270159997169633,-0.21779665553238936,0.16424287272841953,-0.21779665553238947,0.2222060456681927,-0.10887777360495976,6059,33,0.36567784862766844
DP10_PORT_DD_D10_RECOVER_HALF,PORT_DD,0.1,RECOVER_HALF,-0.9122695003775272,0.27090713352937446,2.3663532678138033,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.9122695003775272,0.12378706805643702,-0.21449362944114359,0.15702234028523554,-0.21449362944114359,0.19908048617794893,-0.08507869730784201,5675,8,0.16800665372886056
DP10_PORT_DD_D10_RECOVER_FULL,PORT_DD,0.1,RECOVER_FULL,-0.9191615247855944,0.2431149176720937,2.3245528849153763,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.9191615247855944,0.1242695487548664,-0.2147715515997164,0.1574403441142198,-0.2147715515997164,0.2042078093390356,-0.09356428987695475,5609,4,0.26975325755475466
DP10_PORT_OR_TAIEX_D10_RECOVER_HALF,PORT_OR_TAIEX,0.1,RECOVER_HALF,-0.9358963124014519,-0.07197487053902663,1.7278428837248505,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-0.9358963124014519,0.12677383894942484,-0.2179224494818277,0.16340744412612507,-0.2179224494818276,0.218767189767191,-0.1022110845129669,5756,58,0.35458830052675355
DP10_PORT_DD_D12_RECOVER_HALF,PORT_DD,0.12,RECOVER_HALF,-1.002564566247588,0.3468652376208192,2.6988596077368143,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.002564566247588,0.12256126372514498,-0.21373404840022903,0.15369727688600543,-0.21373404840022914,0.19231530633670912,-0.0851095131153945,5677,7,0.11449958414194622
DP10_PORT_DD_D15_RECOVER_HALF,PORT_DD,0.15,RECOVER_HALF,-1.0142997676849008,0.6113337144783682,3.251266964326538,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.0142997676849008,0.11977147820785894,-0.21108936363165354,0.1481732033201082,-0.21108936363165365,0.17661388971998337,-0.08661860882977179,5615,3,0.0568339340171888
DP10_PORT_OR_TAIEX_D10_TIME_OR_HALF,PORT_OR_TAIEX,0.1,TIME_OR_HALF,-1.0259413022033814,-0.14622013875130735,1.7594423269041481,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.0259413022033814,0.12639198167906707,-0.2186649021639504,0.1630914496943321,-0.2186649021639504,0.21432518347454765,-0.10099094281350685,6072,77,0.2941502633767674
DP10_TAIEX_DD_D15_RECOVER_FULL,TAIEX_DD,0.15,RECOVER_FULL,-1.087982641593832,-0.0868231284284704,2.0023190263307233,PAUSE_REVIEW,PAUSE_REVIEW,False,False,-1.087982641593832,0.12595788794050922,-0.21807093206072203,0.16066268270006634,-0.21807093206072203,0.21126604783559122,-0.09245894145450906,5602,8,0.329636817299695
