as_of_date,stock_id,name,market,security_type,industry,industry_norm,listing_date,source,pit_note
2026-09-04,6152,百一,上市,股票,通信網路業,通信網路業,2009/12/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6153,嘉聯益,上市,股票,電子零組件業,電子零組件業,2008/01/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6155,鈞寶,上市,股票,電子零組件業,電子零組件業,2006/08/18,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6164,華興,上市,股票,光電業,光電業,2008/10/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6165,浪凡,上市,股票,數位雲端,數位雲端,2003/08/04,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6166,凌華,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2004/11/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6168,宏齊,上市,股票,光電業,光電業,2003/08/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6176,瑞儀,上市,股票,光電業,光電業,2007/05/15,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6177,達麗,上市,股票,建材營造業,建材營造,2013/08/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6183,關貿,上市,股票,資訊服務業,資訊服務業,2011/12/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6184,大豐電,上市,股票,其他業,其他,2005/02/15,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6189,豐藝,上市,股票,電子通路業,電子通路業,2004/05/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6191,精成科,上市,股票,電子零組件業,電子零組件業,2007/10/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6192,巨路,上市,股票,其他電子業,其他電子業,2004/09/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6196,帆宣,上市,股票,其他電子業,其他電子業,2004/05/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6197,佳必琪,上市,股票,電子零組件業,電子零組件業,2004/11/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6201,亞弘電,上市,股票,其他電子業,其他電子業,2004/09/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6202,盛群,上市,股票,半導體業,半導體業,2004/09/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6205,詮欣,上市,股票,電子零組件業,電子零組件業,2008/01/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6206,飛捷,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2004/08/03,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6209,今國光,上市,股票,光電業,光電業,2004/11/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6213,聯茂,上市,股票,電子零組件業,電子零組件業,2008/01/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6214,精誠,上市,股票,資訊服務業,資訊服務業,2010/12/30,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6215,和椿,上市,股票,其他電子業,其他電子業,2007/12/31,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6216,居易,上市,股票,通信網路業,通信網路業,2004/09/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6224,聚鼎,上市,股票,電子零組件業,電子零組件業,2009/09/17,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6225,天瀚,上市,股票,光電業,光電業,2004/09/27,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6226,光鼎,上市,股票,光電業,光電業,2008/11/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6230,尼得科超眾,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2010/09/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6235,華孚,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2004/08/23,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6239,力成,上市,股票,半導體業,半導體業,2004/11/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6243,迅杰,上市,股票,半導體業,半導體業,2009/12/17,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6257,矽格,上市,股票,半導體業,半導體業,2003/08/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6269,台郡,上市,股票,電子零組件業,電子零組件業,2003/09/23,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6271,同欣電,上市,股票,半導體業,半導體業,2007/11/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6272,驊陞,上市,股票,電子零組件業,電子零組件業,2025/12/22,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6277,宏正,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2003/10/30,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6278,台表科,上市,股票,光電業,光電業,2010/08/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6281,全國電,上市,股票,電子通路業,電子通路業,2005/12/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6282,康舒,上市,股票,電子零組件業,電子零組件業,2003/09/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6283,淳安,上市,股票,其他電子業,其他電子業,2008/01/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6285,啟碁,上市,股票,通信網路業,通信網路業,2003/09/22,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6405,悅城,上市,股票,光電業,光電業,2013/11/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6409,旭隼,上市,股票,其他電子業,其他電子業,2014/03/31,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6412,群電,上市,股票,電子零組件業,電子零組件業,2013/11/08,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6414,樺漢,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2014/03/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6415,矽力*-KY,上市,股票,半導體業,半導體業,2013/12/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6416,瑞祺電通,上市,股票,通信網路業,通信網路業,2018/04/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6426,統新,上市,股票,通信網路業,通信網路業,2021/03/24,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6431,光麗-KY,上市,股票,生技醫療業,生技醫療業,2014/12/04,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6438,迅得,上市,股票,其他電子業,其他電子業,2021/01/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6442,光聖,上市,股票,通信網路業,通信網路業,2015/07/14,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6443,元晶,上市,股票,光電業,光電業,2015/10/01,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6446,藥華藥,上市,股票,生技醫療業,生技醫療業,2024/01/25,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6449,鈺邦,上市,股票,電子零組件業,電子零組件業,2014/12/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6451,訊芯-KY,上市,股票,半導體業,半導體業,2015/01/26,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6456,GIS-KY,上市,股票,光電業,光電業,2015/06/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6464,台數科,上市,股票,其他業,其他,2015/12/16,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6472,保瑞,上市,股票,生技醫療業,生技醫療業,2023/12/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6477,安集,上市,股票,光電業,光電業,2016/06/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6491,晶碩,上市,股票,生技醫療業,生技醫療業,2019/10/07,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6504,南六,上市,股票,其他業,其他,2013/05/07,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6505,台塑化,上市,股票,油電燃氣業,油電燃氣業,2003/12/26,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6515,穎崴,上市,股票,半導體業,半導體業,2021/01/20,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6525,捷敏-KY,上市,股票,半導體業,半導體業,2016/04/12,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6526,達發,上市,股票,半導體業,半導體業,2023/10/19,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6531,愛普*,上市,股票,半導體業,半導體業,2016/05/31,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6533,晶心科,上市,股票,半導體業,半導體業,2017/03/14,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6541,泰福-KY,上市,股票,生技醫療業,生技醫療業,2017/10/26,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6550,北極星藥業-KY,上市,股票,生技醫療業,生技醫療業,2022/06/06,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6552,易華電,上市,股票,半導體業,半導體業,2017/01/10,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6558,興能高,上市,股票,其他電子業,其他電子業,2018/12/05,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6573,虹揚-KY,上市,股票,半導體業,半導體業,2017/09/26,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6579,研揚,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2017/08/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6581,鋼聯,上市,股票,綠能環保,綠能環保,2018/01/30,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6582,申豐,上市,股票,橡膠工業,橡膠工業,2017/06/14,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6585,鼎基,上市,股票,其他業,其他,2022/05/20,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6589,台康生技,上市,股票,生技醫療業,生技醫療業,2025/07/21,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6591,動力-KY,上市,股票,電腦及週邊設備業,電腦及週邊設備業,2017/12/28,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6592,和潤企業,上市,股票,其他業,其他,2019/12/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
2026-09-04,6598,ABC-KY,上市,股票,生技醫療業,生技醫療業,2020/06/09,ISIN_class_main_listed,CURRENT_SNAPSHOT_NAMED
