as_of_date,stock_id,name,industry,source,pit_note
2018-07-19,1111,欣欣水泥,水泥工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1115,和桐水泥,水泥工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1237,台糖公司,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1242,新東陽,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1246,中聯油脂,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1252,鮮綠,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1267,京華堂,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1271,晨暉生技,食品工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1328,中油,塑膠工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1408,中紡,紡織纖維,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1469,理隆,紡織纖維,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1480,東盟開發,紡織纖維,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1489,日南紡織,紡織纖維,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1548,信昌機械,電機機械,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1550,台全電機,電機機械,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1557,金豐機器,電機電纜,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1602,太電,電器電纜,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1606,歌林,電器電纜,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1613,台一,電器電纜,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1619,大展電線,電器電纜,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1715,萬洲,塑膠工業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1716,永信藥品,生技醫療業,wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
2018-07-19,1739,欣雲天然,化學(生技醫療),wayback_isin_20180719035426,WAYBACK_SPARSE_SNAPSHOT
