as_of_date,stock_id,name,industry_code,industry,industry_norm,listing_date,source,pit_note
2026-09-04,1101,台泥,01,水泥工業,水泥工業,19620209,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1102,亞泥,01,水泥工業,水泥工業,19620608,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1103,嘉泥,01,水泥工業,水泥工業,19691114,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1104,環泥,01,水泥工業,水泥工業,19710201,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1108,幸福,01,水泥工業,水泥工業,19900606,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1109,信大,01,水泥工業,水泥工業,19911205,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1110,東泥,01,水泥工業,水泥工業,19941022,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1201,味全,02,食品工業,食品工業,19620209,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1203,味王,02,食品工業,食品工業,19640824,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1210,大成,02,食品工業,食品工業,19780520,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1213,大飲,02,食品工業,食品工業,19810410,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1215,卜蜂,02,食品工業,食品工業,19870727,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1216,統一,02,食品工業,食品工業,19871228,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1217,愛之味,02,食品工業,食品工業,19891028,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1218,泰山,02,食品工業,食品工業,19891111,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1219,福壽,02,食品工業,食品工業,19901201,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1220,台榮,02,食品工業,食品工業,19911120,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1225,福懋油,02,食品工業,食品工業,19930927,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1227,佳格,02,食品工業,食品工業,19940409,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1229,聯華,02,食品工業,食品工業,19760719,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1231,聯華食,02,食品工業,食品工業,19951102,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1232,大統益,02,食品工業,食品工業,19960209,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1233,天仁,02,食品工業,食品工業,19990120,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1234,黑松,02,食品工業,食品工業,19990312,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1235,興泰,02,食品工業,食品工業,20000911,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1236,宏亞,02,食品工業,食品工業,20010917,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1256,鮮活果汁-KY,02,食品工業,食品工業,20160317,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1301,台塑,03,塑膠工業,塑膠工業,19640727,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1303,南亞,03,塑膠工業,塑膠工業,19671115,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1304,台聚,03,塑膠工業,塑膠工業,19720520,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1305,華夏,03,塑膠工業,塑膠工業,19730305,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1307,三芳,03,塑膠工業,塑膠工業,19851123,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
2026-09-04,1308,亞聚,03,塑膠工業,塑膠工業,19860620,TWSE_openapi_t187ap03_L+ISIN_name,CURRENT_SNAPSHOT
