date,nav_base,nav_autumn_post_ex,nav_kd_opt
2013-01-29,509077425.7836935,509077425.7836935,509077425.7836935
2013-01-30,509660225.7836935,509660225.7836935,509660225.7836935
2013-01-31,513752375.7836935,513752375.7836935,513752375.7836935
2013-02-01,514878225.7836935,514878225.7836935,514878225.7836935
2013-02-04,529891775.7836935,529891775.7836935,529891775.7836935
2013-02-05,527293225.7836935,527293225.7836935,527293225.7836935
2013-02-06,530356425.7836935,530356425.7836935,530356425.7836935
2013-02-18,531071575.78369355,531071575.78369355,531071575.78369355
2013-02-19,529008425.7836935,529008425.7836935,529008425.7836935
2013-02-20,536615825.7836935,536615825.7836935,536615825.7836935
2013-02-21,529510125.7836935,529510125.7836935,529510125.7836935
2013-02-22,528969425.7836935,528969425.7836935,528969425.7836935
2013-02-23,533281025.7836935,533281025.7836935,533281025.7836935
2013-02-25,528537225.7836935,528537225.7836935,528537225.7836935
2013-02-26,526410225.7836935,526410225.7836935,526410225.7836935
2013-02-27,525726425.7836935,525726425.7836935,525726425.7836935
2013-03-01,529203525.7836935,529203525.7836935,529203525.7836935
2013-03-04,520928975.7836935,520928975.7836935,520928975.7836935
2013-03-05,525719675.7836935,525719675.7836935,525719675.7836935
2013-03-06,525037825.7836935,525037825.7836935,525037825.7836935
2013-03-07,525926475.7836935,525926475.7836935,525926475.7836935
2013-03-08,534291725.7836935,534291725.7836935,534291725.7836935
2013-03-11,533391625.7836935,533391625.7836935,533391625.7836935
2013-03-12,529011825.7836935,529011825.7836935,529011825.7836935
2013-03-13,528849275.7836935,528849275.7836935,528849275.7836935
2013-03-14,527879575.7836935,527879575.7836935,527879575.7836935
2013-03-15,527208275.7836935,527208275.7836935,527208275.7836935
2013-03-18,518848125.7836935,518848125.7836935,518848125.7836935
2013-03-19,518572925.7836935,518572925.7836935,518572925.7836935
2013-03-20,515809675.7836935,515809675.7836935,515809675.7836935
2013-03-21,515397275.7836935,515397275.7836935,515397275.7836935
2013-03-22,512987975.7836935,512987975.7836935,512987975.7836935
2013-03-25,520369675.7836935,520369675.7836935,520369675.7836935
2013-03-26,518465125.7836935,518465125.7836935,518465125.7836935
2013-03-27,522695275.7836935,522695275.7836935,522695275.7836935
2013-03-28,521252725.7836935,521252725.7836935,521252725.7836935
2013-03-29,523544925.7836935,523544925.7836935,523544925.7836935
2013-04-01,521478475.7836935,521478475.7836935,521478475.7836935
2013-04-02,520015525.7836935,520015525.7836935,520015525.7836935
2013-04-03,522212125.7836935,522212125.7836935,522212125.7836935
2013-04-08,508408775.7836935,508408775.7836935,508408775.7836935
2013-04-09,508983725.7836935,508983725.7836935,508983725.7836935
2013-04-10,508870225.7836935,508870225.7836935,508870225.7836935
2013-04-11,511002825.7836935,511002825.7836935,511002825.7836935
2013-04-12,509745675.7836935,509745675.7836935,509745675.7836935
2013-04-15,507239625.7836935,507239625.7836935,507239625.7836935
2013-04-16,506220125.7836935,506220125.7836935,506220125.7836935
2013-04-17,500860125.7836935,500860125.7836935,500860125.7836935
2013-04-18,501007925.8319394,501007925.8319394,501007925.8319394
2013-04-19,508628375.8319394,508628375.8319394,508628375.8319394
2013-04-22,509371311.5239155,509371311.5239155,509371311.5239155
2013-04-23,510236211.5239155,510236211.5239155,510236211.5239155
2013-04-24,512601743.1678736,512601743.1678736,512601743.1678736
2013-04-25,511459743.1678736,511459743.1678736,511459743.1678736
2013-04-26,510257493.1678736,510257493.1678736,510257493.1678736
2013-04-29,510399093.1678736,510399093.1678736,510399093.1678736
2013-04-30,513668793.1678736,513668793.1678736,513668793.1678736
2013-05-02,515975243.1678736,515975243.1678736,515975243.1678736
2013-05-03,518014493.1678736,518014493.1678736,518014493.1678736
2013-05-06,518048643.1678736,518048643.1678736,518048643.1678736
2013-05-07,518305043.1678736,518305043.1678736,518305043.1678736
2013-05-08,521206993.1678736,521206993.1678736,521206993.1678736
2013-05-09,522678243.1678736,522678243.1678736,522678243.1678736
2013-05-10,521811943.1678736,521811943.1678736,521811943.1678736
2013-05-13,519045393.1678736,519045393.1678736,519045393.1678736
2013-05-14,519288243.1678736,519288243.1678736,519288243.1678736
2013-05-15,524201143.1678736,524201143.1678736,524201143.1678736
2013-05-16,532456543.1678736,532456543.1678736,532456543.1678736
2013-05-17,531319743.1678736,531319743.1678736,531319743.1678736
2013-05-20,531251993.1678736,531251993.1678736,531251993.1678736
2013-05-21,530565843.1678736,530565843.1678736,530565843.1678736
2013-05-22,531450793.1678736,531450793.1678736,531450793.1678736
2013-05-23,521837293.1678736,521837293.1678736,521837293.1678736
2013-05-24,518702937.10418075,518702937.10418075,518702937.10418075
2013-05-27,523921887.10418075,523921887.10418075,523921887.10418075
2013-05-28,523821787.10418075,523821787.10418075,523821787.10418075
2013-05-29,527134280.9265619,527134280.9265619,527134280.9265619
2013-05-30,520008280.9265619,520008280.9265619,520008280.9265619
2013-05-31,525350630.9265619,525350630.9265619,525350630.9265619
2013-06-03,517680680.9265619,517680680.9265619,517680680.9265619
2013-06-04,516146680.9265619,516146680.9265619,516146680.9265619
2013-06-05,515160980.9265619,515160980.9265619,515160980.9265619
2013-06-06,510224767.4493439,510224767.4493439,510224767.4493439
2013-06-07,511937517.4493439,511937517.4493439,511937517.4493439
2013-06-10,515085367.4493439,515085367.4493439,515085367.4493439
2013-06-11,512941817.4493439,512941817.4493439,512941817.4493439
2013-06-13,503890417.4493439,503890417.4493439,503890417.4493439
2013-06-14,503302617.4493439,503302617.4493439,503302617.4493439
2013-06-17,504764567.4493439,504764567.4493439,504764567.4493439
2013-06-18,506753185.8965453,506753185.8965453,506753185.8965453
2013-06-19,504741935.8965453,504741935.8965453,504741935.8965453
2013-06-20,501260885.8965453,501260885.8965453,501260885.8965453
2013-06-21,497111585.8965453,497111585.8965453,497111585.8965453
2013-06-24,494923285.8965453,494923285.8965453,494923285.8965453
2013-06-25,491466635.8965453,491466635.8965453,491466635.8965453
2013-06-26,496123484.04325765,496123484.04325765,496123484.04325765
2013-06-27,497437881.70286417,497437881.70286417,497437881.70286417
2013-06-28,509743831.70286417,509743831.70286417,509743831.70286417
2013-07-01,507163031.70286417,507163031.70286417,507163031.70286417
2013-07-02,507294631.70286417,507294631.70286417,507294631.70286417
2013-07-03,505663081.70286417,505663081.70286417,505663081.70286417
2013-07-04,505565531.70286417,505565531.70286417,505565531.70286417
2013-07-05,508322181.70286417,508322181.70286417,508322181.70286417
2013-07-08,505587881.70286417,505587881.70286417,505587881.70286417
2013-07-09,511272331.70286417,511272331.70286417,511272331.70286417
2013-07-10,515759531.70286417,515759531.70286417,515759531.70286417
2013-07-11,523867231.70286417,523867231.70286417,523867231.70286417
2013-07-12,526237081.70286417,526237081.70286417,526237081.70286417
2013-07-15,528054681.70286417,528054681.70286417,528054681.70286417
2013-07-16,528388792.62076414,528388792.62076414,528393234.2171137
2013-07-17,532445652.04860616,532445652.04860616,532439455.30163217
2013-07-18,532394570.3252145,532394570.3252145,532390971.4095565
2013-07-19,529126970.3252145,529126970.3252145,529114521.4095565
2013-07-22,530783870.136039,530783870.136039,530769159.02153355
2013-07-23,535561208.45331264,535561208.45331264,535546013.1295375
2013-07-24,533999948.8895972,533999948.8895972,533963001.1260525
2013-07-25,531310790.0651845,531310790.0651845,531250159.7188832
2013-07-26,533051994.38680625,533051994.38680625,533021657.387826
2013-07-29,531573261.07859945,531573261.07859945,531568289.55570036
2013-07-30,534866711.0785994,534866711.0785994,534726396.9176554
2013-07-31,531842411.0785994,531842411.0785994,531818064.09740365
2013-08-01,533249911.07859945,533249911.07859945,533132732.3932792
2013-08-02,537830125.4291543,537830125.4291543,537472196.9330066
2013-08-05,538378637.3009641,538367090.6895329,537966220.3504504
2013-08-06,532769438.3009642,532762591.6895329,532493793.2652122
2013-08-07,528716227.0509642,528725080.4395329,528385197.0152122
2013-08-08,526740564.8009642,526746218.1895329,526397917.7652122
2013-08-09,523399873.33391076,523403926.7224795,523060533.4093597
2013-08-12,526799272.33391076,526792325.7224795,526662900.4093597
2013-08-13,525820784.58391076,525802287.9724795,525909029.6593597
2013-08-14,525780691.2244134,525847484.7138948,525591165.6393533
2013-08-15,524191575.7244134,524283671.2138948,523970387.1393533
2013-08-16,525278928.395613,525357768.73120266,525045565.3515087
2013-08-19,524563895.895613,524650083.73120266,524393432.8515087
2013-08-20,523878490.645613,523968480.98120266,523822444.6015087
2013-08-22,522687421.37928814,522761882.06705153,522663067.8983133
2013-08-23,523146901.4196874,523233293.3802038,523104537.81312793
2013-08-26,524894269.4196874,524982001.8802038,524925568.81312793
2013-08-27,523644108.32905215,523721110.2867838,523652030.38232166
2013-08-28,522528926.26311827,522638364.22084993,522709049.31398904
2013-08-29,523372683.08411664,523488364.0418483,523539443.9947393
2013-08-30,529367678.7787642,529496164.7364958,529554412.0745081
2013-09-02,528564000.4762202,528682342.91132915,528864831.16111183
2013-09-03,533407401.2361333,533517117.6712423,533740826.3228006
2013-09-04,537492220.1163849,537574871.4610999,537674499.5931213
2013-09-05,538854165.5136443,538953287.2935656,539036709.5211238
2013-09-06,538117044.7636443,538214521.0435656,538277492.7711238
2013-09-09,537678507.0136443,537783533.2935656,537987522.0211238
2013-09-10,541608963.2636443,541704573.0435656,541881987.2711238
2013-09-11,542531598.7636443,542637746.5435656,542965735.7711238
2013-09-12,544424909.7636443,544526495.5435656,544724525.7711238
2013-09-13,543350409.2636443,543446852.0435656,543530062.2711238
2013-09-14,541173123.7636443,541272528.5435656,541328213.7711238
2013-09-16,547890294.7636443,547967575.5435656,547931310.7711238
2013-09-17,549025634.5136443,549107851.2935656,548898841.5211238
2013-09-18,546945149.0136443,547024927.7935656,546738693.0211238
2013-09-23,555242915.5136443,555312546.7935656,554815422.5211238
2013-09-24,555096575.7636443,555150471.0435656,554724291.7711238
2013-09-25,555587869.37878,555644682.5682008,555244868.0013496
2013-09-26,546455185.37878,546523798.5682008,546354271.0013496
2013-09-27,551467213.0800761,551513759.2694968,551182446.9474059
2013-09-30,545058250.0800761,545121522.7694968,544697573.9474059
2013-10-01,546104053.8300761,546151031.0194968,545715065.6974059
2013-10-02,543369541.5800761,543441368.7694968,543163736.4474059
2013-10-03,555138728.3300761,555180260.0194968,554924792.1974059
2013-10-04,556372945.8300761,556404975.0194968,556055559.6974059
2013-10-07,555805578.3300761,555836310.0194968,555480342.1974059
2013-10-08,559320597.0800761,559360743.2694968,558853843.9474059
2013-10-09,557173885.5800761,557202750.7694968,556611490.4474059
2013-10-11,557595686.0800761,557632394.2694968,557184103.9474059
2013-10-14,555394324.3370191,555415658.5264398,554985309.3986751
2013-10-15,559801608.5870191,559815768.7764398,559218218.6486751
2013-10-16,557783632.0870191,557794506.2764398,557170750.1486751
2013-10-17,557327981.532885,557355348.7223057,556883849.6145451
2013-10-18,558467481.532885,558486748.7223057,557941449.6145451
2013-10-21,555190230.3161273,555227630.4666631,554924977.8277386
2013-10-22,554403418.0661273,554441368.2166631,554073698.5777386
2013-10-23,555191450.5661273,555222653.2166631,554796531.0777386
2013-10-24,556845020.0661273,556881956.2166631,556356358.5777386
2013-10-25,553060097.5661273,553087514.7166631,552578615.0777386
2013-10-28,557878800.5661273,557885703.2166631,557236181.0777386
2013-10-29,555286227.8161273,555319585.4666631,554996775.3277386
2013-10-30,559150468.5661273,559171961.7166631,558714312.0777386
2013-10-31,560749977.0661273,560762865.7166631,560158149.5777386
2013-11-01,556300745.3161273,556327350.4666631,555933892.8277386
2013-11-04,551054604.0661273,551096030.7166631,550793392.5777386
2013-11-05,548388990.8161273,548445067.9666631,548012807.3277386
2013-11-06,548464212.0661273,548521591.2166631,548230166.5777386
2013-11-07,545392686.5661273,545470666.2166631,545031002.0777386
2013-11-08,546787520.172233,546858994.8227689,546487537.3381717
2013-11-11,542448375.672233,542545260.3227689,542292608.8381717
2013-11-12,545487265.672233,545544911.8227689,545213974.8381717
2013-11-13,539278480.922233,539343358.0727689,539113452.0881717
2013-11-14,539489780.922233,539554658.0727689,539323252.0881717
2013-11-15,541179904.672233,541261012.8227689,541232584.8381717
2013-11-18,541948105.172233,542015369.8227689,541986527.3381717
2013-11-19,543147101.922233,543224955.0727689,543224349.0881717
2013-11-20,541664796.922233,541712878.5727689,541534973.0881717
2013-11-21,535724824.67223305,535793718.3227689,535539936.8381717
2013-11-22,539954829.672233,540021094.8227689,539645112.8381717
2013-11-25,547134032.922233,547188414.0727689,546858009.0881717
2013-11-26,546950157.172233,546986707.8227689,546530037.3381717
2013-11-27,548200271.422233,548248758.0727689,547824876.5881717
2013-11-28,551635191.922233,551678011.5727689,551243760.0881717
2013-11-29,553013491.922233,553045511.5727689,552511360.0881717
2013-12-02,552245583.422233,552278107.5727689,551815222.5881717
2013-12-03,549937910.172233,549975546.3227689,549576903.3381717
2013-12-04,551741089.172233,551791453.8227689,551483924.3381717
2013-12-05,549827777.672233,549864061.3227689,549445520.8381717
2013-12-06,546775500.672233,546830441.8227689,546462209.8381717
2013-12-09,553507856.672233,553546068.8227689,553120941.8381717
2013-12-10,556153812.422233,556180165.0727689,555636843.5881717
2013-12-11,558275479.922233,558284280.0727689,557572461.0881717
2013-12-12,552204860.172233,552218196.3227689,551595503.3381717
2013-12-13,555764789.172233,555771953.8227689,555067324.3381717
2013-12-16,551978592.672233,551982481.3227689,551280685.8381717
2013-12-17,550743462.922233,550760054.0727689,550109739.0881717
2013-12-18,550907258.922233,550940883.0727689,550346964.0881717
2013-12-19,552343606.672233,552389918.8227689,552038741.8381717
2013-12-20,550548369.172233,550601443.8227689,550345054.3381717
2013-12-23,551775565.0821134,551799517.2671337,551275202.287389
2013-12-24,551446815.0821134,551473467.2671337,550974152.287389
2013-12-25,553201888.3321134,553228728.5171337,552715921.537389
2013-12-26,554203257.5821134,554224150.2671337,553878791.787389
2013-12-27,556145275.5821134,556170258.7671337,555920972.787389
2013-12-30,562257297.0821134,562278599.2671337,562174733.287389
2013-12-31,560451737.8321134,560451670.5171337,560523725.037389
2014-01-02,561035051.5821134,561033377.2671337,560948100.787389
2014-01-03,555623535.8321134,555629583.0171337,555429392.037389
2014-01-06,553718850.8321134,553735703.0171337,553648807.037389
2014-01-07,552602288.5821134,552627990.7671337,552550127.787389
2014-01-08,553479488.5821134,553497040.7671337,553344727.787389
2014-01-09,553871005.3321134,553909786.0171337,553859269.537389
2014-01-10,554109231.3321134,554154205.0171337,554087674.537389
2014-01-13,556010414.8321134,556042890.5171337,556060013.037389
2014-01-14,556607413.5821134,556643877.2671337,556541873.787389
2014-01-15,557647165.8607166,557670539.0457368,557594840.3460109
2014-01-16,558075601.4848286,558096470.6035663,557995175.9701229
2014-01-17,557292380.7348286,557314754.3535663,557218459.2201229
2014-01-20,558544577.4848286,558571789.6035663,558455130.9701229
2014-01-21,556187045.7348286,556211924.3535663,556155724.2201229
2014-01-22,558668994.9848286,558694754.6035663,558560748.4701229
2014-01-23,555968897.2348286,555998168.8535663,555770820.7201229
2014-01-24,558318783.2348286,558358335.8535663,558350132.7201229
2014-01-27,550155767.7348286,550209554.3535663,550117457.2201229
2014-02-05,538660167.2348286,538719956.3535663,538541825.7201229
2014-02-06,539467565.7348286,539517611.8535663,539461779.2201229
2014-02-07,542974062.9848286,543005054.1035663,542825593.4701229
2014-02-10,542577688.9848286,542623023.1035663,542500798.4701229
2014-02-11,543097838.9848286,543140773.1035663,542994648.4701229
2014-02-12,547306473.7348286,547361426.8535663,547287671.2201229
2014-02-13,545140410.9848286,545199021.1035663,545019178.4701229
2014-02-14,548078776.2348286,548141221.8535663,548109073.7201229
2014-02-17,547882638.4848286,547950034.1035663,548033052.9701229
2014-02-18,551833779.7348286,551897003.8535663,551988803.2201229
2014-02-19,551658347.2348286,551728518.8535663,551874670.7201229
2014-02-20,546942638.4848286,547017984.1035663,547173852.9701229
2014-02-21,553421759.4848286,553477681.1035663,553563599.9701229
2014-02-24,551166771.2348286,551230599.8535663,551391915.7201229
2014-02-25,549312909.7348286,549368507.3535663,549469162.2201229
2014-02-26,549119041.7348286,549162948.8535663,549091981.2201229
2014-02-27,552341636.4848286,552408701.1035663,552241587.9701229
2014-03-03,547160950.2348286,547225552.8535663,547283368.7201229
2014-03-04,544205319.9848286,544277532.1035663,544272408.4701229
2014-03-05,545694649.7348286,545765609.3535663,545806955.2201229
2014-03-06,550474203.2348286,550543841.3535663,550684234.7201229
2014-03-07,553558501.8921689,553606808.2483348,553684628.4281061
2014-03-10,549530398.8921689,549593719.7483348,549762412.4281061
2014-03-11,547324237.3921689,547387527.2483348,547569508.9281061
2014-03-12,547902990.3921689,547975115.7483348,548290224.9281061
2014-03-13,546274912.1415277,546359278.2883058,546721533.6774648
2014-03-14,543622782.3915277,543719351.0383058,544133786.9274648
2014-03-17,544776148.6415277,544875352.7883058,545150215.1774648
2014-03-18,546718288.1415277,546802947.2883058,547097038.6774648
2014-03-19,544485561.6415277,544569784.7883058,544863370.1774648
2014-03-20,539249832.6415277,539345177.2883058,539771299.1774648
2014-03-21,538805543.1415277,538928869.2883058,539402546.6774648
2014-03-24,540837594.1415277,540947269.7883058,541484902.6774648
2014-03-25,542105085.1415277,542213008.7883058,542674072.6774648
2014-03-26,543815073.3915277,543923690.0383058,544384056.9274648
2014-03-27,542111617.1415277,542213600.2883058,542551241.6774648
2014-03-28,547091488.1415277,547182147.2883058,547524638.6774648
2014-03-31,550483258.1415277,550576493.7883058,550858879.6774648
2014-04-01,551248619.1415277,551356892.7883058,551684619.6774648
2014-04-02,549428617.8915277,549536961.0383058,550043256.4274648
2014-04-03,550952558.6415277,551062487.2883058,551560843.1774648
2014-04-07,549291906.1415277,549408342.2883058,549989140.6774648
2014-04-08,551836489.8915277,551949159.0383058,552320936.4274648
2014-04-09,553438339.8915277,553537459.0383058,553784436.4274648
2014-04-10,555635050.8915277,555729658.0383058,555847376.4274648
2014-04-11,554965657.3915277,555055374.0383058,555207203.9274648
2014-04-14,554280243.6415277,554368717.2883058,554652678.1774648
2014-04-15,552613986.8915277,552706720.5383058,552844270.4274648
2014-04-16,551196986.3915277,551290027.0383058,551361906.9274648
2014-04-17,553830465.3915277,553925234.5383058,553989977.9274648
2014-04-18,554547023.8915277,554646888.5383058,554689915.4274648
2014-04-21,552477805.8915277,552582080.0383058,552604084.4274648
2014-04-22,552074361.1415277,552186282.7883058,552198672.6774648
2014-04-23,550612196.8915277,550717732.5383058,550746183.4274648
2014-04-24,551789059.1415277,551885944.7883058,551905462.6774648
2014-04-25,544994392.1859827,545110849.3327608,545271407.6770016
2014-04-28,546103773.1859827,546212189.8327608,546513243.6770016
2014-04-29,548585602.1859827,548701497.3327608,549044414.6770016
2014-04-30,543867416.9359827,543968850.0827608,544147978.4270016
2014-05-02,548835712.7103357,548938818.4055804,549163352.1519713
2014-05-05,547127118.0465155,547233243.7835451,547567662.7304999
2014-05-06,550305955.5874346,550403064.2684897,550578374.7154443
2014-05-07,550558300.3374346,550647611.5184897,550833636.4654443
2014-05-08,553070385.8374346,553161835.0184897,553423434.9654443
2014-05-09,551848973.5874346,551946322.7684897,552193205.7154443
2014-05-12,548553997.0874346,548656760.2684897,548953837.2154443
2014-05-13,549719898.3374346,549801323.5184897,550069126.4654443
2014-05-14,552668328.8374346,552758475.5184897,552871693.9654443
2014-05-15,553378871.8374346,553460116.0184897,553346302.9654443
2014-05-16,554001291.0874346,554082637.7684897,554185573.2154443
2014-05-19,554454661.8374346,554540654.0184897,554687639.9654443
2014-05-20,553263906.5874346,553346764.7684897,553586630.7154443
2014-05-21,551622517.8374346,551723126.5184897,551987853.9654443
2014-05-22,558088231.8374346,558173714.0184897,558242809.9654443
2014-05-23,560856973.8374346,560919553.5184897,560926935.9654443
2014-05-26,561583051.3546742,561635361.6608498,561564971.4931082
2014-05-27,563803315.2511132,563848916.591726,563778750.1210535
2014-05-28,569907346.9804322,569944481.2369925,569748432.591391
2014-05-29,569217140.4768336,569256549.8959293,569176317.9507607
2014-05-30,574368485.8485444,574367493.1635381,574043972.3056892
2014-06-03,574081602.9086087,574106753.6479042,573917359.0490369
2014-06-04,571062094.754362,571088217.4936575,571051563.5017548
2014-06-05,571162928.0065274,571181202.7458229,571013607.598829
2014-06-06,572058771.5065274,572082136.7458229,571862730.098829
2014-06-09,572555630.0065274,572583440.7458229,572372467.598829
2014-06-10,577018092.8373175,577036936.576613,576894814.6117365
2014-06-11,575699163.0873175,575725359.326613,575582817.8617365
2014-06-12,576304085.8373175,576325777.076613,576018873.6117365
2014-06-13,576583291.5873175,576615223.326613,576359825.3617365
2014-06-16,576361132.5873175,576398612.326613,576189795.3617365
2014-06-17,577658195.5873175,577720599.326613,577441745.3617365
2014-06-18,578211695.5873175,578271249.326613,577975795.3617365
2014-06-19,578192038.3373175,578239758.576613,578081147.1117365
2014-06-20,574599706.0054026,574664381.0061537,574762334.1273129
2014-06-23,577153091.5324757,577211261.1188103,577259803.654386
2014-06-24,579991577.0324757,580041234.6188103,580076252.154386
2014-06-25,581597976.2824757,581654414.8688103,581640026.404386
2014-06-26,584855375.5324757,584912895.1188103,584816500.654386
2014-06-27,585290220.7824757,585356235.8688103,585514775.904386
2014-06-30,586089064.2824757,586165869.8688103,586305098.404386
2014-07-01,587309188.2824757,587371250.8688103,587476193.404386
2014-07-02,588219956.2824757,588297409.3688103,588556674.404386
2014-07-03,585043897.5324757,585123574.6188103,585400306.654386
2014-07-04,585579141.0324757,585663908.6188103,585889429.154386
2014-07-07,584142893.2824757,584219622.8688103,584288801.404386
2014-07-08,589691005.7824757,589746265.8688103,589781260.904386
2014-07-09,590626720.0324757,590693816.1188103,590771750.154386
2014-07-10,595737508.0324757,595807871.1188103,595940722.154386
2014-07-11,591965068.0324757,592026314.6188103,592266411.154386
2014-07-14,594593341.7824757,594663119.3688103,595012693.904386
2014-07-15,601159433.0324757,601196739.1188103,601389744.154386
2014-07-16,598960837.0324757,598990660.1188103,599317919.154386
2014-07-17,601336273.3324757,601380915.4188102,601814435.5543861
2014-07-18,600895348.8324757,600941090.9188102,601231077.0543861
2014-07-21,601078938.3324757,601120085.4188102,601596000.5543861
2014-07-22,604896322.5824757,604939195.6688102,605272559.8043861
2014-07-24,608107115.0824757,608141478.6688102,608642299.3043861
2014-07-25,609935444.0824757,609972086.1688102,610439570.3043861
2014-07-28,617499908.0174394,617557491.103774,618576337.2408385
2014-07-29,612606000.7674394,612660864.353774,613363094.9908385
2014-07-30,616526329.0174394,616604502.103774,617303190.2408385
2014-07-31,611877518.2674394,611934129.353774,612611812.4908385
2014-08-01,606292078.6123558,606365221.6986904,607506551.6253648
2014-08-04,604426039.0155855,604520194.3278569,605151871.1602738
2014-08-05,590247653.9794035,590365315.1020889,590822944.9859998
2014-08-06,598207423.5714515,598339298.6941369,597960695.0439926
2014-08-07,600227258.5714515,600358578.6941369,599704280.0439926
2014-08-08,597383598.8714516,597516210.4941369,596881221.0439926
2014-08-11,601447928.7714516,601547883.8941369,601167941.5439926
2014-08-12,599287447.9714515,599409266.5941368,598787559.2939926
2014-08-13,605752574.3714516,605875780.9941369,605247962.2939926
2014-08-14,605996306.1714516,606108508.3941369,606003747.5439926
2014-08-15,603800800.085047,603907698.3905344,603889108.8472003
2014-08-18,600961585.685047,601063151.9905344,600584395.8472003
2014-08-19,609355666.485047,609455688.1405344,608717650.3472003
2014-08-20,615999796.285047,616105312.8905344,615071867.3472003
2014-08-21,620939831.285047,621043727.0905344,619497503.8472003
2014-08-22,630522427.085047,630605271.6405344,629651612.8472003
2014-08-25,628562266.285047,628630548.1405344,627891823.5972003
2014-08-26,627611752.485047,627705132.4905344,626543320.8472003
2014-08-27,631157450.8850471,631219536.0905344,630008650.0972003
2014-08-28,628555384.60891,628627976.860309,627803436.9477097
2014-08-29,621450814.5117341,621550125.163133,620505939.894629
2014-09-01,626363553.617804,626435447.269203,626068083.5630531
2014-09-02,620739032.3066761,620834524.6580751,620900430.2945603
2014-09-03,628670115.9066762,628719570.1080751,629299260.0445603
2014-09-04,628129686.1066761,628196791.5080751,628632898.5445603
2014-09-05,624371003.5066761,624456480.0580751,625243397.2945603
2014-09-09,625852025.3066761,625928436.358075,627146599.5445603
2014-09-10,623288431.9066762,623368951.4080751,624657559.0445603
2014-09-11,623090536.1066761,623181259.858075,624644038.7945603
2014-09-12,620402858.3066761,620499389.4080751,621247612.2945603
2014-09-15,619326749.906676,619402772.508075,619881752.7945603
2014-09-16,611764877.3066761,611863109.858075,612360686.0445603
2014-09-17,615714225.1066761,615780312.5580751,616746980.0445603
2014-09-18,618002018.5066761,618064047.5080751,618922320.5445603
2014-09-19,617702531.1066761,617747658.358075,618434164.0445603
2014-09-22,613245116.3066761,613309165.5580751,614103216.0445603
2014-09-23,611471686.9066762,611534567.0580751,612357259.0445603
2014-09-24,612471942.9066762,612513762.858075,613129793.0445603
2014-09-25,608205594.9066762,608259639.358075,608985218.2945603
2014-09-26,606764539.8122681,606841739.2626579,607411649.0774204
2014-09-29,602188690.2294213,602292376.879811,603100819.418401
2014-09-30,601303715.9577111,601438497.4081008,602030814.2966908
2014-10-01,598952685.6537756,599076297.6134351,600194809.2427553
2014-10-02,595011328.0376664,595129883.797326,597003523.4413587
2014-10-03,606110831.0376664,606214772.0973259,607664042.4413587
2014-10-06,600625904.0376666,600722030.197326,602289265.1913587
2014-10-07,600021082.4376664,600112351.547326,602138276.9413587
2014-10-08,601358818.0376664,601473934.9973259,603331288.9413587
